time,temp,RH,wind,tcc,SW_global,Discharge
2019-01-01 01:00:00,-6.789,90.038,2.194,0.818,0.0,1000000
2019-01-01 02:00:00,-6.673,90.217,2.456,0.813,0.0,1000000
2019-01-01 03:00:00,-5.945,90.135,1.68,0.883,0.0,1000000
2019-01-01 04:00:00,-6.155,90.476,1.344,0.964,0.0,1000000
2019-01-01 05:00:00,-5.714,89.458,1.057,0.859,0.0,1000000
2019-01-01 06:00:00,-5.388,90.189,0.338,0.788,0.0,1000000
2019-01-01 07:00:00,-5.046,91.778,1.203,0.878,0.0,1000000
2019-01-01 08:00:00,-5.408,91.624,2.087,0.99,0.0,1000000
2019-01-01 09:00:00,-6.129,92.616,1.984,1.0,0.0,1000000
2019-01-01 10:00:00,-6.786,91.557,1.936,1.0,0.0,1000000
2019-01-01 11:00:00,-7.644,79.55,2.074,1.0,0.0,1000000
2019-01-01 12:00:00,-7.855,78.204,2.412,1.0,0.012,1000000
2019-01-01 13:00:00,-8.037,76.245,2.784,1.0,0.012,1000000
2019-01-01 14:00:00,-8.354,77.115,2.969,1.0,0.0,1000000
2019-01-01 15:00:00,-8.718,75.102,2.764,1.0,0.0,1000000
2019-01-01 16:00:00,-9.504,74.902,2.498,0.835,0.0,1000000
2019-01-01 17:00:00,-10.477,77.964,2.55,0.812,0.0,1000000
2019-01-01 18:00:00,-11.045,84.44,2.939,0.864,0.0,1000000
2019-01-01 19:00:00,-11.47,85.324,2.62,0.412,0.0,1000000
2019-01-01 20:00:00,-12.277,81.936,3.022,0.241,0.0,1000000
2019-01-01 21:00:00,-12.385,78.522,3.188,0.199,0.0,1000000
2019-01-01 22:00:00,-12.885,80.295,3.089,0.297,0.0,1000000
2019-01-01 23:00:00,-12.461,83.866,3.386,0.544,0.0,1000000
2019-01-02 00:00:00,-12.345,85.916,3.482,0.363,0.0,1000000
2019-01-02 01:00:00,-12.294,88.342,3.504,0.26,0.0,1000000
2019-01-02 02:00:00,-12.527,90.846,3.589,0.399,0.0,1000000
2019-01-02 03:00:00,-12.232,90.254,3.552,0.539,0.0,1000000
2019-01-02 04:00:00,-11.933,90.703,3.446,0.653,0.0,1000000
2019-01-02 05:00:00,-12.165,93.957,3.153,0.747,0.0,1000000
2019-01-02 06:00:00,-12.255,94.175,2.838,0.72,0.0,1000000
2019-01-02 07:00:00,-11.3,92.748,2.478,0.741,0.0,1000000
2019-01-02 08:00:00,-11.168,90.975,2.28,0.727,0.0,1000000
2019-01-02 09:00:00,-10.885,87.445,2.218,0.798,0.0,1000000
2019-01-02 10:00:00,-11.428,88.44,2.24,0.696,0.0,1000000
2019-01-02 11:00:00,-12.011,85.486,2.248,0.668,0.0,1000000
2019-01-02 12:00:00,-12.25,85.361,2.104,0.663,0.081,1000000
2019-01-02 13:00:00,-12.938,84.888,2.099,0.291,0.023,1000000
2019-01-02 14:00:00,-13.571,86.172,2.092,0.139,0.0,1000000
2019-01-02 15:00:00,-13.918,85.594,2.03,0.112,0.0,1000000
2019-01-02 16:00:00,-14.898,86.718,1.878,0.667,0.0,1000000
2019-01-02 17:00:00,-15.113,85.152,1.791,0.697,0.0,1000000
2019-01-02 18:00:00,-15.775,84.826,1.789,0.941,0.0,1000000
2019-01-02 19:00:00,-16.249,82.563,1.621,0.998,0.0,1000000
2019-01-02 20:00:00,-16.937,81.229,1.528,1.0,0.0,1000000
2019-01-02 21:00:00,-17.144,79.509,1.476,1.0,0.0,1000000
2019-01-02 22:00:00,-17.369,79.144,1.515,0.998,0.0,1000000
