,time,SW_diffuse,cld,sea,Discharge,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,alb,SW_direct,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
3238,2021-04-06 14:00:00,131.168,0.244,0.794,0.0,-1.8,72.35,2.6,607.879,0.0,3.85,786.719,195.168,0.841,476.711,-5.310732065096071,-2.2916153426113888,0.37341187724169295,47978.48368820318,52.32113815507435,0.18669314700875486,8292.620292103746,0.0,0.07416032810462135,634244.4997060109,1.782581609605669,49.159230356470594,-87.87459045303478,41.07999120873196,-1.6261398621683014,0.0,1.0440903596061992,139567.17629504701,90.82553500040822,1.8313292076481065,5.223253108482468,0.0,0.0,0.0,-4.9936552734037716e-05,0.0,0.0,1.782581609605669,0.0,,830082.7799813622,0.0,0.35061084914189994,3.912235505434678
3239,2021-04-06 15:00:00,122.045,0.262,0.674,0.0,-1.233,65.983,3.85,553.135,0.0,3.683,786.596,197.533,0.839,431.09,-5.23657173699145,-2.2950084968587414,0.33562640104128816,47978.296995056175,52.32093456385624,1.1290409467603104,8292.806985250754,0.0,0.73478435584899,634244.4997060109,17.661910528693245,42.94355982120712,-85.8232001944427,69.35850875910064,-9.83422949226377,0.0,1.0172716350919577,139567.17629504701,90.82529938762721,1.8313268322982261,5.223246333592626,0.0,0.0,0.0,-2.2415636539775125e-06,0.0,0.0,17.661910528693245,0.0,,830082.7799813622,0.0,0.35061084914189994,3.9371752633731023
3240,2021-04-06 16:00:00,112.35,0.294,0.521,0.0,-2.183,68.45,4.767,388.482,0.0,3.567,786.482,204.971,0.838,276.132,-4.50178738114246,-2.298314498120722,0.2805288789414126,47977.16795410941,52.31970333054461,3.4387361299502284,8293.936026197514,0.0,-1.2570573108468253,634244.4997060109,-30.215713735444897,30.749706064775726,-81.50656391010193,49.731841048631686,-29.952723066591123,0.0,0.7620261278407494,139567.17629504701,90.82387449497608,1.8313124670585998,5.223205361558642,0.0,0.0,0.0,-1.355606114078133e-05,0.0,0.0,-30.215713735444897,0.0,,830082.7799813622,0.0,0.35061084914189994,4.192237232641188
3241,2021-04-06 17:00:00,100.794,0.348,0.351,0.0,-3.067,77.433,4.45,188.929,0.0,3.8,786.439,205.595,0.836,88.135,-5.758844691989285,-2.3007910039182424,0.21168378882211153,47973.72921797946,52.315953345670074,0.0,8297.374762327465,0.0,0.02922744822832541,634244.4997060109,0.7025361542901265,19.589923119365242,-75.55814369931122,53.89081130884473,1.5840195566501634,0.0,1.1959258687412089,139567.17629504701,90.81953461022103,1.8312687132546244,5.2230805684893955,0.0,0.0,0.18184540316518374,-4.1288536691371834e-05,0.0,0.0,0.7025361542901265,0.0,,830082.7799813622,0.0,0.35061084914189994,3.764579539662039
3242,2021-04-06 18:00:00,71.97,0.457,0.172,0.0,-3.333,79.1,3.517,52.86,0.0,3.767,786.562,202.805,0.835,-19.11,-5.72961724376096,-2.3046777316855906,0.13263840497016033,47973.91106338263,52.316151650362734,0.028617192681276864,8297.374762327465,0.0,-1.171221731400174,634244.4997060109,-28.152495714677915,11.456821213368341,-78.47109071833074,37.926579663168916,-0.24927810945398104,0.0,1.1844722365695517,139567.17629504701,90.8197641122801,1.8312710270722226,5.223087167879014,0.0,0.0,0.0,2.183502629811673e-06,0.0,0.0,-28.152495714677915,0.0,,830082.9618267653,0.0,0.35061084914189994,3.774052862984423
3243,2021-04-06 19:00:00,0.025,0.38,0.0,0.0,-4.117,86.65,4.433,0.0,0.0,3.883,786.974,197.373,0.833,-0.025,-6.900838975161134,-2.308527230584344,0.05265862720467165,47973.88244618995,52.31612044295523,0.0,8297.403379520147,0.0,-0.03454001309753753,634244.4997060109,-0.8302335455737102,0.003955150231420497,-79.00774613863706,55.55739776936304,21.027966122744406,0.0,1.5881935507244818,139567.17629504701,90.81972799533109,1.831270662944824,5.223086129327585,0.0,0.0,2.4140150943910332,-3.436191208781242e-07,0.0,0.0,-0.8302335455737087,0.0,,830082.9618267653,0.0,0.35061084914189994,3.4109878147522243
3244,2021-04-06 20:00:00,0.0,0.38,0.0,0.0,-4.733,91.883,4.433,0.0,0.4,3.95,787.144,195.678,0.85,0.0,-6.935378988258672,-2.3136888125542825,0.05265862720467164,47976.29646128434,52.31875295668958,0.0,8297.403379520147,0.0,-0.4381168371342499,634244.4997060109,-10.530954173130858,0.0,-80.5593565842799,43.96262791159724,24.467447594530086,0.0,1.5983269050217144,139567.17629504701,90.82277463021437,1.831301378552635,5.223173735309791,0.0,34.282999119264296,2.8089625432431573,2.8986144227199516e-05,0.0,0.0,-10.530954173130858,0.0,,830085.3758418597,0.0,0.35061084914189994,3.400782194572877
3245,2021-04-06 21:00:00,0.0,0.38,0.0,0.0,-4.9,92.933,3.433,0.0,0.4,3.95,786.997,199.359,0.85,0.0,-7.373495825392922,-2.3188832405000577,0.052658627204671654,48013.388422946846,52.359202206048906,0.0,8297.403379520147,0.0,-0.48907953286488093,634244.4997060109,-11.755937483037377,0.0,-75.0643945305741,38.22942194253176,23.331440170615966,0.0,1.747594934389004,139567.17629504701,90.86958053487403,1.8317732022633237,5.224519454393622,0.0,34.30066700922644,2.6799246677254835,0.0004453646073247171,0.0,0.0,-11.755937483037375,0.0,,830122.4678035222,0.0,0.35061084914189994,3.273727984170642
3246,2021-04-06 22:00:00,0.0,0.38,0.0,0.0,-5.433,92.033,2.917,0.0,0.8,3.75,786.725,218.091,0.85,0.0,-7.8625753582578035,-2.324561314059445,0.05265862720467165,48050.3690146238,52.399530005042315,0.0,8297.403379520147,0.0,-0.10563809117622834,634244.4997060109,-2.5392082723654634,0.0,-54.31799752704757,31.89550065692241,17.96905251354449,0.0,1.9142360842152013,139567.17629504701,90.91623390579007,1.8322433674613356,5.22586044312561,0.0,68.63655464412825,2.0650431506294273,0.0004437986700943624,0.0,0.0,-2.539208272365464,0.0,,830159.4483951991,0.0,0.35061084914189994,3.137025480723473
3247,2021-04-06 23:00:00,0.0,0.38,0.0,0.0,-5.65,91.9,0.417,0.0,0.0,3.7,786.774,230.601,0.848,0.0,-7.968213449434032,-2.330779221873205,0.052658627204671654,48121.07061241856,52.476630984098755,0.0,8297.403379520147,0.0,-1.3560733555744686,634244.4997060109,-32.59574878785711,0.0,-41.37436095112923,4.350900433327604,2.4800654641176143,0.0,1.9476462658269074,139567.17629504701,91.00539517297771,1.8331415849750259,5.228422307699649,0.0,0.0,0.28529410653818826,0.0008480441362797032,0.0,0.0,-32.59574878785711,0.0,,830230.1499929939,0.0,0.35061084914189994,3.1081920939819994
