,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,missing_type,cld,DroneV,dia,h_s,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,meltwater,SA,h_ice,r_ice,thickness,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
0,2021-01-18 00:15:00,0.0,-6.497,31.81,1.243,621.911,-1.21,0,0.0,0,-,0,,,,0.35,1.195,164.17,0.573,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,9.25,0.0,0.0,0.0,0.004324324324324324,,
1,2021-01-18 00:30:00,0.0,-6.417,32.86,0.719,621.855,-2.178,0,0.0,0,-,0,,,,0.35,1.242,165.269,0.576,60,0.0,0.0,0.000688231156892911,-145.17039001822994,0.0,-134.60553883563892,-10.564851182591017,-22.74828679944079,0.0,0.0,0,0.0,0.0,3286.558828595816,3.5840336189703557,103.21817200869245,1.932362577224818,0.0,0.0,-0.2661726613588908,0.0,0.0,268.80503468515013,0.039999999999999994,9.249999999999998,0.0,-22.74828679944079,-145.17039001822994,0.004324324324324324,3286.558828595816,6.133024329266351
2,2021-01-18 00:45:00,0.0,-6.493,33.35,0.339,621.799,-2.363,0,0.0,0,-,0,,,,0.35,1.253,165.299,0.577,60,-0.2661726613588908,0.0,0.0006882311568929111,-152.12122382852343,0.0,-133.4083880311198,-4.833145444345427,-10.409428257859089,-14.000617868858802,0.1209275158006048,0,0.0,0.0,3389.7770006045084,3.6965943299940114,111.57763111435517,0.9026511609954079,1.932362577224818,0.0,0.14437424871153012,794.8494654140827,0.0,274.4040672480432,0.040414439876828176,9.345839221516515,0.0004187448019918884,12.338858541581695,-152.12122382852343,0.004324324324324324,4081.408294009899,5.9998684543332965
3,2021-01-18 01:00:00,0.0,-6.622,33.76,0.457,621.743,-1.741,0,0.0,0,-,0,,,,0.35,1.256,165.045,0.577,60,-0.12179841264736066,-0.004201347709145371,0.0007108844743544178,-141.63676465540658,0.0,-134.29503661079522,-6.80091353695743,-14.236430412464465,-0.5942411851189089,0.05342667746499493,0,0.0,0.0,3501.3546317188634,3.8182711360074846,103.49350168335448,1.234509539016227,2.835013738220226,0.0,-0.04898025161071579,1582.3691831387323,0.0,274.4042389258806,0.04174471837699674,9.345839221516515,0.0004434220207949238,-4.186067815758859,-141.63676465540658,0.004324324324324324,4868.928011734548,6.071761030681531
4,2021-01-18 01:15:00,0.0,-6.794,33.34,0.81,621.71,-2.594,0,0.0,0,-,0,,,,0.35,1.224,164.029,0.575,60,-0.17077866425807645,-0.00599838447132012,0.0007318964533605318,-152.61489958999312,0.0,-135.09629241512397,-12.281614572753542,-25.272469552742695,-5.311855549293613,0.07486294717801026,0,0.0,0.0,3604.848133402218,3.93113209749424,110.6539512367241,2.1914990277487267,4.069523277236453,0.0,-0.13092728444750606,2377.6411719163616,0.0,274.40440313488284,0.042978614264743475,9.345839221516515,0.0004112945263839021,-11.189621808935438,-152.61489958999312,0.004466663441083997,5664.200000512177,6.047282303516237
5,2021-01-18 01:30:00,0.0,-6.562,33.01,2.292,621.676,-3.67,0,0.0,0,-,0,,,,0.35,1.234,164.768,0.575,60,-0.30170594870558254,-0.008444151588994272,0.0007543621548610464,-182.18253928401472,0.0,-133.78383491406694,-32.84632391832973,-70.39987926464157,-15.685615098720739,0.13323464710266883,0,0.0,0.0,3715.502084638942,4.051801619017385,128.60351733845883,6.104720724955577,6.261022304985179,0.0,-0.530471585024298,3164.795721651889,0.0,274.4045839958287,0.044297880239641686,9.345839221516515,0.0004397506750787462,-45.33643573115062,-182.18253928401472,0.004598689667782397,6451.3545502477045,5.982290919375844
6,2021-01-18 01:45:00,0.0,-6.339,34.71,1.223,621.643,-3.336,0,0.0,0,-,0,,,,0.35,1.32,166.898,0.581,60,-0.8321775337298806,-0.012667287980203574,0.0007804720399630401,-203.52278307527905,0.0,-129.3388195304382,-15.416362148991665,-34.85257165451562,-59.13992114381172,0.37231974796250566,0,0.0,0.0,3844.105601977401,4.192045367478082,147.46538175742668,3.022240762749119,12.365743029940756,0.0,0.41170803038847825,3930.0874835884742,0.0,274.4048010648271,0.045831148982245384,9.345839221516515,0.0005110838398487852,35.186379792333064,-203.52278307527905,0.0047398504499902615,7216.64631218429,5.7254308654002735
7,2021-01-18 02:00:00,0.004,-6.781,35.36,1.156,621.609,-3.727,0,0.0,0,-,0,,,,0.35,1.299,165.469,0.58,60,-0.4204695033414023,-0.02407389676869783,0.002810373555471581,-170.59335563641793,0.0,-132.56336773214952,-16.82990989309465,-34.58430293228637,-21.38016839210312,0.18009038092938578,0,0.0,0.0,3991.5709837348277,4.35285821563231,123.14027636336027,2.9989806600493853,15.387983792689875,0.0,-0.00826765593526804,4679.599861068298,0.0,274.40505906019195,0.047589297321763355,9.345839221516515,0.0005860423998785508,-0.706590253914122,-170.59335563641793,0.0049039094185068305,7966.158689664114,5.9238879050747
8,2021-01-18 02:15:00,0.052,-7.579,37.98,0.745,621.457,-3.895,0,0.0,0,-,0,,,,0.35,1.312,163.792,0.581,60,-0.42873715927667033,-0.029387423291505052,0.026822208878406917,-169.9069477251677,0.0,-134.20423058149916,-12.189971414044026,-22.206163007760317,-23.694178230099055,0.18143250047456594,0,0.0,0.0,4114.711260098188,4.487144231295734,123.70620806819544,1.9256108071680689,18.38696445273926,0.0,0.13952034494327745,5453.460604044889,0.0,274.4052819379785,0.04905743085816282,9.345839221516515,0.0004893715011062106,11.92402256837024,-169.9069477251677,0.00509203038847497,8740.019432640704,5.9198387138665325
9,2021-01-18 02:30:00,0.1,-7.677,35.89,0.959,621.305,-3.626,0,0.0,0,-,0,,,,0.35,1.23,162.065,0.575,60,-0.28921681433339286,-0.03458035087873919,0.0507722069151835,-163.91300901006417,0.0,-136.54150133611847,-16.20880213980695,-29.51920058834746,-11.278391926575228,0.11568639243646431,0,0.0,0.0,4238.4174681663835,4.622047402580571,118.6401458785542,2.5597641269766087,20.31257525990733,0.0,-0.09076115927887582,6227.828785169526,0.0,274.4055126579828,0.050532311685860594,9.345839221516515,0.0004916201697434087,-7.756848021073555,-163.91300901006417,0.005249119923357985,9514.38761376534,5.988455404155297
10,2021-01-18 02:45:00,0.146,-7.203,39.22,1.015,621.153,-3.532,0,0.0,0,-,0,,,,0.35,1.395,166.136,0.586,60,-0.3799779736122687,-0.037794865890341575,0.0736150105974011,-166.94778758306194,0.0,-132.07339988906043,-15.83998355130977,-29.865951877031915,-19.18986471086015,0.1554605681683816,0,0.0,0.0,4357.0576140449375,4.751425969514654,120.85414153377796,2.589834892007865,22.87233938688394,0.0,-0.007271774978143457,7006.628875163995,0.0,274.405740348937,0.051946792650753526,9.345839221516515,0.00047148676307877125,-0.6214778854420437,-166.94778758306194,0.005406931414946907,10293.18770375981,5.943731866144413
11,2021-01-18 03:00:00,0.192,-7.445,37.94,0.679,621.002,-3.414,0,0.0,0,-,0,,,,0.35,1.324,164.33,0.581,60,-0.38724974859041217,-0.04199694494946236,0.09630214981074424,-163.91361572739504,0.0,-133.84760130764326,-10.958279744113396,-20.27545094922348,-19.264589867506505,0.15685519186810917,0,0.0,0.0,4477.911755578715,4.883218926476244,119.44237120607475,1.7581932816397068,25.462174278891805,0.0,0.10801424642620919,7783.184898738209,0.0,274.40597875123456,0.053387669863623734,9.345839221516515,0.0004802849852703545,9.231372762268112,-163.91361572739504,0.00555828015221562,11069.743727334024,5.940159075385165
12,2021-01-18 03:15:00,0.236,-7.089,35.04,0.634,620.92,-3.241,0,0.0,0,-,0,,,,0.35,1.257,163.96,0.577,60,-0.279235502164203,-0.04612229699564707,0.1178132080989561,-154.25579765226848,0.0,-134.69019612017675,-9.871208457061917,-19.424783455304823,-9.800301024619515,0.10590794958968677,0,0.0,0.0,4597.3541267847895,5.01347233019061,112.37507842682373,1.684428818693865,27.22036756053151,0.0,0.005828119737606586,8561.984334250494,0.0,274.40622077680064,0.054811715318234124,9.345839221516515,0.0004746740734554102,0.49809675650270435,-154.25579765226848,0.005712453274470167,11848.543162846308,5.993384450727962
13,2021-01-18 03:30:00,0.278,-7.562,37.47,0.788,620.839,-3.103,0,0.0,0,-,0,,,,0.35,1.296,163.547,0.58,60,-0.2734073824265964,-0.04883535221765302,0.13813351845071098,-157.82589445382422,0.0,-135.12871186013766,-13.129923891018352,-23.959002818026708,-9.669286227181093,0.10202752451292946,0,0.0,0.0,4709.729205211614,5.136018762499034,114.62178279741683,2.0776174545765422,28.904796379225374,0.0,-0.05576695091099322,9347.924827004976,0.0,274.4064542982107,0.05615150134248433,9.345839221516515,0.0004465876610286503,-4.766088999437489,-157.82589445382422,0.0058648254072297245,12634.48365560079,5.996267116629694
14,2021-01-18 03:45:00,0.319,-8.1,36.64,0.631,620.757,-2.909,0,0.0,0,-,0,,,,0.35,1.215,160.79,0.575,60,-0.3291743333375896,-0.051386642138971934,0.15773568423577047,-162.7504454143335,0.0,-137.6416289459892,-11.208086510983899,-19.403622639658725,-14.02693441143599,0.12620445407554742,0,0.0,0.0,4824.3509880090305,5.26101525409927,118.65821500536079,1.6825967771083417,30.982413833801917,0.0,0.050750203780947606,10131.225426752982,0.0,274.4066982975643,0.05751807358266856,9.345839221516515,0.00045551585847320033,4.337335716016419,-162.7504454143335,0.006008181824186446,13417.784255348797,5.968718703098795
15,2021-01-18 04:00:00,0.358,-7.772,38.7,2.091,620.676,-2.995,0,0.0,0,-,0,,,,0.35,1.317,163.422,0.581,60,-0.278424129556642,-0.054467520650964954,0.17613733333039114,-180.02563125334262,0.0,-135.23174824375602,-35.8114097583447,-63.25881498804498,-9.084221177658682,0.10174792641673569,0,0.0,0.0,4943.0092030143915,5.390413525642739,127.62901095324725,5.485531262580083,32.66501061091026,0.0,-0.516220763053232,10910.884614970513,0.0,274.4069570695942,0.05893276997578548,9.345839221516515,0.0004715565339558523,-44.11849778188664,-180.02563125334262,0.006154404352500226,14197.443443566328,5.993781045013926
16,2021-01-18 04:15:00,0.396,-7.623,38.28,1.391,620.652,-2.97,0,0.0,0,-,0,,,,0.35,1.318,163.791,0.581,60,-0.7946448926098739,-0.056891747992303725,0.19381127771862688,-206.21652415353395,0.0,-132.6091705589169,-21.707245165461252,-39.81849951868487,-52.235284305585886,0.3351758764300574,0,0.0,0.0,5070.638213967639,5.529594562669181,149.02787742707065,3.4528919190034713,38.15054187349034,0.0,0.27184570808627934,11677.770072754685,0.0,274.4072424233462,0.06045442021672735,9.345839221516515,0.0005072066630990819,23.23313033416901,-206.21652415353395,0.006305776140478338,14964.3289013505,5.743249676425333
17,2021-01-18 04:30:00,0.431,-8.03,39.29,0.863,620.628,-3.04,0,0.0,0,-,0,,,,0.35,1.31,162.694,0.581,60,-0.5227991845235946,-0.06467658953419907,0.2098479764208233,-176.0123720369479,0.0,-134.8913256077055,-14.80585588427216,-25.47845725115891,-26.52332472021334,0.20813417524310196,0,0.0,0.0,5219.66609139471,5.692111331946249,127.93796920282522,2.20938684250167,41.60343379249381,0.0,0.16000481435606853,12425.289303408612,0.0,274.4075848260023,0.06223119732955029,9.345839221516515,0.0005922466471433063,13.674715456052784,-176.0123720369479,0.006468591935280226,15711.848132004427,5.8739654728379
18,2021-01-18 04:45:00,0.464,-7.712,36.16,0.607,620.603,-3.095,0,0.0,0,-,0,,,,0.35,1.236,162.094,0.576,60,-0.36279437016752614,-0.06937272769354072,0.22473009436947555,-160.48611893474487,0.0,-136.19055178845684,-10.194273579900829,-18.518150344612312,-14.234600834403976,0.13330726801679127,0,0.0,0.0,5347.604060597535,5.831629291818468,117.06121964696887,1.6058194702355273,43.81282063499548,0.0,0.07674487010312322,13195.141947363285,0.0,274.40788668431776,0.06375653110914377,9.345839221516515,0.0005084333217709185,6.558954276441366,-160.48611893474487,0.006658706174430878,16481.7007759591,5.952164372494638
19,2021-01-18 05:00:00,0.494,-8.19,38.55,0.733,620.579,-2.905,0,0.0,0,-,0,,,,0.35,1.27,161.587,0.578,60,-0.2860495000644029,-0.07230858708507214,0.23804679808947776,-158.52189275707943,0.0,-137.03336623952055,-13.239103740115612,-22.38033612460943,-8.346529510717792,0.09710673327450785,0,0.0,0.0,5464.665280244504,5.959286019895861,115.27403222357704,1.940734676090409,45.418640105231006,0.0,-0.04812643909485954,13976.47490824608,0.0,274.4081692831215,0.06515218740821209,9.345839221516515,0.0004652079414330038,-4.113097241378714,-158.52189275707943,0.006821916105977931,17263.033736841895,5.9900070647883705
20,2021-01-18 05:15:00,0.521,-8.05,39.54,1.911,620.605,-2.611,0,0.0,0,-,0,,,,0.35,1.317,162.758,0.581,60,-0.3341759391592624,-0.07440138307267155,0.24985012492989,-181.66143836279696,0.0,-135.6517450399796,-33.69547609569582,-57.47296934350138,-12.432237956881629,0.11802072976007014,0,0.0,0.0,5579.939312468081,6.084993797675115,129.34098826065386,4.983834892721989,47.359374781321414,0.0,-0.41270391850050486,14759.260141346413,0.0,274.4084535469672,0.06652653605823493,9.345839221516515,0.00045810508523729784,-35.27149277229455,-181.66143836279696,0.00697125061366507,18045.81896994223,5.966250720200208
21,2021-01-18 05:30:00,0.545,-7.958,38.74,1.242,620.63,-2.787,0,0.0,0,-,0,,,,0.35,1.299,162.667,0.58,60,-0.7468798576597673,-0.07689236390315832,0.2601933854775393,-200.40323698527374,0.0,-133.9411530943199,-20.467764690776292,-35.88887024766362,-46.29870779825454,0.30438859807701163,0,0.0,0.0,5709.280300728735,6.226041767425011,145.07098595474596,3.1121485168945844,52.3432096740434,0.0,0.2500597782673103,15524.935318193036,0.0,274.4087795634695,0.06806859725952859,9.345839221516515,0.0005140073781500818,21.371208913748717,-200.40323698527374,0.00711830521384038,18811.494146788853,5.76602322008218
22,2021-01-18 05:45:00,0.567,-8.17,41.64,1.238,620.656,-2.601,0,0.0,0,-,0,,,,0.35,1.374,163.461,0.585,60,-0.496820079392457,-0.08317134385162922,0.26954707055054977,-178.81766970148382,0.0,-134.2377714495965,-21.710024228564425,-36.13826955435103,-23.057802842712697,0.18792881938978595,0,0.0,0.0,5854.351286683481,6.38424349692855,129.08863021779547,3.1337797688522304,55.455358190937986,0.0,-0.009197145953116199,16276.752183721395,0.0,274.4091541168682,0.06979819853969971,9.345839221516515,0.0005765184691073211,-0.7860285605955042,-178.81766970148382,0.007283304970924093,19563.311012317212,5.886598833418162
23,2021-01-18 06:00:00,0.584,-8.98,43.04,0.695,620.682,-2.945,0,0.0,0,-,0,,,,0.35,1.333,160.842,0.582,60,-0.5060172253455731,-0.08695191382792453,0.27668813190526553,-174.96172886162165,0.0,-136.81660554331827,-13.460303611268644,-20.451849280456763,-24.87520938425144,0.1903896772167248,0,0.0,0.0,5983.439916901276,6.525016267067913,127.59787599749781,1.7735124561933842,58.589137959790214,0.0,0.17976275653034673,17044.529773734746,0.0,274.40949530745,0.07133725101536074,9.345839221516515,0.0005130031853070354,15.363316129212166,-174.96172886162165,0.007468371420193746,20331.088602330565,5.8821242354611165
24,2021-01-18 06:15:00,0.598,-9.31,43.86,1.098,620.753,-2.735,0,0.0,0,-,0,,,,0.35,1.323,159.906,0.582,60,-0.3262544688152264,-0.0906993623625877,0.2825121817258311,-170.29652340443954,0.0,-138.53840500753182,-22.547164464548356,-33.00728216396932,-9.317971286102736,0.1070173537433924,0,0.0,0.0,6111.037792898774,6.66416335103465,123.05968965877167,2.862279042082257,60.3626504159836,0.0,-0.15065578561434262,17815.158385281055,0.0,274.4098398702495,0.07285853005141305,9.345839221516515,0.0005070782401710836,-12.875706324058424,-170.29652340443954,0.007633049245178981,21101.717213876873,5.970158061571536
25,2021-01-18 06:30:00,0.608,-8.83,42.06,1.195,620.824,-2.508,0,0.0,0,-,0,,,,0.35,1.318,160.936,0.581,60,-0.476910254429569,-0.09276181031510464,0.2866433458245102,-181.89624825143187,0.0,-136.84973584422633,-22.819013961690345,-35.3909459991712,-22.402024697791717,0.17452625227650173,0,0.0,0.0,6234.097482557545,6.79836148588609,131.4303069181799,3.0689860414384937,63.22492945806586,0.0,-0.029953170115217274,18589.2364165802,0.0,274.4101790648665,0.07432570279702097,9.345839221516515,0.0004890427213357029,-2.5599297119949753,-181.89624825143187,0.0077958253212482035,21875.795245176017,5.896300396753902
26,2021-01-18 06:45:00,0.614,-9.16,44.0,0.325,620.895,-2.569,0,0.0,0,-,0,,,,0.35,1.343,160.601,0.583,60,-0.5068634245447863,-0.09605890538527495,0.2891175525309668,-167.26773638618045,0.0,-137.05391021436247,-6.429665884581742,-9.541934474317188,-23.970796922749464,0.18663663551321483,0,0.0,0.0,6365.527789475725,6.941687883833942,122.8552729920103,0.8274461826312207,66.29391549950435,0.0,0.29915645898103715,19354.73712362058,0.0,274.410548799278,0.07589267379127534,9.345839221516515,0.0005223071477751973,25.56722727293895,-167.26773638618045,0.007952812052009643,22641.2959522164,5.88171682381086
27,2021-01-18 07:00:00,0.616,-9.93,45.07,0.209,620.967,-2.651,0,0.0,0,-,0,,,,0.35,1.295,157.969,0.58,60,-0.20770696556374912,-0.0995119911073445,0.2899527933555808,-144.42667570071745,0.0,-140.99446401511904,-4.646188629495515,-6.400041071169893,1.1648218224946056,0.04915512140250039,0,0.0,0.0,6488.383062467735,7.075663099746712,106.23850760999035,0.5549919014463052,67.12136168213557,0.0,0.033309512542790375,20131.05440444594,0.0,274.4109013854168,0.0773574093898122,9.345839221516515,0.0004882291023395334,2.8467775037620537,-144.42667570071745,0.008120477144155334,23417.613233041757,6.028871810579045
28,2021-01-18 07:15:00,0.614,-9.95,45.88,0.095,621.052,-2.437,0,0.0,0,-,0,,,,0.35,1.316,158.289,0.582,60,-0.17439745302095874,-0.1004042229743707,0.28915487068528095,-140.23097031686777,0.0,-140.8204311386961,-2.1237746346660247,-2.906400919458454,2.679618865481922,0.033616591012447655,0,0.0,0.0,6594.621570077725,7.191517524621292,103.43914949650593,0.2520344446060128,67.67635358358187,0.0,0.03998607713311233,20924.2609049345,0.0,274.4112117163604,0.07862403246786194,9.345839221516515,0.00042219323026041215,3.4173860905351656,-140.23097031686777,0.008277203101431024,24210.81973353032,6.045464124637391
29,2021-01-18 07:30:00,0.608,-9.7,42.68,0.489,621.138,1.279,0,1.279,0,-,0,,,,0.35,1.249,157.683,0.577,60,-0.1344113758878464,-0.10100458017263099,0.2867192622444289,-146.13559587847013,0.23836405866690596,-141.60172652579843,-10.69847760367913,-15.235429731537945,5.911066822898887,0.015177369441605689,0,0.0,0.0,6698.0607195742305,7.3043192143666635,106.73619779023713,1.3211726368609418,67.92838802818788,0.0,-0.1448595904237845,21720.56972099339,0.0,274.4115187123504,0.07985728034448959,9.345839221516515,0.00041106807932456845,-12.380337979814488,-146.13559587847013,0.008412731120694789,25007.128549589208,6.065436821071993
30,2021-01-18 07:45:00,0.598,-9.76,42.97,0.268,621.223,8.74,0,8.74,0,-,0,,,,0.35,1.251,157.59,0.577,60,-0.2792709663116309,-0.10127144653868358,0.282626530124676,-151.35278759623452,1.6056013176382844,-141.06004086173365,-5.81215755442452,-8.221489007678008,-6.167059207633805,0.08086870991916076,0,0.0,0.0,6804.796917364468,7.420716376624283,111.20231669143755,0.7129447111086432,69.24956066504882,0.0,0.08180169930409706,22512.512350566292,0.0,274.4118405019893,0.08112983710781223,9.345839221516515,0.00042417010336811666,6.991133150005073,-151.35278759623452,0.008544688010536034,25799.07117916211,5.993372951684107
