,time,sea,temp,RH,wind,SW_global,ppt,press,SW_direct,SW_diffuse,alb,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1737,2021-03-31 09:00:00,0.596,-3.408,68.168,2.191,681.3,0,616.858,681.3,0,0.25,3.241,197.917,0.659,0.0,-12.240055258881604,-2.5690310693905474,0.30245858971164274,1075633.2284262842,1172.9915250014003,0.0,93350.5030157399,0.0,5.3678961397143246,1900817.7253596387,186.37288427996916,154.54877787790664,-56.95218160544417,64.51138121597529,23.188927532134773,0.0,1.0759792593965907,14434.16754083932,950.1609581334069,3.7926758613431075,17.18542798162273,7.665006678566491e-05,0.0,27.850972249743517,2.099229339236711e-05,0.0,0.0,186.37288427996916,0.0,,3084235.624342496,0.0,0.22069058281935108,2.1262316134657135
1738,2021-03-31 10:00:00,0.788,-1.694,49.293,3.298,878.5,0,616.792,878.5,0,0.25,2.662,197.183,0.64,0.0,-6.8721591191672795,-2.5706627717505515,0.37033266930592135,1075661.0793985338,1173.0218968359147,28.486765441972473,93350.5030157399,0.0,5.713518368323691,1900817.7253596387,198.37285781534138,244.00293748893893,-79.31685022612061,56.92616343815431,-23.717965453807373,0.0,0.4785725681761384,14434.16754083932,950.1741076675182,3.792722547110745,17.185544696041823,0.00011671441909404776,0.0,0.0,3.196493631362384e-05,0.0,0.0,198.37285781534138,0.0,,3084263.4753147457,0.0,0.2206913825712582,3.4194831609565703
1739,2021-03-31 11:00:00,0.947,-0.461,37.13,5.009,999.5,0,616.337,999.5,0,0.25,2.195,195.204,0.623,0.0,-1.1586407508435883,-2.5713885093240476,0.4163319999932223,1075632.5926330918,1172.9908316609508,191.85916528649005,93378.98978118188,182.31679513897154,1.1586407508435883,1900817.7253596387,58.03010237255968,312.09287549491927,-105.8020486118167,11.639879677624762,-159.7434246059638,0.0,-0.15717958220384987,14434.16754083932,950.1606579491028,3.7926747955726525,17.185425317196593,-0.00011937884523156395,0.0,0.0,-3.2694192267773435e-05,0.0,0.0,40.2279054882237,17.802196884335974,,3084263.4753147457,0.0,0.22069260033313262,5.554061248689625
1740,2021-03-31 12:00:00,1.039,0.806,25.242,3.927,1055.25,0,615.764,1055.25,0,0.25,1.636,190.553,0.597,0.0,0.0,-2.571150149370957,0.4382151407590426,1075258.4166726666,1172.582788083606,200.43429319582478,93570.84894646837,763.2193741267845,-0.0,1900817.7253596387,74.53788566544385,346.8198954644848,-115.61486980679894,10.53312826087773,-166.91417884743734,0.0,-0.2860894056823714,14616.484335978292,949.9839827259448,3.7920475005426595,17.18385707962161,-0.0015682375749822032,0.0,0.0,-0.0004294469297704047,0.0,0.0,0.0,74.53788566544384,,3084263.4753147457,0.0,0.22069135477127313,6.112911778902558
1741,2021-03-31 13:00:00,1.028,1.471,19.088,4.897,1020.5,0,615.331,1020.5,0,0.25,1.298,186.084,0.577,0.0,0.0,-2.5707162297604578,0.4357908889688516,1074294.763005344,1171.531911674312,268.6827098849655,93771.28323966419,135.83440190694517,-0.0,1900817.7253596387,13.272280980942186,333.5434516445348,-120.08386980679893,23.95496310750672,-223.8561501339141,0.0,-0.28611383038631066,15379.703710105076,949.5288694381818,3.79043132354569,17.179816637129186,-0.004040442492423781,0.0,0.0,-0.0011062043449180622,0.0,0.0,3.552713678800501e-15,13.272280980942181,,3084263.4753147457,0.0,0.22067499065967328,6.112911778902558
1742,2021-03-31 14:00:00,0.919,1.706,15.233,5.017,895.0,0,614.926,895.0,0,0.25,1.053,181.213,0.56,0.0,0.0,-2.5702820919248115,0.4089630845325394,1073890.245893552,1171.0907806908963,289.20957708737797,94039.96594954915,0.0,-1.8228138334454247,1900817.7253596387,-63.28793680101473,274.5164704924671,-124.95486980679894,28.443410573675486,-241.00685200978592,0.0,-0.2860960505724436,15515.53811201202,949.3377800905013,3.7897526189636337,17.178119875674046,-0.001696761455140618,0.0,0.0,-0.00046457880072318556,0.0,0.0,-63.28793680101472,0.0,,3084263.4753147457,0.0,0.22063281603097984,6.112911778902558
1743,2021-03-31 15:00:00,0.751,1.294,15.22,7.558,791.4,0,614.86,791.4,0,0.25,1.022,179.387,0.558,0.0,-1.8228138334454247,-2.569847904941197,0.35823734152799735,1073601.0363164647,1170.775394020136,364.4396183419676,94329.17552663652,0.0,-3.7905481474533373,1900817.7253596387,-131.607500006617,212.63177406394283,-118.6897050827892,78.27556525031511,-303.74197612290595,0.0,-0.08315811517977616,15515.53811201202,949.20114460163,3.789267279267336,17.176906526433303,-0.0012133492407437664,0.0,0.0,-0.00033221754930076,0.0,0.0,-131.607500006617,0.0,,3084263.4753147457,0.0,0.2206150991139785,5.2551050606470255
1744,2021-03-31 16:00:00,0.554,1.31,11.308,5.596,473.5,0,614.985,473.5,0,0.25,0.76,171.999,0.535,0.0,-5.6133619808987625,-2.569721686143555,0.28602672159364706,1073236.5966981228,1170.3779680459354,194.50620694824647,94693.6151449785,0.0,-1.1875188324282309,1900817.7253596387,-41.230549954010336,101.57523950594391,-109.76652469529515,128.76238459981346,-162.1404930083385,0.0,0.33884364386593474,15515.53811201202,949.0289479317266,3.7886555730997897,17.175377261014436,-0.001529265418866389,0.0,0.0,-0.0004186952117165668,0.0,0.0,-41.23054995401034,0.0,,3084263.4753147457,0.0,0.22060242765110732,3.8119497754896123
1745,2021-03-31 17:00:00,0.344,0.797,10.662,4.634,220.25,0,615.424,220.25,0,0.25,0.69,168.442,0.527,0.0,-6.800880813326994,-2.5702360700828586,0.19694284228668113,1073042.0904911745,1170.1658565879766,145.15411785825106,94888.12135192675,0.0,-2.2829774465456136,1900817.7253596387,-79.26477718353715,32.532495760231136,-108.35402741737948,117.09802058917036,-121.01228127645612,0.0,0.4710151608969494,15515.53811201202,948.9370355629833,3.7883290433919807,17.174560936744914,-0.0008163242695223934,0.0,0.0,-0.0002235036754369751,0.0,0.0,-79.26477718353715,0.0,,3084263.4753147457,0.0,0.22058645440641803,3.4406804555639026
1746,2021-03-31 18:00:00,0.128,-0.254,11.165,3.56,17.906,0,615.692,17.906,0,0.25,0.67,165.251,0.525,0.0,-9.083858259872606,-2.570951158256743,0.09632781323586452,1072896.9363733162,1170.0075642020897,87.07804623161621,95033.275469785,0.0,-1.9633572185115562,1900817.7253596387,-68.16759083296462,1.2936343678510425,-102.17625915091449,104.5904886781987,-72.600591390358,0.0,0.7251366622581337,15515.53811201202,948.868440165731,3.7880853395737213,17.173951677199266,-0.0006092595456489158,0.0,0.0,-0.00016681020969209112,0.0,0.0,-68.16759083296462,0.0,,3084263.4753147457,0.0,0.22057792669895065,2.8181200622309426
