,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,missing_type,cld,DroneV,dia,h_s,h_f,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_in,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
786,2021-01-26 04:30:00,0.453,-14.32,45.75,2.719,619.784,-3.14,0,0.0,0,-,0,,,,5,0.35,0.922,141.03,0.554,36.148,-4.005728929124872,-2.209016079789454,0.23645628494234772,113878.74371208796,124.18619815931075,190.06396541423518,5.494213589855748,3794.046068040896,0.0,0.1186324020613781,309366.69772202475,-254.42740169357762,0.0,-141.63714575135734,-64.00316235876623,-60.95185889565317,-49.591554431158656,0.8044608477045759,382.6997698787015,285.2436986503474,1.3186732952600642,9.48317470023071,0,0.0,0.0,0.000734797777939911,346.6618209959091,4.309010001662138,-254.42740169357762,0.1388193094277448,310763.48522417794,4.3874350698513815
787,2021-01-26 04:45:00,0.486,-14.51,44.7,2.988,619.781,-3.153,0,0.0,0,-,0,,,,5,0.35,0.886,139.852,0.551,36.148,-3.8870965270634934,-2.209880893135095,0.25072714277999764,114068.80767750219,124.39346529716705,193.99843293229588,6.178003274281863,3799.540281630752,0.0,-0.2096527682572524,309713.35954302066,-260.4276491784013,0.0,-143.3138472100276,-72.43949438627216,-68.53553224549603,-45.425264704244036,0.750957122142517,382.6997698787015,285.2527367706494,1.3208741649519238,9.48317470023071,0,0.0,0.0,0.000726631784810705,342.04356379342227,-7.615085420164178,-260.4276491784013,0.13905399161611806,311110.14704517386,4.431807997468761
788,2021-01-26 05:00:00,0.518,-14.55,44.2,3.028,619.778,-3.057,0,0.0,0,-,0,,,,5,0.35,0.874,139.479,0.55,36.148,-4.096749295320746,-2.2106868691861674,0.2643042137506344,114262.80611043448,124.60502302119355,199.0053147722604,6.1441203992183,3805.7182849050337,0.0,0.009603222382154235,310055.4031068141,-266.88882818695436,0.0,-142.80596531686487,-72.23650360408435,-68.15744548860094,-52.69082552488075,0.8444662588755845,382.6997698787015,285.26197723410644,1.3231205943073168,9.48317470023071,0,0.0,0.0,0.0007416501114819904,337.07056482852136,0.34881179655688754,-266.88882818695436,0.1392860731459254,311452.19060896727,4.35366514208455
789,2021-01-26 05:15:00,0.546,-14.61,47.53,2.744,619.798,-2.784,0,0.0,0,-,0,,,,5,0.35,0.935,140.708,0.555,36.148,-4.087146072938592,-2.2115916958361126,0.2759643882441371,114461.81142520675,124.8220408126573,193.29193630367755,5.476114478349451,3811.8624053042518,0.0,0.2031647215784928,310392.4736716426,-258.57836962674884,0.0,-141.61726946378442,-65.8993518238652,-60.745155852114785,-51.90150972037838,0.839761381279139,382.6997698787015,285.2714721868875,1.3254250014833258,9.48317470023071,0,0.0,0.0,0.0007607666243077724,343.45194921797304,7.379424188121,-258.57836962674884,0.13952295893854275,311789.2611737958,4.3572171402564015
790,2021-01-26 05:30:00,0.572,-14.74,46.68,3.066,619.817,-2.785,0,0.0,0,-,0,,,,5,0.35,0.908,139.858,0.553,36.148,-3.883981351360099,-2.2124899468297556,0.28659743877206173,114655.10336151042,125.03282809325019,196.25083402437957,6.302656294113946,3817.338519782601,0.0,-0.25325942221164505,310735.9256208606,-263.4943345328089,0.0,-143.32095152798718,-75.9660488609704,-69.9115116867284,-44.95572829749518,0.74839415364384,382.6997698787015,285.28071005705084,1.3276632498717797,9.48317470023071,0,0.0,0.0,0.0007389006653101152,339.6665096815065,-9.19898243955759,-263.4943345328089,0.13976595848762338,312132.7131230138,4.432979218200669
791,2021-01-26 05:45:00,0.594,-14.98,45.63,3.614,619.837,-2.761,0,0.0,0,-,0,,,,5,0.35,0.87,138.512,0.55,36.148,-4.137240773571744,-2.2132891431613584,0.2954458353309506,114851.3541955348,125.24684208891473,212.59964402256503,7.310827496270854,3823.641176076715,0.0,-0.30860829671255197,311075.5921305421,-286.0639678903961,0.0,-143.60307247259595,-89.43732120460263,-81.09186772013237,-53.88500499781899,0.8614307846214998,382.6997698787015,285.29010497957034,1.3299357611900884,9.48317470023071,0,0.0,0.0,0.0007501874053164591,322.30952848116414,-11.209384738263097,-286.0639678903961,0.1400019815979431,312472.3796326953,4.338719434287663
792,2021-01-26 06:00:00,0.613,-14.83,44.97,3.001,619.857,-2.815,0,0.0,0,-,0,,,,5,0.35,0.869,138.78,0.55,36.148,-4.445849070284296,-2.2142075075937284,0.30297607828796086,115063.95383955738,125.478684666911,206.2290504881277,5.8760446636859465,3830.952003572986,0.0,0.43729570347093266,311397.90165902325,-275.90071739216535,0.0,-142.04274194949195,-71.128200409557,-65.17489420654348,-63.72897101702601,0.9991959839096525,382.6997698787015,285.3003003331543,1.3323975856185624,9.48317470023071,0,0.0,0.0,0.0008126555178380842,330.11490484818637,15.883616340881503,-275.90071739216535,0.1402416177314263,312794.68916117644,4.226332526227128
793,2021-01-26 06:15:00,0.628,-14.83,47.28,2.562,619.909,-2.831,0,0.0,0,-,0,,,,5,0.35,0.913,139.777,0.554,36.148,-4.008553366813363,-2.2152708121978746,0.3088468413775173,115270.1828900455,125.70358003276499,189.84501925589095,5.190054483368771,3836.828048236672,0.0,0.20846999528809987,311728.0165638714,-253.68767373245402,0.0,-142.8782805436117,-63.28571814270601,-57.564148160536355,-48.32660001246768,0.8029249663313828,382.6997698787015,285.3102078477324,1.3347856409546228,9.48317470023071,0,0.0,0.0,0.0007882759520105413,347.1849262607403,7.57212430275262,-253.68767373245402,0.14050121691696213,313124.8040660246,4.386385407838636
794,2021-01-26 06:30:00,0.639,-15.25,47.32,3.664,619.961,-3.031,0,0.0,0,-,0,,,,5,0.35,0.883,138.229,0.551,36.148,-3.800083371525263,-2.216123753940411,0.3131111873922173,115460.0279093014,125.91060840708985,209.48098938286572,7.65399708672417,3842.018102720041,0.0,-0.7531569482657839,312075.20149013214,-282.42461609712626,0.0,-145.30304841326782,-95.77132218222832,-84.88961263795616,-42.05944814197605,0.7092026403459234,382.6997698787015,285.3193436301373,1.33698397533179,9.48317470023071,0,0.0,0.0,0.0007256255424108172,325.08501353041015,-27.356445342980663,-282.42461609712626,0.1407530371577094,313471.98899228533,4.464616691769058
795,2021-01-26 06:45:00,0.646,-15.34,45.69,3.779,620.013,-2.702,0,0.0,0,-,0,,,,5,0.35,0.846,137.207,0.548,36.148,-4.553240319791047,-2.2168759204300112,0.3158136607946892,115669.50889868426,126.1390500530908,225.57588864075572,7.366027117027293,3849.6720998067653,0.0,0.08725787946476497,312400.28650366253,-302.9737581327736,0.0,-143.16707258077537,-93.06406411102108,-81.69287918508469,-67.78870606487902,1.0460846239019106,382.6997698787015,285.32944144732653,1.3394096869049896,9.48317470023071,0,0.0,0.0,0.0008006525007889951,309.278084242217,3.1694129833345954,-302.9737581327736,0.14098485133878882,313797.0740058157,4.187852898369908
