,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,cld,h_f,missing_type,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,s_cone,input,vp_ice
10,2021-01-18 10:00:00,0.359,-8.01,38.35,2.153,622.152,258.3,0.0,258.3,0,0,5.0,-,0.35,1.281,162.216,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,
11,2021-01-18 11:00:00,0.192,-6.634,34.85,1.615,621.824,394.3,0.0,394.3,0,0,5.0,-,0.35,1.295,165.745,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,
12,2021-01-18 12:00:00,0.004,-6.094,34.56,2.039,620.977,627.6,0.0,627.6,0,0,5.0,-,0.35,1.339,167.837,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,
13,2021-01-18 13:00:00,0.0,-4.935,31.64,2.156,620.286,742.8,0.0,742.8,0,0,5.0,-,0.35,1.339,170.667,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,
14,2021-01-18 14:00:00,0.0,-3.999,28.67,1.974,619.716,626.5,0.0,626.5,0,0,5.0,-,0.35,1.302,172.29,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,
15,2021-01-18 15:00:00,0.0,-3.287,25.75,2.939,619.431,424.1,0.0,424.1,0,0,5.0,-,0.35,1.234,172.718,0.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2916722704897452,7.62,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16951079665219754,,
16,2021-01-18 16:00:00,0.0,-3.293,24.32,2.705,619.086,284.0,0.0,284.0,0,0,5.0,-,0.35,1.165,171.288,0.57,30.0,0.0,0.0,0.026599040376995592,72021.18,78.53999999999999,266.79851456463746,20.330117055959843,0.0,0.0,-8.13705562399954,0.0,-230.91157322905065,4.910182853593387,-128.58653883563892,-20.30594973446016,-86.92926751254495,0.0,0.0,0.0,185.01687582767582,1.2916722704897452,7.619999999999999,0,0.0,0,0.0,1512.8713683794026,287.1286316205973,-86.92926751254495,-143.9823057165057,0.16951079665219754,72021.18,6.132967765159452
17,2021-01-18 17:00:00,0.0,-3.41,19.08,2.14,619.165,46.59,0.0,46.59,0,0,5.0,-,0.35,0.906,164.969,0.55,60.0,-8.13705562399954,0.0,0.026599040376995595,72287.97851456463,78.83094712602468,290.12034910540007,7.033168811627164,20.330117055959843,0.0,-2.808069691994461,1512.8713683794026,-178.64146592246266,0.8055120392567461,-100.73807758536066,23.06344658239582,-29.99898891305281,-78.56614947364349,6.7927914279417525,0.0,185.47351743503023,1.2932652814130658,7.629397695927234,0,0.0,0,0.0015725437191776907,3302.8464820829727,297.1535179170272,-29.99898891305281,-148.64247700940984,0.16951079665219754,73534.0513683794,3.0730696141345493
18,2021-01-18 18:00:00,0.0,-3.919,19.13,2.859,619.47,-3.18,0.0,0.0,0,0,5.0,-,0.35,0.874,162.941,0.547,60.0,-10.945125315994002,-0.02992045394495745,0.026702793674335385,72578.09886367003,79.14732700509273,282.4687338874555,6.604549565589129,27.363285867587006,0.0,-2.636642619883161,4815.717850462375,-172.75194359581923,0.0,-91.68211066540584,45.820903614328216,-28.167610279422327,-107.83510895872394,9.111982693404663,0.0,185.49434948120765,1.2984556682884423,7.629397695927234,0,0.0,0,0.0017057954334579156,3310.9267165469555,289.07328345304467,-28.167610279422327,-144.5843333163969,0.16951079665219754,76836.89785046237,2.397055981116788
19,2021-01-18 19:00:00,0.0,-5.772,24.82,0.666,619.979,-3.852,0.0,0.0,0,0,5.0,-,0.35,0.985,161.397,0.557,60.0,-13.581767935877163,-0.0699003861423205,0.026803776944819956,72860.56759755748,79.4553627018075,391.45555870616386,0.9133215301658971,33.967835433176134,0.0,-0.3645726563423635,8126.644567009331,-200.12241393543175,0.0,-83.13794493364264,11.874153566048074,-3.894779074321617,-136.24351298435897,11.279669490843382,0.0,185.51471001139984,1.3035091642379484,7.629397695927234,0,0.0,0,0.0016606203777974106,3207.63111976367,392.36888023632974,-3.894779074321617,-196.22763486111015,0.17019111075853222,80147.82456700932,1.889042020661104
20,2021-01-18 20:00:00,0.0,-6.195,25.81,0.864,620.133,-3.928,0.0,0.0,0,0,5.0,-,0.35,0.992,160.569,0.558,60.0,-13.946340592219528,-0.11920485065834106,0.026943668189077962,73252.02315626365,79.88224989777933,383.84712523383564,1.094721914321639,34.88115696334203,0.0,-0.4369159119097093,11334.275686773,-197.15152440323902,0.0,-82.59500509996278,15.292860568966631,-4.667631873483281,-136.72460250023806,11.542854501478478,0.0,185.54305340930316,1.3105124847580931,7.629397695927234,0,0.0,0,0.002301096209274173,3215.058152851843,384.9418471481573,-4.667631873483281,-192.48389252975574,0.17085348230487377,83355.45568677298,1.8271468989697897
