,time,sea,temp,RH,wind,SW_global,ppt,press,missing_type,alb,vp_a,LW_in,SW_diffuse,SW_direct,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,dr,snow2ice,dep,t_cone,fountain_runoff,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
3242,2021-06-02 03:00:00,0.0,2.483,84.55,0.509,0.0,0.0,623.216,-,0.25,6.175,235.86,0.0,0.0,0.721,0.0,-8.170778568549107,-4.757727473884658,0.018402779903797337,141400.30217150223,154.19880280425542,0.0,118411.54665541691,0.0,-0.26860286156958724,2394814.7786830296,-2.8694978002909792,0.0,-35.28529447473079,17.406763663000074,14.375890981502632,0.0,0.6331420299371049,431733.4921362593,369.9276576795294,1.2589490946764308,10.814888851964815,7.117646829525049e-05,0.0,6.722241165813463,1.72699008721215e-05,0.0,0.0,-2.8694978002909792,0.0,,3086360.1196462093,0.0,0.11640635507842578,3.053579051941678
3243,2021-06-02 04:00:00,0.0,2.47,84.5,0.255,0.0,0.0,623.278,-,0.25,6.165,235.766,0.0,0.0,0.721,0.0,-8.439381430118694,-4.760571094667552,0.018403231724082623,141407.02441266805,154.20613349254967,0.0,118411.54665541691,0.0,-1.621778775169669,2394814.7786830296,-17.325543744076334,0.0,-34.281551989651945,8.930599480913678,7.342972844014613,0.0,0.68243592064732,431733.4921362593,369.9333679994503,1.2589899304734995,10.814970523558951,8.167159413722974e-05,0.0,3.433665179470991,1.981654559226475e-05,0.0,0.0,-17.325543744076334,0.0,,3086366.841887375,0.0,0.1164088796388979,2.9825134572725016
3244,2021-06-02 05:00:00,0.0,2.534,84.15,0.481,11.578,0.0,623.526,-,0.25,6.168,235.991,0.0,11.578,0.721,0.0,-10.061160205288363,-4.763636009926885,0.01840346250332854,141410.45807784752,154.2098779474891,0.0,118411.54665541691,0.0,0.8139566273182666,2394814.7786830296,8.695539347472408,0.15980646664765336,-27.499217601573235,19.456398025907454,15.59584228677672,0.0,0.9827101697138164,431733.4921362593,369.93628475109585,1.259010788698299,10.815012240008551,4.171644959904554e-05,0.0,7.292866794692126,1.0121971315229127e-05,0.0,0.0,8.695539347472408,0.0,,3086370.2755525545,0.0,0.11641177641038966,2.5845776492843218
3245,2021-06-02 06:00:00,0.154,2.567,83.65,0.484,93.628,0.0,623.784,-,0.25,6.145,235.978,0.0,93.628,0.72,0.0,-9.247203577970097,-4.7680494265076865,0.09436765673852657,141417.7509446422,154.21783091018779,0.0,118411.54665541691,0.0,0.9161246918086431,2394814.7786830296,9.787005888826325,6.6265912238360745,-30.788175148557116,18.37145057574348,14.746247753788188,0.0,0.8308914840156995,431733.4921362593,369.9424796564042,1.2590550893085024,10.815100841228958,8.860122040674402e-05,0.0,6.89569819339561,2.1498195842108775e-05,0.0,0.0,9.787005888826325,0.0,,3086377.5684193494,0.0,0.11641325601470642,2.777790788480333
3246,2021-06-02 07:00:00,0.361,2.974,81.225,1.543,381.675,0.0,624.047,-,0.25,6.143,237.309,0.0,381.675,0.72,0.0,-8.331078886161455,-4.77178088534563,0.19263834419332213,141424.6466428356,154.22535075554592,0.0,118411.54665541691,133.2532325719745,8.331078886161455,2394814.7786830296,122.41934654175898,55.14393001498967,-33.18076758052561,56.06823355918929,43.72770014405569,0.0,0.6602504040499497,431733.4921362593,369.94833709668575,1.259096976296021,10.815184615203995,8.377397503697858e-05,0.0,20.44844235677011,2.0327066426965918e-05,0.0,0.0,89.00133229480713,33.41801424695185,,3086384.464117543,0.0,0.11641639849614491,3.010983786979678
3247,2021-06-02 08:00:00,0.574,4.301,74.165,1.647,621.65,0.0,624.246,-,0.25,6.159,241.833,0.0,621.65,0.72,0.0,0.0,-4.774745912828329,0.285126272472141,141311.84185262042,154.10233571714332,0.0,118411.54665541691,363.4782067698046,-0.0,2394814.7786830296,91.17878011512772,132.93656046172984,-64.33486980679893,22.77610574184376,0.6868325410584695,0.0,-0.885848822705408,431866.74536883127,369.852505727471,1.2584116345950267,10.813813931802006,-0.0013706834019886346,0.0,0.32110121164758,-0.0003325195062856819,0.0,0.0,0.0,91.17878011512772,,3086404.9125598995,0.0,0.11641936971893956,6.112911778902558
3248,2021-06-02 09:00:00,0.791,5.535,67.12,1.95,848.95,0.0,624.218,-,0.25,6.076,245.53,0.0,848.95,0.718,0.0,0.0,-4.770765632217827,0.3660698597857731,140948.68474706227,153.70630833921732,0.30421834561982375,118411.54665541691,818.9561548304237,-0.0,2394814.7786830296,205.6073621155954,233.08125559884905,-60.63786980679893,34.70077768065929,-0.6512637843291911,0.0,-0.8855375727848023,432230.22357560106,369.5438303414585,1.256203485828476,10.809397634268905,-0.004416297533101379,0.0,0.0,-0.0010707711095455433,0.0,0.0,0.0,205.6073621155954,,3086405.233661111,0.0,0.1163707497217243,6.112911778902558
3249,2021-06-02 10:00:00,1.005,6.844,49.323,1.634,1111.5,0.0,624.069,-,0.25,4.888,242.356,0.0,1111.5,0.695,0.0,0.0,-4.766779827733885,0.42909586522732035,140129.42437388623,152.81289462801115,8.442873915876886,118411.85087376252,1235.7802205021676,-0.0,2394814.7786830296,310.8418305094317,357.70504065012494,-63.81186980679894,35.94290557560972,-18.108481754268364,0.0,-0.8857641552356387,433049.17973043147,368.8465689833997,1.2512119090100216,10.799414480631995,-0.009983153636908892,0.0,0.0,-0.0024176123042851253,0.0,0.0,5.684341886080802e-14,310.84183050943165,,3086405.233661111,0.0,0.11621401379906214,6.112911778902558
3250,2021-06-02 11:00:00,1.207,8.8,38.62,2.938,600.975,0.0,623.646,-,0.25,4.373,245.027,0.0,600.975,0.684,0.0,0.0,-4.762777260998256,0.4706876453398748,138885.20127946817,151.45605373987803,21.497509614523,118420.2937476784,740.9460668507699,-0.0,2394814.7786830296,186.91162316285556,212.15363074359843,-61.140869806798946,83.02680180616021,-46.24144340865802,0.0,-0.8864961714460956,434284.95995093364,367.78520443163313,1.2436040930324033,10.784198848676759,-0.015215631955236468,0.0,0.0,-0.003678605149758589,0.0,0.0,0.0,186.91162316285556,,3086405.233661111,0.0,0.11585923581819957,6.112911778902558
3251,2021-06-02 12:00:00,1.351,8.988,35.065,2.782,1126.95,0.0,623.302,-,0.25,4.022,242.733,0.0,1126.95,0.676,0.0,0.0,-4.758747129506453,0.48874068967622286,138122.75770300286,150.6245994580184,24.412952184617314,118441.79125729292,1489.4440403195354,-0.0,2394814.7786830296,376.3954005197038,413.0897401729645,-63.43486980679893,80.23302241254083,-52.605837055395305,0.0,-0.8866552036073566,435025.90601778444,367.13336027592464,1.238925886627652,10.774842435867257,-0.009356412809502532,0.0,0.0,-0.0022607061726274322,0.0,0.0,5.684341886080802e-14,376.39540051970374,,3086405.233661111,0.0,0.11531724428328728,6.112911778902558
