time,temp,RH,wind,tcc,SW_global,Discharge
2018-12-31 21:00:00,5.163,82.592,0.661,1.0,1.391,1000000
2018-12-31 22:00:00,4.438,83.88,0.49,0.986,0.0,1000000
2018-12-31 23:00:00,4.301,85.944,0.506,0.986,0.0,1000000
2019-01-01 00:00:00,3.829,89.274,0.544,1.0,0.0,1000000
2019-01-01 01:00:00,4.133,92.5,0.11,0.995,0.0,1000000
2019-01-01 02:00:00,4.021,89.931,0.275,0.981,0.0,1000000
2019-01-01 03:00:00,4.249,89.812,0.568,0.985,0.0,1000000
2019-01-01 04:00:00,4.358,90.499,0.681,1.0,0.0,1000000
2019-01-01 05:00:00,4.171,90.734,0.734,1.0,0.0,1000000
2019-01-01 06:00:00,3.181,92.643,0.876,1.0,0.0,1000000
2019-01-01 07:00:00,3.945,87.12,0.955,0.986,0.0,1000000
2019-01-01 08:00:00,4.79,81.354,1.01,0.938,33.959,1000000
2019-01-01 09:00:00,6.131,74.308,1.399,0.887,202.811,1000000
2019-01-01 10:00:00,7.56,67.74,1.776,0.754,476.491,1000000
2019-01-01 11:00:00,8.893,52.963,2.017,0.511,585.436,1000000
2019-01-01 12:00:00,10.124,52.827,2.374,0.449,816.941,1000000
2019-01-01 13:00:00,10.604,59.91,2.835,0.876,896.798,1000000
2019-01-01 14:00:00,11.383,65.613,3.365,0.84,979.118,1000000
2019-01-01 15:00:00,10.512,72.485,3.356,0.929,855.939,1000000
2019-01-01 16:00:00,8.607,82.631,1.617,0.911,612.325,1000000
2019-01-01 17:00:00,7.905,85.287,1.118,0.872,388.172,1000000
2019-01-01 18:00:00,5.466,80.922,1.258,0.948,375.537,1000000
2019-01-01 19:00:00,5.925,80.868,1.07,0.981,149.542,1000000
2019-01-01 20:00:00,5.823,78.694,1.111,0.962,59.437,1000000
2019-01-01 21:00:00,5.126,82.787,1.219,0.935,1.467,1000000
2019-01-01 22:00:00,4.242,84.299,1.387,0.974,0.0,1000000
2019-01-01 23:00:00,3.412,89.287,0.839,0.985,0.0,1000000
2019-01-02 00:00:00,3.461,93.942,1.029,0.99,0.0,1000000
2019-01-02 01:00:00,3.703,92.653,0.732,0.981,0.0,1000000
2019-01-02 02:00:00,3.106,94.818,0.676,0.995,0.0,1000000
2019-01-02 03:00:00,3.028,94.497,0.522,1.0,0.0,1000000
2019-01-02 04:00:00,3.74,90.598,0.457,1.0,0.0,1000000
2019-01-02 05:00:00,3.626,91.054,0.59,1.0,0.0,1000000
2019-01-02 06:00:00,3.18,93.344,0.647,1.0,0.0,1000000
2019-01-02 07:00:00,2.176,88.812,0.792,1.0,0.0,1000000
2019-01-02 08:00:00,1.692,90.928,0.865,1.0,32.323,1000000
2019-01-02 09:00:00,3.12,94.583,1.075,1.0,148.225,1000000
2019-01-02 10:00:00,5.247,81.037,1.749,0.91,352.747,1000000
2019-01-02 11:00:00,8.184,63.835,2.367,0.779,627.819,1000000
2019-01-02 12:00:00,8.852,54.682,2.579,0.446,764.931,1000000
2019-01-02 13:00:00,9.427,55.695,2.356,0.461,980.434,1000000
2019-01-02 14:00:00,10.484,51.09,2.238,0.686,921.11,1000000
2019-01-02 15:00:00,10.945,54.817,2.09,0.755,956.329,1000000
2019-01-02 16:00:00,10.343,61.522,1.889,0.839,615.616,1000000
2019-01-02 17:00:00,7.549,71.561,1.293,0.712,450.524,1000000
2019-01-02 18:00:00,7.584,74.658,2.275,0.899,356.226,1000000
2019-01-02 19:00:00,6.339,85.191,2.164,1.0,187.204,1000000
2019-01-02 20:00:00,5.855,84.781,1.356,0.991,55.902,1000000
2019-01-02 21:00:00,4.99,83.712,0.691,0.989,1.072,1000000
2019-01-02 22:00:00,4.958,86.624,0.384,0.989,0.0,1000000
2019-01-02 23:00:00,4.766,90.367,0.522,0.995,0.0,1000000
2019-01-03 00:00:00,4.427,92.24,0.755,1.0,0.0,1000000
2019-01-03 01:00:00,4.244,91.97,1.054,1.0,0.0,1000000
2019-01-03 02:00:00,3.663,94.293,1.154,1.0,0.0,1000000
2019-01-03 03:00:00,3.334,94.945,1.162,1.0,0.0,1000000
2019-01-03 04:00:00,3.21,94.349,1.214,1.0,0.0,1000000
