,time,ghi,sea,temp,ppt,RH,wind,Discharge,alb,vp_a,LW_in,SW_global,press,SW_direct,SW_diffuse,T_F,e_a
0,2022-05-01 00:00:00,0.0,0.0,-4.3,0.0,80.0,0.7,1000000.0,0.85,0.0,0.0,0.0,596.589,0.0,0.0,0.0,
1,2022-05-01 01:00:00,0.0,0.0,-5.7,0.0,86.0,0.7,1000000.0,0.845,3.44,194.842,0.0,596.589,0.0,0.0,0.0,0.672
2,2022-05-01 02:00:00,0.0,0.0,-6.8,0.0,91.0,0.8,1000000.0,0.839,3.346,191.013,0.0,596.589,0.0,0.0,0.0,0.669
3,2022-05-01 03:00:00,0.0,0.0,-7.7,0.0,94.0,10.5,1000000.0,0.834,3.225,187.541,0.0,596.589,0.0,0.0,0.0,0.666
4,2022-05-01 04:00:00,0.0,0.0,-8.4,0.0,95.0,0.9,1000000.0,0.829,3.086,184.483,0.0,596.589,0.0,0.0,0.0,0.662
5,2022-05-01 05:00:00,0.0,0.0,-8.9,0.0,98.0,1.0,1000000.0,0.824,3.062,182.935,0.0,596.589,0.0,0.0,0.0,0.662
6,2022-05-01 06:00:00,7.512,0.02,-9.5,0.0,97.0,0.6,1000000.0,0.819,2.891,179.859,7.512,596.589,6.01,1.502,0.0,0.657
7,2022-05-01 07:00:00,216.576,0.256,-6.8,0.0,92.0,0.9,1000000.0,0.814,3.383,191.311,216.576,596.589,173.261,43.315,0.0,0.67
8,2022-05-01 08:00:00,450.371,0.483,0.4,0.0,63.0,0.9,1000000.0,0.809,3.964,216.9,450.371,596.589,360.297,90.074,0.0,0.683
9,2022-05-01 09:00:00,654.429,0.693,8.5,0.0,39.0,2.4,1000000.0,0.804,4.329,245.814,654.429,596.589,523.543,130.886,0.0,0.689
10,2022-05-01 10:00:00,805.205,0.87,12.3,0.0,24.0,1.1,1000000.0,0.799,3.434,250.428,805.205,596.589,644.164,161.041,0.0,0.665
11,2022-05-01 11:00:00,888.003,0.983,14.5,0.0,23.0,3.6,1000000.0,0.794,3.799,261.702,888.003,596.589,710.403,177.601,0.0,0.674
12,2022-05-01 12:00:00,895.23,0.994,15.3,0.0,23.0,0.4,1000000.0,0.79,4.0,266.476,895.23,596.589,716.184,179.046,0.0,0.679
13,2022-05-01 13:00:00,826.236,0.897,16.5,0.0,19.0,2.6,1000000.0,0.785,3.568,266.392,826.236,596.589,660.989,165.247,0.0,0.667
14,2022-05-01 14:00:00,687.321,0.729,15.9,0.0,21.0,4.3,1000000.0,0.78,3.795,266.613,687.321,596.589,549.857,137.464,0.0,0.674
15,2022-05-01 15:00:00,491.808,0.524,15.7,0.0,22.0,3.0,1000000.0,0.775,3.925,267.186,491.808,596.589,393.447,98.362,0.0,0.677
16,2022-05-01 16:00:00,261.212,0.3,14.9,0.0,20.0,7.6,1000000.0,0.771,3.39,258.86,261.212,596.589,208.97,52.242,0.0,0.663
17,2022-05-01 17:00:00,37.145,0.065,12.3,0.0,23.0,8.7,1000000.0,0.766,3.291,248.91,37.145,596.589,29.716,7.429,0.0,0.661
18,2022-05-01 18:00:00,0.0,0.0,10.1,0.0,26.0,8.1,1000000.0,0.762,3.215,240.785,0.0,596.589,0.0,0.0,0.0,0.66
19,2022-05-01 19:00:00,0.0,0.0,9.3,0.0,24.0,6.4,1000000.0,0.757,2.812,233.664,0.0,596.589,0.0,0.0,0.0,0.648
20,2022-05-01 20:00:00,0.0,0.0,7.9,0.0,28.0,4.5,1000000.0,0.753,2.984,231.178,0.0,596.589,0.0,0.0,0.0,0.653
21,2022-05-01 21:00:00,0.0,0.0,4.9,0.0,30.0,1.2,1000000.0,0.748,2.6,217.476,0.0,596.589,0.0,0.0,0.0,0.642
22,2022-05-01 22:00:00,0.0,0.0,3.7,0.0,29.0,1.0,1000000.0,0.744,2.31,210.301,0.0,596.589,0.0,0.0,0.0,0.631
23,2022-05-01 23:00:00,0.0,0.0,-1.9,0.0,49.0,0.8,1000000.0,0.739,2.606,197.739,0.0,596.589,0.0,0.0,0.0,0.644
24,2022-05-02 00:00:00,0.0,0.0,-3.9,0.0,60.0,1.5,1000000.0,0.735,2.75,193.654,0.0,596.589,0.0,0.0,0.0,0.65
25,2022-05-02 01:00:00,0.0,0.0,-4.8,0.0,60.0,0.9,1000000.0,0.731,2.57,189.327,0.0,596.589,0.0,0.0,0.0,0.644
26,2022-05-02 02:00:00,0.0,0.0,-6.5,0.0,66.0,0.7,1000000.0,0.727,2.483,183.844,0.0,596.589,0.0,0.0,0.0,0.641
27,2022-05-02 03:00:00,0.0,0.0,-7.0,0.0,71.0,0.5,1000000.0,0.722,2.571,183.422,0.0,596.589,0.0,0.0,0.0,0.645
28,2022-05-02 04:00:00,0.0,0.0,-5.8,0.0,69.0,0.7,1000000.0,0.718,2.739,188.33,0.0,596.589,0.0,0.0,0.0,0.65
29,2022-05-02 05:00:00,0.0,0.0,-7.3,0.0,72.0,0.9,1000000.0,0.714,2.547,182.388,0.0,596.589,0.0,0.0,0.0,0.644
30,2022-05-02 06:00:00,6.92,0.018,-8.3,0.0,76.0,2.4,1000000.0,0.71,2.488,179.155,6.92,596.589,5.536,1.384,0.0,0.642
31,2022-05-02 07:00:00,214.831,0.255,-5.5,0.0,67.0,0.9,1000000.0,0.706,2.721,188.969,214.831,596.589,171.865,42.966,0.0,0.649
32,2022-05-02 08:00:00,447.946,0.481,2.0,0.0,37.0,0.6,1000000.0,0.702,2.612,209.002,447.946,596.589,358.357,89.589,0.0,0.643
33,2022-05-02 09:00:00,651.423,0.69,8.9,0.0,21.0,0.9,1000000.0,0.698,2.395,227.121,651.423,596.589,521.138,130.285,0.0,0.633
34,2022-05-02 10:00:00,801.733,0.866,12.3,0.0,13.0,2.9,1000000.0,0.694,1.86,229.427,801.733,596.589,641.386,160.347,0.0,0.609
