,time,ghi,sea,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,Discharge,alb,SW_direct,SW_diffuse,T_F
0,2020-01-03 16:00:00,69.5,0.106,0.4,82.25,1.267,25.345,0.0,5.183,803.755,209.46,11.0,0.85,12.672,12.672,1.5
1,2020-01-03 17:00:00,0.0,0.0,-0.017,82.6,1.35,0.0,0.0,5.05,804.074,204.382,11.0,0.845,0.0,0.0,0.0
2,2020-01-03 18:00:00,0.0,0.0,0.117,80.2,1.45,0.0,0.0,4.933,804.108,219.135,11.0,0.839,0.0,0.0,1.5
3,2020-01-03 19:00:00,0.0,0.0,0.55,80.683,1.183,0.0,0.0,5.133,804.492,216.77,11.0,0.834,0.0,0.0,1.5
4,2020-01-03 20:00:00,0.0,0.0,0.417,83.6,0.583,0.0,0.0,5.25,804.428,222.427,11.0,0.829,0.0,0.0,1.5
5,2020-01-03 21:00:00,0.0,0.0,0.633,86.017,0.583,0.0,0.0,5.5,804.548,252.834,11.0,0.824,0.0,0.0,1.5
6,2020-01-03 22:00:00,0.0,0.0,0.7,89.567,0.5,0.0,0.0,5.75,804.532,281.825,11.0,0.819,0.0,0.0,1.5
7,2020-01-03 23:00:00,0.0,0.0,0.767,91.567,0.5,0.0,0.0,5.883,804.748,289.664,11.0,0.814,0.0,0.0,1.5
8,2020-01-04 00:00:00,0.0,0.0,0.967,92.433,0.25,0.0,0.0,6.067,804.497,272.992,11.0,0.809,0.0,0.0,1.5
9,2020-01-04 01:00:00,0.0,0.0,1.1,92.767,0.0,0.0,0.0,6.167,804.389,266.088,11.0,0.804,0.0,0.0,1.5
10,2020-01-04 02:00:00,0.0,0.0,1.2,93.933,0.0,0.0,0.0,6.233,804.558,261.569,11.0,0.799,0.0,0.0,1.5
11,2020-01-04 03:00:00,0.0,0.0,1.35,94.283,0.583,0.0,0.0,6.367,804.749,269.527,11.0,0.794,0.0,0.0,1.5
12,2020-01-04 04:00:00,0.0,0.0,1.4,94.283,0.333,0.0,0.0,6.367,804.28,283.286,11.0,0.79,0.0,0.0,1.5
13,2020-01-04 05:00:00,0.0,0.0,1.467,95.1,0.583,0.0,0.0,6.467,804.212,281.234,11.0,0.785,0.0,0.0,1.5
14,2020-01-04 06:00:00,0.0,0.0,1.517,94.983,0.333,0.0,0.0,6.5,804.354,284.786,11.0,0.78,0.0,0.0,1.5
15,2020-01-04 07:00:00,0.0,0.0,1.567,94.633,0.167,0.0,0.0,6.5,804.868,278.73,11.0,0.775,0.0,0.0,1.5
16,2020-01-04 08:00:00,0.0,0.0,1.767,94.983,0.417,9.436,0.0,6.6,805.151,284.892,11.0,0.771,4.718,4.718,1.5
17,2020-01-04 09:00:00,65.369,0.101,1.95,94.167,0.5,55.226,0.0,6.617,805.322,284.609,11.0,0.766,27.613,27.613,1.5
18,2020-01-04 10:00:00,179.484,0.22,2.267,93.4,0.833,111.261,0.0,6.733,805.676,286.927,11.0,0.762,55.63,55.63,1.5
19,2020-01-04 11:00:00,269.86,0.307,3.167,91.067,1.283,168.599,0.0,7.017,805.773,285.029,11.0,0.757,84.3,84.3,1.5
20,2020-01-04 12:00:00,319.217,0.353,3.583,86.517,1.8,143.686,0.0,6.867,805.468,284.22,11.0,0.753,71.843,71.843,1.5
21,2020-01-04 13:00:00,320.561,0.354,3.633,85.6,1.633,174.676,0.0,6.8,805.092,282.796,11.0,0.748,87.338,87.338,1.5
22,2020-01-04 14:00:00,273.717,0.31,3.267,86.9,1.367,111.718,0.0,6.717,804.944,290.1,11.0,0.744,55.859,55.859,1.5
23,2020-01-04 15:00:00,185.271,0.226,2.9,89.5,1.367,77.787,0.0,6.733,805.442,286.991,11.0,0.739,38.894,38.894,1.5
24,2020-01-04 16:00:00,71.666,0.108,2.65,92.0,1.35,13.403,0.0,6.817,805.784,284.805,11.0,0.735,6.702,6.702,1.5
25,2020-01-04 17:00:00,0.0,0.0,2.35,93.65,1.417,0.0,0.0,6.8,805.436,283.422,11.0,0.731,0.0,0.0,1.5
26,2020-01-04 18:00:00,0.0,0.0,2.3,95.1,1.817,0.0,0.0,6.9,805.678,287.723,11.0,0.727,0.0,0.0,1.5
27,2020-01-04 19:00:00,0.0,0.0,2.3,95.917,2.1,0.0,0.0,6.95,806.376,269.076,11.0,0.722,0.0,0.0,1.5
