time,iceV
2020-01-03 16:00:00,27.005049786306728
2020-01-03 17:00:00,27.31619922824353
2020-01-03 18:00:00,27.31619922824353
2020-01-03 19:00:00,27.31619922824353
2020-01-03 20:00:00,27.31618660762617
2020-01-03 21:00:00,27.31618660762617
2020-01-03 22:00:00,27.31618660762617
2020-01-03 23:00:00,27.31618660762617
2020-01-04 00:00:00,27.316183846655175
2020-01-04 01:00:00,27.316183846655175
2020-01-04 02:00:00,27.31617688065756
2020-01-04 03:00:00,27.31617258653934
2020-01-04 04:00:00,27.316155637742337
2020-01-04 05:00:00,27.316153309189332
2020-01-04 06:00:00,27.31615116347589
2020-01-04 07:00:00,27.31615116347589
2020-01-04 08:00:00,27.316125132803435
2020-01-04 09:00:00,27.293659332827517
2020-01-04 10:00:00,27.18626345945694
2020-01-04 11:00:00,26.997602362658128
2020-01-04 12:00:00,26.993859122863405
2020-01-04 13:00:00,26.994706599431062
2020-01-04 14:00:00,26.99500886355717
2020-01-04 15:00:00,26.99523280064263
2020-01-04 16:00:00,26.99523876000513
2020-01-04 17:00:00,26.99526227440618
2020-01-04 18:00:00,26.997557474345435
2020-01-04 19:00:00,27.0021990218927
2020-01-04 20:00:00,27.005505403972204
2020-01-04 21:00:00,27.008000450604044
2020-01-04 22:00:00,27.008000450604044
2020-01-04 23:00:00,27.008374046171696
2020-01-05 00:00:00,27.011360604209525
2020-01-05 01:00:00,27.0143244329369
2020-01-05 02:00:00,27.01432434907093
2020-01-05 03:00:00,27.01432434907093
2020-01-05 04:00:00,27.317908605342254
2020-01-05 05:00:00,27.31748895181347
2020-01-05 06:00:00,27.316562128629435
2020-01-05 07:00:00,27.3159006414085
2020-01-05 08:00:00,27.31556528953219
2020-01-05 09:00:00,27.315182926809513
2020-01-05 10:00:00,27.231882113297996
2020-01-05 11:00:00,27.23182804291931
2020-01-05 12:00:00,27.23182804291931
2020-01-05 13:00:00,27.23182804291931
2020-01-05 14:00:00,27.23182804291931
2020-01-05 15:00:00,27.5728003703923
2020-01-05 16:00:00,27.859129987827703
2020-01-05 17:00:00,27.859129987827703
2020-01-05 18:00:00,27.859129987827703
2020-01-05 19:00:00,27.859073942349575
2020-01-05 20:00:00,27.859073942349575
2020-01-05 21:00:00,27.858981129255923
2020-01-05 22:00:00,27.858981129255923
2020-01-05 23:00:00,27.858981129255923
2020-01-06 00:00:00,27.858894653608406
2020-01-06 01:00:00,27.858894653608406
2020-01-06 02:00:00,27.858804398798263
2020-01-06 03:00:00,27.858804398798263
2020-01-06 04:00:00,27.858800812330966
2020-01-06 05:00:00,27.858861254758583
2020-01-06 06:00:00,27.85988005390321
2020-01-06 07:00:00,27.85988005390321
2020-01-06 08:00:00,27.860816156597608
2020-01-06 09:00:00,27.861096388919584
2020-01-06 10:00:00,27.779172979219826
2020-01-06 11:00:00,27.58094549553484
2020-01-06 12:00:00,27.32704024039785
2020-01-06 13:00:00,27.3270395833657
2020-01-06 14:00:00,27.327093457359986
2020-01-06 15:00:00,27.654616825100206
2020-01-06 16:00:00,27.650941715786846
2020-01-06 17:00:00,27.934182931086646
2020-01-06 18:00:00,27.934182931086646
2020-01-06 19:00:00,27.934182931086646
2020-01-06 20:00:00,27.93417699690429
2020-01-06 21:00:00,27.934138058116734
2020-01-06 22:00:00,27.934138058116734
2020-01-06 23:00:00,27.93411362928351
2020-01-07 00:00:00,27.93411362928351
2020-01-07 01:00:00,27.93411362928351
2020-01-07 02:00:00,27.93411362928351
2020-01-07 03:00:00,27.93411362928351
2020-01-07 04:00:00,27.93411362928351
2020-01-07 05:00:00,27.934090764999464
2020-01-07 06:00:00,27.934088752661697
2020-01-07 07:00:00,27.934088253617016
2020-01-07 08:00:00,27.934081132320387
2020-01-07 09:00:00,27.934081132320387
2020-01-07 10:00:00,27.889312407816586
2020-01-07 11:00:00,27.721653816239815
2020-01-07 12:00:00,27.52077995957134
2020-01-07 13:00:00,27.52077995957134
2020-01-07 14:00:00,27.52077995957134
2020-01-07 15:00:00,27.52077995957134
2020-01-07 16:00:00,27.835168373736
2020-01-07 17:00:00,27.835168373736
2020-01-07 18:00:00,27.83516822347208
2020-01-07 19:00:00,27.83516822347208
2020-01-07 20:00:00,27.835121222701712
2020-01-07 21:00:00,27.835102849946047
2020-01-07 22:00:00,27.835102849946047
2020-01-07 23:00:00,27.835102849946047
2020-01-08 00:00:00,27.835102234497587
2020-01-08 01:00:00,27.835102234497587
2020-01-08 02:00:00,27.835102234497587
2020-01-08 03:00:00,27.835102234497587
2020-01-08 04:00:00,27.835029967280757
2020-01-08 05:00:00,27.83502957263958
2020-01-08 06:00:00,27.83502957263958
2020-01-08 07:00:00,27.83502957263958
2020-01-08 08:00:00,27.83501904677996
2020-01-08 09:00:00,27.83477240789047
2020-01-08 10:00:00,27.760823847019346
2020-01-08 11:00:00,27.760823847019346
2020-01-08 12:00:00,27.760823847019346
2020-01-08 13:00:00,27.760823847019346
2020-01-08 14:00:00,27.760748848407868
2020-01-08 15:00:00,27.760742475528403
2020-01-08 16:00:00,27.760742475528403
2020-01-08 17:00:00,28.090481183266302
2020-01-08 18:00:00,28.085026992097365
2020-01-08 19:00:00,28.079998842501244
2020-01-08 20:00:00,28.077738482524847
2020-01-08 21:00:00,28.072414800215274
2020-01-08 22:00:00,28.066599716128263
2020-01-08 23:00:00,28.061650163542094
2020-01-09 00:00:00,28.05619642717417
2020-01-09 01:00:00,28.04948818318209
2020-01-09 02:00:00,28.045168888380786
2020-01-09 03:00:00,28.040586882153875
2020-01-09 04:00:00,28.040585305459896
