When,T_a,RH,v_a,SW_global,Prec,p_a,missing_type,cld
2021-01-21 07:00:00,-13.021,35.509,3.348,2.349,0,624.711,-,0
2021-01-21 08:00:00,-12.831,35.737,3.899,126.03,0,625.122,-,0
2021-01-21 09:00:00,-11.592,33.871,3.823,314.375,0,625.5,-,0
2021-01-21 10:00:00,-9.265,31.232,1.954,489.9,0,625.787,-,0
2021-01-21 11:00:00,-8.004,29.275,1.826,616.975,0,625.575,-,0
2021-01-21 12:00:00,-6.953,27.703,2.242,671.275,0,624.777,-,0
2021-01-21 13:00:00,-6.063,25.679,2.325,498.95,0,623.692,-,0
2021-01-21 14:00:00,-5.927,24.391,1.751,286.625,0,622.783,-,0
2021-01-21 15:00:00,-6.225,25.855,1.532,178.3,0,622.137,-,0
2021-01-21 16:00:00,-6.416,24.089,1.276,86.39,0,621.614,-,0
2021-01-21 17:00:00,-6.93,25.481,0.928,16.619,0,621.197,-,0
2021-01-21 18:00:00,-7.196,25.409,0.465,0.0,0,621.152,-,0
2021-01-21 19:00:00,-7.211,27.842,0.964,0.0,0,621.568,-,0
2021-01-21 20:00:00,-7.646,29.088,0.492,0.0,0,621.523,-,0
2021-01-21 21:00:00,-8.375,32.324,0.325,0.0,0,621.248,-,0
2021-01-21 22:00:00,-8.923,32.715,1.738,0.0,0,620.9,-,0
2021-01-21 23:00:00,-9.157,33.563,1.64,0.0,0,620.518,-,0
2021-01-22 00:00:00,-9.64,34.105,1.7,0.0,0,620.412,-,0
2021-01-22 01:00:00,-10.074,35.325,1.298,0.0,0,620.323,-,0
2021-01-22 02:00:00,-10.468,36.063,0.964,0.0,0,620.034,-,0
2021-01-22 03:00:00,-10.702,36.414,1.254,0.0,0,619.77,-,0
2021-01-22 04:00:00,-10.647,36.176,1.026,0.0,0,619.422,-,0
2021-01-22 05:00:00,-10.878,36.608,0.629,0.0,0,619.166,-,0
2021-01-22 06:00:00,-11.384,37.858,0.684,0.0,0,619.116,-,0
2021-01-22 07:00:00,-11.766,39.097,0.648,4.245,0,619.211,-,0
2021-01-22 08:00:00,-10.963,35.376,0.869,104.112,0,619.336,-,0
2021-01-22 09:00:00,-9.775,31.176,0.975,259.75,0,619.416,-,0
2021-01-22 10:00:00,-8.383,29.442,1.188,398.375,0,619.344,-,0
2021-01-22 11:00:00,-7.145,28.928,1.26,488.0,0,618.906,-,0
2021-01-22 12:00:00,-4.68,26.295,1.918,533.375,0,618.288,-,0
2021-01-22 13:00:00,-2.077,22.484,3.119,560.625,0,617.634,-,0
2021-01-22 14:00:00,-1.566,21.324,4.029,460.725,0,617.065,-,0
2021-01-22 15:00:00,-1.353,20.238,4.223,337.925,0,616.557,-,0
2021-01-22 16:00:00,-1.367,19.247,3.237,209.425,0,616.164,-,0
2021-01-22 17:00:00,-2.557,21.375,4.102,26.325,0,616.086,-,0
2021-01-22 18:00:00,-3.264,23.23,2.823,0.0,0,616.068,-,0
2021-01-22 19:00:00,-3.519,23.138,3.196,0.0,0,615.996,-,0
2021-01-22 20:00:00,-3.619,22.609,3.472,0.0,0,615.964,-,0
