,time,unscheduled_field,scheduled_icv,scheduled_wue
0,2021-01-18 00:00:00,0.0,13.886222199656876,7.170507377674267
1,2021-01-18 01:00:00,0.0,14.865480518522912,7.607612526039366
2,2021-01-18 02:00:00,0.0,14.490452497193937,7.455902122723229
3,2021-01-18 03:00:00,0.0,13.711574444576941,7.126705873646991
4,2021-01-18 04:00:00,0.0,15.694280444916178,8.066026137931354
5,2021-01-18 05:00:00,0.0,16.01124805246425,8.227361574935946
6,2021-01-18 06:00:00,0.0,14.85131005799381,7.744481092875792
7,2021-01-18 07:00:00,0.0,12.11513050217782,6.781828466314839
8,2021-01-18 08:00:00,0.0,9.604175723583156,5.306769933482406
9,2021-01-18 09:00:00,0.0,10.41591277299965,4.278509099689249
10,2021-01-18 10:00:00,0.0,9.797446944427904,2.403429227661683
11,2021-01-18 11:00:00,0.0,8.82534621181865,0.0
12,2021-01-18 12:00:00,0.0,8.891189055781755,0.0
13,2021-01-18 13:00:00,0.0,8.9202836255915,1.7461949851478267
14,2021-01-18 14:00:00,0.0,10.888816629324136,4.149209989933224
15,2021-01-18 15:00:00,0.0,11.179316536100133,5.571787955517271
16,2021-01-18 16:00:00,,14.069414345386033,7.327899297511606
17,2021-01-18 17:00:00,60.0,15.060957415636839,7.739436894360445
18,2021-01-18 18:00:00,60.0,15.767709254011775,8.082606108492767
19,2021-01-18 19:00:00,60.0,13.470884033431311,7.101431111884013
20,2021-01-18 20:00:00,60.0,16.81888252728282,8.75020607440776
21,2021-01-18 21:00:00,60.0,20.673364656279787,10.649102373896904
22,2021-01-18 22:00:00,60.0,23.933120119565984,12.2170165850624
23,2021-01-18 23:00:00,60.0,24.601005591508272,12.59842663123669
24,2021-01-19 00:00:00,60.0,25.38167561470856,12.995220165339832
25,2021-01-19 01:00:00,60.0,26.128265955141128,13.35844957146786
26,2021-01-19 02:00:00,60.0,25.35665895194078,13.036605628355874
27,2021-01-19 03:00:00,60.0,24.191575157349284,12.523900860422355
28,2021-01-19 04:00:00,60.0,21.94402145432,11.500951516557004
29,2021-01-19 05:00:00,60.0,23.44858292380605,12.283961391665192
30,2021-01-19 06:00:00,60.0,24.799052725891062,12.974192075956791
31,2021-01-19 07:00:00,60.0,25.07170305805247,13.33742919934319
32,2021-01-19 08:00:00,60.0,25.898102988567878,13.407494506693007
33,2021-01-19 09:00:00,60.0,19.301594641431596,8.87330025270254
34,2021-01-19 10:00:00,60.0,14.010998886032183,4.606585822444776
35,2021-01-19 11:00:00,60.0,12.590683033086705,2.8641387544287285
36,2021-01-19 12:00:00,60.0,14.607163794757415,3.7844143951860802
37,2021-01-19 13:00:00,60.0,14.243549940370585,4.643324250711092
38,2021-01-19 14:00:00,0.0,14.884057485238273,6.4523070228065516
39,2021-01-19 15:00:00,0.0,19.747631704816612,10.05925420024144
40,2021-01-19 16:00:00,0.0,20.61972845916452,10.769897143499113
41,2021-01-19 17:00:00,60.0,22.64397289318788,11.574424388116014
42,2021-01-19 18:00:00,60.0,16.438514757114948,8.702841648612903
43,2021-01-19 19:00:00,60.0,19.570977116505755,10.227877031228068
44,2021-01-19 20:00:00,60.0,21.045667203929938,10.983072831440515
45,2021-01-19 21:00:00,60.0,25.634405177727647,13.182048645443833
46,2021-01-19 22:00:00,60.0,22.675507440721884,11.845259324026673
47,2021-01-19 23:00:00,60.0,23.879446653639608,12.456245794110162
48,2021-01-20 00:00:00,60.0,28.757590974254793,14.832087132795394
49,2021-01-20 01:00:00,60.0,29.08748379012003,14.984331642005852
50,2021-01-20 02:00:00,60.0,28.76784425212298,14.849721255479972
51,2021-01-20 03:00:00,60.0,26.207639007202832,13.645988995014488
52,2021-01-20 04:00:00,60.0,28.12153128946362,14.552896193581729
53,2021-01-20 05:00:00,60.0,28.49944284709799,14.739008431925656
54,2021-01-20 06:00:00,60.0,31.613199245705246,16.21293578352984
55,2021-01-20 07:00:00,60.0,30.05983158988904,15.73609070662401
56,2021-01-20 08:00:00,60.0,21.324645617535797,11.263053437621712
57,2021-01-20 09:00:00,60.0,11.362140267020933,5.084679525960802
58,2021-01-20 10:00:00,60.0,15.351103067656194,5.327764441796693
59,2021-01-20 11:00:00,60.0,13.654628674073072,3.3744710609939874
60,2021-01-20 12:00:00,60.0,15.246836257587454,4.057936136289859
61,2021-01-20 13:00:00,60.0,15.35886814792025,5.116210865511871
62,2021-01-20 14:00:00,60.0,17.81392830598121,7.837515717452071
63,2021-01-20 15:00:00,60.0,19.712588885091026,10.077635840611014
64,2021-01-20 16:00:00,60.0,17.99074885670303,9.573534790214413
65,2021-01-20 17:00:00,60.0,22.542971563227468,11.353772168636723
66,2021-01-20 18:00:00,60.0,25.553219516639817,13.114373021645163
67,2021-01-20 19:00:00,60.0,19.685357869237226,10.41671427529407
68,2021-01-20 20:00:00,60.0,22.0877732221485,11.674326486981697
69,2021-01-20 21:00:00,60.0,21.817497649695706,11.530078031313653
70,2021-01-20 22:00:00,60.0,21.352281581836866,11.367487048589176
71,2021-01-20 23:00:00,60.0,23.635798484136675,12.443326096810019
72,2021-01-21 00:00:00,60.0,18.958534019979236,10.256456173329438
73,2021-01-21 01:00:00,60.0,27.8709477311444,14.573451388101502
74,2021-01-21 02:00:00,60.0,21.139197284074086,11.312398326757897
75,2021-01-21 03:00:00,60.0,28.38386021611088,14.821914136315787
76,2021-01-21 04:00:00,60.0,30.644960898879752,15.90373018955233
77,2021-01-21 05:00:00,60.0,27.719603139463622,14.495513259816953
78,2021-01-21 06:00:00,0.0,20.664778535660083,11.156455349363457
