,time,temp,RH,wind,press,SW_global,ppt,missing_type
0,2020-12-14 00:00:00,-9.879999999999999,23.220000000000002,2.6005000000000003,617.5545,0.0,0,-
1,2020-12-14 01:00:00,-10.2625,21.919999999999998,3.074,617.32475,0.0,0,-
2,2020-12-14 02:00:00,-10.467500000000001,21.6025,2.963,617.27075,0.0,0,-
3,2020-12-14 03:00:00,-11.0825,22.805,4.56425,617.1547499999999,0.0,0,-
4,2020-12-14 04:00:00,-11.4125,22.335,4.841749999999999,616.944,0.0,0,-
5,2020-12-14 05:00:00,-11.329999999999998,20.5,4.6202499999999995,616.953,0.0,0,-
6,2020-12-14 06:00:00,-11.2775,19.302500000000002,4.729,617.2429999999999,0.0,0,-
7,2020-12-14 07:00:00,-11.4275,19.1025,5.29425,617.519,3.52075,0,-
8,2020-12-14 08:00:00,-11.125,18.47,4.8187500000000005,617.811,138.81,0,-
9,2020-12-14 09:00:00,-9.982499999999998,20.5075,2.2512499999999998,618.204,318.975,0,-
10,2020-12-14 10:00:00,-8.1665,20.305000000000003,1.31275,618.4575,479.84999999999997,0,-
11,2020-12-14 11:00:00,-7.447,21.875,1.5825,618.23225,521.75,0,-
12,2020-12-14 12:00:00,-6.607,22.9725,1.4609999999999999,617.8065,653.175,0,-
13,2020-12-14 13:00:00,-5.702,18.0325,2.206,617.4855,552.6,0,-
14,2020-12-14 14:00:00,-5.5685,14.935,2.5795,617.2860000000001,344.5,0,-
15,2020-12-14 15:00:00,-5.36575,12.125,2.96725,617.2702499999999,249.475,0,-
16,2020-12-14 16:00:00,-5.62725,13.115,2.67525,617.2660000000001,78.645,0,-
17,2020-12-14 17:00:00,-6.3165,17.72,2.3615,617.25175,3.5327499999999996,0,-
18,2020-12-14 18:00:00,-7.2115,20.1175,0.75,617.37475,0.0,0,-
19,2020-12-14 19:00:00,-7.14475,18.939999999999998,0.805,617.5715,0.0,0,-
20,2020-12-14 20:00:00,-7.50575,18.272499999999997,1.206,617.6945,0.0,0,-
21,2020-12-14 21:00:00,-7.59,17.6025,1.81675,617.779,0.0,0,-
22,2020-12-14 22:00:00,-7.79175,16.982499999999998,2.3935,617.88475,0.0,0,-
23,2020-12-14 23:00:00,-8.177,17.455,1.4385,617.78125,0.0,0,-
24,2020-12-15 00:00:00,-8.3625,17.8375,1.7985000000000002,617.5985,0.0,0,-
25,2020-12-15 01:00:00,-8.38,18.3675,1.7365,617.5005,0.0,0,-
26,2020-12-15 02:00:00,-8.5225,19.147499999999997,1.8575,617.3585,0.0,0,-
27,2020-12-15 03:00:00,-8.647499999999999,20.272499999999997,1.5317500000000002,617.275,0.0,0,-
28,2020-12-15 04:00:00,-8.9975,21.6625,1.39025,617.26875,0.0,0,-
29,2020-12-15 05:00:00,-9.25,23.1725,1.2175,617.34825,0.0,0,-
30,2020-12-15 06:00:00,-9.315,23.875,1.2545,617.502,0.0,0,-
31,2020-12-15 07:00:00,-9.395,25.580000000000002,1.3807500000000001,617.722,5.449,0,-
32,2020-12-15 08:00:00,-8.9475,24.73,1.3425,617.9749999999999,76.42750000000001,0,-
33,2020-12-15 09:00:00,-8.08975,23.509999999999998,2.2955,618.2144999999999,188.25,0,-
34,2020-12-15 10:00:00,-7.4625,22.7125,4.64375,618.2724999999999,289.95000000000005,0,-
35,2020-12-15 11:00:00,-7.167999999999999,22.417499999999997,4.25075,618.1015,331.425,0,-
36,2020-12-15 12:00:00,-6.645250000000001,22.037499999999998,4.2219999999999995,617.751,314.85,0,-
37,2020-12-15 13:00:00,-6.3420000000000005,22.5925,3.71225,617.5382500000001,289.85,0,-
38,2020-12-15 14:00:00,-6.51675,24.01,3.7547499999999996,617.4425,217.575,0,-
39,2020-12-15 15:00:00,-6.60025,24.1025,3.51875,617.44025,158.875,0,-
40,2020-12-15 16:00:00,-6.755,23.650000000000002,2.88625,617.2824999999999,53.87749999999999,0,-
41,2020-12-15 17:00:00,-7.054500000000001,26.292499999999997,3.18675,617.1750000000001,3.66975,0,-
42,2020-12-15 18:00:00,-7.54575,29.675,3.7510000000000003,617.4115,0.0,0,-
