,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,missing_type,cld,DroneV,dia,h_s,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt
0,2021-01-18 00:15:00,0.0,-6.497,31.81,1.243,621.911,-1.21,0,0.0,0,-,0,,,,0.35,1.195,164.17,0.573,60,0,0,1,-154.198,0.0,-135.705,-18.494,0,0,0,0,0,0
1,2021-01-18 00:30:00,0.0,-6.417,32.86,0.719,621.855,-2.178,0,0.0,0,-,0,,,,0.35,1.242,165.269,0.576,60,0,0,1,-145.17,0.0,-134.605,-10.565,0,0,0,0,0,0
2,2021-01-18 00:45:00,0.0,-6.493,33.35,0.339,621.799,-2.363,0,0.0,0,-,0,,,,0.35,1.253,165.299,0.577,60,0,0,1,-139.615,0.0,-134.575,-5.04,0,0,0,0,0,0
3,2021-01-18 01:00:00,0.0,-6.622,33.76,0.457,621.743,-1.741,0,0.0,0,-,0,,,,0.35,1.256,165.045,0.577,60,0,0,1,-141.758,0.0,-134.83,-6.928,0,0,0,0,0,0
4,2021-01-18 01:15:00,0.0,-6.794,33.34,0.81,621.71,-2.594,0,0.0,0,-,0,,,,0.35,1.224,164.029,0.575,60,0,0,1,-148.443,0.0,-135.845,-12.598,0,0,0,0,0,0
5,2021-01-18 01:30:00,0.0,-6.562,33.01,2.292,621.676,-3.67,0,0.0,0,-,0,,,,0.35,1.234,164.768,0.575,60,0,0,1,-169.536,0.0,-135.107,-34.429,0,0,0,0,0,0
6,2021-01-18 01:45:00,0.0,-6.339,34.71,1.223,621.643,-3.336,0,0.0,0,-,0,,,,0.35,1.32,166.898,0.581,60,0,0,1,-150.722,0.0,-132.976,-17.746,0,0,0,0,0,0
7,2021-01-18 02:00:00,0.004,-6.781,35.36,1.156,621.609,-3.727,0,0.0,0,-,0,,,,0.35,1.299,165.469,0.58,60,0,0,1,-152.348,0.0,-134.406,-17.942,0,0,0,0,0,0
8,2021-01-18 02:15:00,0.052,-7.579,37.98,0.745,621.457,-3.895,0,0.0,0,-,0,,,,0.35,1.312,163.792,0.581,60,0,0,1,-149.003,0.0,-136.083,-12.921,0,0,0,0,0,0
9,2021-01-18 02:30:00,0.1,-7.677,35.89,0.959,621.305,-3.626,0,0.0,0,-,0,,,,0.35,1.23,162.065,0.575,60,0,0,1,-154.652,0.0,-137.809,-16.843,0,0,0,0,0,0
10,2021-01-18 02:45:00,0.146,-7.203,39.22,1.015,621.153,-3.532,0,0.0,0,-,0,,,,0.35,1.395,166.136,0.586,60,0,0,1,-150.46,0.0,-133.738,-16.722,0,0,0,0,0,0
11,2021-01-18 03:00:00,0.192,-7.445,37.94,0.679,621.002,-3.414,0,0.0,0,-,0,,,,0.35,1.324,164.33,0.581,60,0,0,1,-147.104,0.0,-135.544,-11.56,0,0,0,0,0,0
12,2021-01-18 03:15:00,0.236,-7.089,35.04,0.634,620.92,-3.241,0,0.0,0,-,0,,,,0.35,1.257,163.96,0.577,60,0,0,1,-146.191,0.0,-135.915,-10.276,0,0,0,0,0,0
13,2021-01-18 03:30:00,0.278,-7.562,37.47,0.788,620.839,-3.103,0,0.0,0,-,0,,,,0.35,1.296,163.547,0.58,60,0,0,1,-149.95,0.0,-136.327,-13.622,0,0,0,0,0,0
14,2021-01-18 03:45:00,0.319,-8.1,36.64,0.631,620.757,-2.909,0,0.0,0,-,0,,,,0.35,1.215,160.79,0.575,60,0,0,1,-150.767,0.0,-139.085,-11.683,0,0,0,0,0,0
15,2021-01-18 04:00:00,0.358,-7.772,38.7,2.091,620.676,-2.995,0,0.0,0,-,0,,,,0.35,1.317,163.422,0.581,60,0,0,1,-173.595,0.0,-136.453,-37.142,0,0,0,0,0,0
16,2021-01-18 04:15:00,0.396,-7.623,38.28,1.391,620.652,-2.97,0,0.0,0,-,0,,,,0.35,1.318,163.791,0.581,60,0,0,1,-160.316,0.0,-136.083,-24.233,0,0,0,0,0,0
17,2021-01-18 04:30:00,0.431,-8.03,39.29,0.863,620.628,-3.04,0,0.0,0,-,0,,,,0.35,1.31,162.694,0.581,60,0,0,1,-153.017,0.0,-137.18,-15.837,0,0,0,0,0,0
18,2021-01-18 04:45:00,0.464,-7.712,36.16,0.607,620.603,-3.095,0,0.0,0,-,0,,,,0.35,1.236,162.094,0.576,60,0,0,1,-148.478,0.0,-137.781,-10.698,0,0,0,0,0,0
19,2021-01-18 05:00:00,0.494,-8.19,38.55,0.733,620.579,-2.905,0,0.0,0,-,0,,,,0.35,1.27,161.587,0.578,60,0,0,1,-152.006,0.0,-138.287,-13.718,0,0,0,0,0,0
20,2021-01-18 05:15:00,0.521,-8.05,39.54,1.911,620.605,-2.611,0,0.0,0,-,0,,,,0.35,1.317,162.758,0.581,60,0,0,1,-172.271,0.0,-137.116,-35.155,0,0,0,0,0,0
21,2021-01-18 05:30:00,0.545,-7.958,38.74,1.242,620.63,-2.787,0,0.0,0,-,0,,,,0.35,1.299,162.667,0.58,60,0,0,1,-159.795,0.0,-137.207,-22.588,0,0,0,0,0,0
22,2021-01-18 05:45:00,0.567,-8.17,41.64,1.238,620.656,-2.601,0,0.0,0,-,0,,,,0.35,1.374,163.461,0.585,60,0,0,1,-159.529,0.0,-136.414,-23.116,0,0,0,0,0,0
23,2021-01-18 06:00:00,0.584,-8.98,43.04,0.695,620.682,-2.945,0,0.0,0,-,0,,,,0.35,1.333,160.842,0.582,60,0,0,1,-153.296,0.0,-139.032,-14.264,0,0,0,0,0,0
24,2021-01-18 06:15:00,0.598,-9.31,43.86,1.098,620.753,-2.735,0,0.0,0,-,0,,,,0.35,1.323,159.906,0.582,60,0,0,1,-163.334,0.0,-139.968,-23.366,0,0,0,0,0,0
25,2021-01-18 06:30:00,0.608,-8.83,42.06,1.195,620.824,-2.508,0,0.0,0,-,0,,,,0.35,1.318,160.936,0.581,60,0,0,1,-163.06,0.0,-138.938,-24.122,0,0,0,0,0,0
26,2021-01-18 06:45:00,0.614,-9.16,44.0,0.325,620.895,-2.569,0,0.0,0,-,0,,,,0.35,1.343,160.601,0.583,60,0,0,1,-146.08,0.0,-139.273,-6.806,0,0,0,0,0,0
27,2021-01-18 07:00:00,0.616,-9.93,45.07,0.209,620.967,-2.651,0,0.0,0,-,0,,,,0.35,1.295,157.969,0.58,60,0,0,1,-146.651,0.0,-141.905,-4.745,0,0,0,0,0,0
28,2021-01-18 07:15:00,0.614,-9.95,45.88,0.095,621.052,-2.437,0,0.0,0,-,0,,,,0.35,1.316,158.289,0.582,60,0,0,1,-143.747,0.0,-141.585,-2.162,0,0,0,0,0,0
29,2021-01-18 07:30:00,0.608,-9.7,42.68,0.489,621.138,1.279,0,1.279,0,-,0,,,,0.35,1.249,157.683,0.577,60,0,0,1,-152.209,0.831,-142.192,-10.849,0,0,0,0,0,0
30,2021-01-18 07:45:00,0.598,-9.76,42.97,0.268,621.223,8.74,0,8.74,0,-,0,,,,0.35,1.251,157.59,0.577,60,0,0,1,-142.587,5.681,-142.284,-5.983,0,0,0,0,0,0
31,2021-01-18 08:00:00,0.584,-9.62,43.34,0.334,621.309,28.53,0,28.53,0,-,0,,,,0.35,1.276,158.357,0.579,60,0,0,1,-130.324,18.545,-141.517,-7.351,0,0,0,0,0,0
32,2021-01-18 08:15:00,0.567,-9.86,45.57,0.08,621.406,97.5,0,97.5,0,-,0,,,,0.35,1.316,158.506,0.582,60,0,0,1,-79.798,63.375,-141.368,-1.805,0,0,0,0,0,0
33,2021-01-18 08:30:00,0.546,-9.97,43.13,0.057,621.502,83.9,0,83.9,0,-,0,,,,0.35,1.235,156.816,0.576,60,0,0,1,-89.824,54.535,-143.058,-1.301,0,0,0,0,0,0
34,2021-01-18 08:45:00,0.522,-9.44,42.35,0.284,621.599,108.4,0,108.4,0,-,0,,,,0.35,1.265,158.573,0.578,60,0,0,1,-76.978,70.46,-141.301,-6.136,0,0,0,0,0,0
