When,DroneV,DroneVError,rad
2021-02-15 16:00:00,155.11,5.6,9.81
2021-02-18 16:00:00,157.0,5.71,9.89
2021-02-24 16:00:00,166.21,5.85,9.63
2021-02-25 16:00:00,163.78,6.15,9.61
2021-03-01 16:00:00,163.4,6.32,9.79
2021-03-03 16:00:00,161.06,5.8,9.71
2021-03-08 16:00:00,163.14,5.46,9.61
2021-03-29 16:00:00,265.24,6.16,9.63
2021-04-02 16:00:00,238.82,6.3,9.85
2021-04-08 16:00:00,252.87,6.42,9.76
2021-04-14 16:00:00,318.92,6.89,10.13
2021-04-28 16:00:00,304.0,5.98,9.54
2021-05-18 16:00:00,345.32,4.82,9.32
