When,cam_temp,cam_temp_full
2019-11-22 03:00:00,-0.88,-0.657
2019-11-22 06:00:00,-0.88,-0.657
2019-11-22 09:00:00,-0.88,-0.657
2019-11-22 15:00:00,-0.88,-0.657
2019-11-22 19:00:00,-0.88,-0.657
2019-11-22 23:00:00,-0.88,-0.657
2019-11-23 07:00:00,-0.88,-0.657
2019-11-23 10:00:00,-0.88,-0.657
2019-11-23 14:00:00,-0.88,-0.657
2019-11-23 20:00:00,-0.88,-0.657
2019-11-24 02:00:00,-0.88,-0.657
2019-11-24 06:00:00,-0.88,-0.657
2019-11-24 13:00:00,-0.88,-0.657
2019-11-24 22:00:00,-0.88,-0.657
2019-11-25 01:00:00,-0.88,-0.657
2019-11-25 04:00:00,-0.88,-0.657
2019-11-25 11:00:00,-0.88,-0.657
2019-11-25 15:00:00,-0.88,-0.657
2019-11-25 18:00:00,-0.88,-0.657
2019-11-25 22:00:00,-0.88,-0.657
2019-11-26 06:00:00,-0.88,-0.657
2019-11-26 08:00:00,-0.88,-0.657
2019-11-26 11:00:00,-0.88,-0.657
2019-11-26 17:00:00,-0.88,-0.657
2019-11-26 20:00:00,-0.88,-0.657
2019-11-26 21:00:00,-0.88,-0.657
2019-11-27 00:00:00,-0.88,-0.657
2019-11-27 09:00:00,-0.88,-0.657
2019-11-27 16:00:00,-0.88,-0.657
2019-11-27 17:00:00,-0.88,-0.657
2019-11-27 19:00:00,-0.88,-0.657
2019-11-28 05:00:00,-0.88,-0.657
2019-11-28 10:00:00,-0.88,-0.657
2019-11-28 12:00:00,-0.88,-0.657
2019-11-28 18:00:00,-0.88,-0.657
2019-11-28 22:00:00,-0.88,-0.657
2019-11-29 02:00:00,-0.88,-0.657
2019-11-29 06:00:00,-0.88,-0.657
2019-11-29 11:00:00,-0.88,-0.657
2019-11-29 14:00:00,-0.88,-0.657
2019-11-29 20:00:00,-0.88,-0.657
2019-11-30 00:00:00,-0.88,-0.657
2019-11-30 09:00:00,-0.88,-0.657
2019-11-30 18:00:00,-0.88,-0.657
2019-11-30 21:00:00,-0.88,-0.657
2019-12-01 08:00:00,-0.88,-0.657
2019-12-01 22:00:00,-0.88,-0.657
2019-12-02 05:00:00,-0.88,-0.657
2019-12-02 10:00:00,-0.88,-0.657
2019-12-02 17:00:00,-0.88,-0.657
2019-12-02 20:00:00,-0.88,-0.657
2019-12-02 22:00:00,-0.88,-0.657
2019-12-03 07:00:00,-0.88,-0.657
2019-12-03 08:00:00,-0.88,-0.657
2019-12-03 12:00:00,-0.88,-0.657
2019-12-03 13:00:00,-0.88,-0.657
2019-12-03 19:00:00,-0.88,-0.657
2019-12-03 21:00:00,-0.88,-0.657
2019-12-03 23:00:00,-0.88,-0.657
2019-12-05 04:00:00,-0.88,-0.657
2019-12-05 23:00:00,-0.88,-0.657
2019-12-06 02:00:00,-0.88,-0.657
2019-12-06 05:00:00,-0.88,-0.657
2019-12-06 21:00:00,-0.88,-0.657
2019-12-06 22:00:00,-0.88,-0.657
2019-12-07 06:00:00,-0.88,-0.657
2019-12-07 07:00:00,-0.88,-0.657
2019-12-07 09:00:00,-0.88,-0.657
2019-12-07 18:00:00,-0.88,-0.657
2019-12-07 19:00:00,-0.88,-0.657
2019-12-07 20:00:00,-0.88,-0.657
2019-12-07 21:00:00,-0.88,-0.657
2019-12-08 13:00:00,-0.88,-0.657
2019-12-08 14:00:00,-0.88,-0.657
2019-12-08 22:00:00,-0.88,-0.657
2019-12-09 12:00:00,-0.88,-0.657
2019-12-09 13:00:00,1.954,1.225
2019-12-09 14:00:00,1.954,1.225
2019-12-09 17:00:00,-0.88,-0.657
2019-12-09 18:00:00,-0.88,-0.657
2019-12-09 22:00:00,-1.346,-1.421
2019-12-10 01:00:00,-2.18,-2.314
2019-12-10 02:00:00,-1.953,-1.933
2019-12-12 00:00:00,-2.394,-2.45
2019-12-12 07:00:00,-2.401,-2.482
2019-12-13 02:00:00,-4.585,-4.584
2019-12-13 04:00:00,-4.602,-4.954
2019-12-14 01:00:00,-4.426,-4.126
2019-12-14 02:00:00,-4.621,-4.561
2019-12-14 10:00:00,0.589,1.67
2019-12-15 12:00:00,2.632,4.196
2019-12-15 13:00:00,2.202,3.749
2019-12-15 17:00:00,-0.25,0.565
2019-12-16 02:00:00,0.579,1.768
2019-12-16 06:00:00,2.999,4.052
2019-12-16 08:00:00,2.807,3.755
2019-12-16 12:00:00,4.751,5.552
2019-12-16 14:00:00,5.411,6.092
2019-12-16 16:00:00,4.663,5.568
2019-12-16 17:00:00,4.698,5.604
2019-12-16 19:00:00,5.392,6.087
2019-12-16 20:00:00,5.158,5.972
2019-12-17 07:00:00,6.928,7.434
