 ,Label,Area
1,guttannen20_thermal:48_Dec-02 10:00,12582912
2,guttannen20_thermal:53_Dec-03 08:00,12582912
3,guttannen20_thermal:56_Dec-03 19:00,12582912
4,guttannen20_thermal:90_Dec-15 12:00,12582912
5,guttannen20_thermal:124_Dec-23 12:00,12582912
6,guttannen20_thermal:266_Jan-05 10:00,12582912
7,guttannen20_thermal:272_Jan-05 16:00,12582912
8,guttannen20_thermal:272_Jan-08 18:00,12582912
9,guttannen20_thermal:272_Jan-08 20:00,12582912
10,guttannen20_thermal:696_Jan-23 08:00,12582912
11,guttannen20_thermal:704_Jan-23 16:00,12582912
12,guttannen20_thermal:727_Jan-24 15:00,12582912
13,guttannen20_thermal:887_Jan-31 07:00,12582912
14,guttannen20_thermal:937_Feb-02 09:00,12582912
15,guttannen20_thermal:984_Feb-04 08:00,12582912
16,guttannen20_thermal:1151_Feb-11 07:00,12582912
17,guttannen20_thermal:1174_Feb-12 06:00,12582912
18,guttannen20_thermal:1251_Feb-15 11:00,12582912
19,guttannen20_thermal:1254_Feb-15 14:00,12582912
20,guttannen20_thermal:1274_Feb-16 10:00,12582912
21,guttannen20_thermal:1319_Feb-18 07:00,12582912
22,guttannen20_thermal:1372_Feb-20 12:00,12582912
23,guttannen20_thermal:1491_Feb-25 11:00,12582912
24,guttannen20_thermal:1612_Mar-01 12:00,12582912
25,guttannen20_thermal:1666_Mar-03 18:00,12582912
26,guttannen20_thermal:1702_Mar-05 06:00,12582912
