,time,ghi,sea,temp,RH,wind,SW_global,ppt,press,Discharge,alb,vp_a,LW_in,SW_direct,SW_diffuse,T_F,e_a,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
0,2021-01-18 00:00:00,0.0,0.0,-6.567,32.53,0.851,0.0,0,621.883,0.0,0.85,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0187838213088294,10.154,0.065,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.10033325007965624,,
1,2021-01-18 01:00:00,0.0,0.0,-6.579,33.705,1.196,0.0,0,621.693,0.0,0.845,1.261,165.226,0.0,0.0,0.0,0.577,0.0,0.0,0.01588875880084017,100868.20940109694,109.99804732944051,21.441719989178218,0.0,0.0,-6.280354435618029,0.0,-218.05335647364487,0.0,-140.94186980679893,-25.004270244088787,-52.10721642275715,0,0.0,0.0,325.53615582051754,1.0187838213088292,10.153999999999998,0.0,0,0,0.0,0.0,0.0,0.0,-218.05335647364487,0.0,,100868.20940109694,0.0,917,0.10033325007965624,6.112911778902558,-0.0
2,2021-01-18 02:00:00,0.0,0.0,-7.31,37.112,0.969,0.0,0,621.381,0.0,0.839,1.312,164.423,0.0,0.0,0.0,0.581,-6.280354435618029,0.0,0.015888758800840168,100846.76768110777,109.97466486489397,8.18790780568306,21.441719989178218,0.0,-3.927502730706198,0.0,-136.36255115363025,0.0,-114.54314980394503,-3.1689591454989707,-19.90090148255464,0,1.2504592783683854,0.0,325.49002101776927,1.0187116280129855,10.153280464892878,0.0,0,0,0.0,-7.182755011530895e-05,0.0,0.0,-136.36255115363025,0.0,,100868.20940109694,0.0,917,0.10033325007965624,3.5991527704150426,-0.0
3,2021-01-18 03:00:00,0.0,0.0,-7.549,36.772,0.683,0.0,0,620.88,0.0,0.834,1.276,163.207,0.0,0.0,0.0,0.578,-10.207857166324226,-0.006928661097572788,0.01588875880084017,100838.57977330209,109.96573584874818,3.2173066376719186,29.62962779486128,0.0,-2.872178079834275,0.0,-99.72177161626406,0.0,-99.69602588358259,5.763290653193543,-7.82016234686738,0,2.0311259609923638,0.0,325.4724027479258,1.0186840569999343,10.15300567051485,0.0,0,0,0.0,-2.74325342382705e-05,0.0,0.0,-99.72177161626406,0.0,,100868.20940109694,0.0,917,0.10033325007965624,2.5510912543480435,-0.0
4,2021-01-18 04:00:00,0.0,0.0,-7.784,38.108,1.238,0.0,0,620.64,0.0,0.829,1.299,163.058,0.0,0.0,0.0,0.58,-13.080035246158502,-0.018183217374210067,0.01588875880084017,100835.36246666442,109.96222733551191,3.070446447083787,32.846934432533196,0.0,-2.091239760657379,0.0,-72.60766150654517,0.0,-88.54486865092707,20.799764332174107,-7.463354644674503,0,2.600797456882291,0.0,325.46547980175154,1.0186732230055042,10.15289769041432,0.0,0,0,0.0,-1.0779756460601818e-05,0.0,0.0,-72.60766150654516,0.0,,100868.20940109694,0.0,917,0.10033325007965624,1.9703664519532988,-0.0
5,2021-01-18 05:00:00,0.0,0.0,-8.092,39.618,1.281,0.0,0,620.618,0.0,0.824,1.318,162.676,0.0,0.0,0.0,0.581,-15.17127500681588,-0.0325945011702822,0.01588875880084017,100832.29202021733,109.95887897515522,1.4605662154885737,35.917380879616985,0.0,-1.5178401787156868,0.0,-52.69927819399301,0.0,-80.93133526841044,28.767983526147294,-3.550280106522039,0,3.014353654792176,0.0,325.4588727981943,1.0186628833348126,10.152794637132548,0.0,0,0,0.0,-1.0287912434633474e-05,0.0,0.0,-52.69927819399301,0.0,,100868.20940109694,0.0,917,0.10033325007965624,1.6266453161831376,-0.0
6,2021-01-18 06:00:00,0.0,0.0,-9.07,43.24,0.828,0.0,0,620.788,0.0,0.819,1.333,160.629,0.0,0.0,0.0,0.583,-16.689115185531566,-0.04929751154868989,0.01588875880084017,100830.83145400183,109.95728620938041,0.24341822856964562,37.37794709510556,0.0,-1.5713117542617756,0.0,-54.55580661819036,0.0,-77.2955947837765,20.018214105961853,-0.5916960359420477,0,3.313270095566331,0.0,325.4557299202384,1.018657964831866,10.152745615467818,0.0,0,0,0.0,-4.893907980164033e-06,0.0,0.0,-54.55580661819036,0.0,,100868.20940109694,0.0,917,0.10033325007965624,1.4125819404772582,-0.0
7,2021-01-18 07:00:00,0.0,0.0,-9.835,44.15,0.265,2.505,0,621.095,0.0,0.814,1.282,157.953,2.505,0.0,0.0,0.579,-18.26042693979334,-0.06765695385130233,0.015888758800840168,100830.58803577327,109.95702075874948,0.0,37.62136532367521,0.0,-1.8238683276069108,0.0,-63.32454874603329,0.007403049388075461,-74.19399832270764,7.0883142743757075,0.15124008161002142,0,3.6224921713005496,0.0,325.45520612615695,1.0186571451086615,10.152737445462323,0.0,0,0,0.062218658344710236,-8.156274618337152e-07,0.0,0.0,-63.32454874603329,0.0,,100868.20940109694,0.0,917,0.10033325007965624,1.2184424378719882,-0.0
8,2021-01-18 08:00:00,68.861,0.1,-9.722,43.598,0.189,79.583,0,621.454,0.0,0.809,1.277,158.131,79.583,0.0,0.0,0.579,-20.08429526740025,-0.0877298690109887,0.06547672090238368,100830.65025443162,109.95708860897668,0.0,37.62136532367521,0.0,-1.6075744037528255,0.0,-55.81484263553778,0.9952692709987103,-67.44244319189704,6.221196164449336,0.42947720047884264,0,3.981657920432375,0.0,325.45534001002807,1.018657354633268,10.15273953374917,0.0,0,0,0.1766827015134228,2.0847792851218174e-07,0.0,0.0,-55.81484263553778,0.0,,100868.2716197553,0.0,917,0.10033325007965624,1.0239394131091712,-0.0
9,2021-01-18 09:00:00,250.185,0.278,-8.077,38.61,1.095,205.775,0,621.867,0.0,0.804,1.286,162.141,205.775,0.0,0.0,0.579,-21.691869671153075,-0.10979298506841127,0.15180973089781283,100830.82693713313,109.95728128367844,0.0,37.62136532367521,0.0,0.11748684743269495,0.0,4.0791330627640185,6.122774885597496,-57.755097302368995,47.38842331746702,4.025674357253917,0,4.29735780481458,0.0,325.45572020071927,1.0186579496210941,10.152745463865315,0.0,0,0,1.6561248209414003,5.920157947291185e-07,0.0,0.0,4.0791330627640185,0.0,,100868.4483024568,0.0,917,0.10033325007965624,0.8765784259499081,-0.0
10,2021-01-18 10:00:00,415.561,0.431,-7.43,36.482,1.457,339.975,0,622.029,0.0,0.799,1.278,163.519,339.975,0.0,0.0,0.578,-21.57438282372038,-0.1336054397049517,0.2222819371151504,100832.48306195407,109.95908730856496,0.0,37.62136532367521,0.0,0.9595281351867309,0.0,33.31473289497147,15.189630615715371,-56.788346853983995,65.52413964843872,5.120110142893973,0,4.269199341907402,0.0,325.4592838848109,1.0186635266703934,10.1528010491204,0.0,0,0,2.106388542789138,5.549218447922418e-06,0.0,0.0,33.31473289497147,0.0,,100870.10442727775,0.0,917,0.10033325007965624,0.8866494456573805,-0.0
11,2021-01-18 11:00:00,537.502,0.545,-6.268,33.512,1.676,543.975,0,621.507,0.0,0.794,1.284,166.4,543.975,0.0,0.0,0.578,-20.61485468853365,-0.1572617335732011,0.2715010274022314,100834.58945049686,109.96138435168687,0.0,37.62136532367521,0.0,1.6785340308706769,0.0,58.278554680102204,30.424092904512538,-57.287699373565346,76.38777829265636,4.680979515532422,0,4.073403340966232,0.0,325.4638164276257,1.0186706199078612,10.152871745898011,0.0,0,0,1.92575914602563,7.0578509683152155e-06,0.0,0.0,58.278554680102204,0.0,,100872.21081582054,0.0,917,0.10033325007965624,0.9729652391959129,-0.0
