When,fountain
Jan-18 16:30,1
Jan-19 13:30,0
Jan-19 16:30,1
Jan-21 5:30,0
Jan-21 17:30,1
Jan-23 13:30,0
Jan-23 17:00,1
Jan-29 5:30,0
Jan-31 17:00,1
Feb-06 5:30,0
Feb-07 18:00,1
Feb-08 5:30,0
Feb-09 17:30,1
Feb-10 5:30,0
Feb-13 17:30,1
Feb-14 13:30,0
Feb-14 16:00,1
Feb-15 13:30,0
Feb-15 16:00,1
Feb-17 5:30,0
Feb-19 17:30,1
Feb-21 5:30,0
Feb-22 16:00,1
Feb-24 13:30,0
Feb-24 16:00,1
Feb-27 13:30,0
Feb-27 16:00,1
Mar-03 13:30,0
Mar-03 16:00,1
Mar-05 13:30,0
Mar-05 16:00,1
Mar-06 5:30,0
Mar-06 16:00,1
Mar-07 5:30,0
Mar-07 17:30,1
Mar-08 5:30,0
Mar-08 17:30,1
Mar-09 5:30,0
Mar-09 17:30,1
Mar-10 5:30,0
