When,DroneV,DroneVError,rad,Area
2021-01-18 16:00:00,78.54,0.83,5.75,204.14
2021-02-27 16:00:00,636.99,2.97,10.25,686.28
2021-03-03 16:00:00,739.49,2.98,11.28,675.17
2021-03-15 16:00:00,669.09,2.88,10.22,699.47
2021-03-26 16:00:00,706.32,3.67,11.1,732.74
2021-04-03 16:00:00,627.31,2.93,10.31,669.56
