,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,DroneV,h_s,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,meltwater,SA,h_ice,r_ice,thickness,fountain_in,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
0,2019-01-30 17:15:00,0.0,-8.8,84.9,0.4,2.153,3.752,0.0,889.0,SW_directSW_diffuseLW_in,188.317,,,0.85,2.666,0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.67602885415807,0.0,0.0,0.0,0.0,0.023865937570683084,,
1,2019-01-30 17:30:00,0.0,-9.3,84.3,0.6,1.436,2.501,0.0,889.0,SW_directSW_diffuseLW_in,188.339,,,0.849,2.545,0,0.202,0.0,0.0,0.0037973006509422432,-129.42330965989672,0.3784743914839478,-111.53553883563893,-18.26624521574174,-13.946817721668872,0.0,0.0,0.0,0.0,0.0,107.89987141547316,0.11766616293944727,3.0300000000000002,0.04407464916786374,0.0,0.04407464916786374,-0.023877981107213446,0.0,0.0,8.827475136803761,0.039999999999999994,1.6760288541580697,0.0,0.0,-2.040717328539333,-127.3825923313574,0.023865937570683084,107.89987141547316,6.138386178795051
2,2019-01-30 17:45:00,0.0,-9.7,86.9,0.5,0.718,1.25,0.0,889.0,SW_directSW_diffuseLW_in,188.361,,,0.849,2.542,0,0.2,-0.023877981107213446,0.0,0.003797300650942242,-121.1993625821687,0.1891616957419739,-111.40869593297532,-15.837492610621295,-11.593029648073202,5.797720442548039,0.05994382313790673,0.0,0.0,0.0,110.88579676630529,0.1209223519807037,2.935865874939113,0.03730903491695019,0.04407464916786374,0.03730903491695019,-0.11176948904495752,0.0,0.04407464916786374,8.989588919522458,0.04036562266118956,1.691348707405264,0.0003688698060083594,0.06413412506088711,-9.552312319533868,-121.1993625821687,0.023865937570683084,107.89987141547316,6.126321528174043
3,2019-01-30 18:00:00,0.0,-10.0,85.6,0.4,0.0,0.0,0.0,888.9,SW_directSW_diffuseLW_in,188.383,,,0.848,2.445,0,0.198,-0.13564747015217096,-0.002085702819895685,0.0038965034232615304,-127.29599437902901,0.0,-110.89630644523365,-12.915011753512918,-9.380024111186371,-3.8199726579454447,0.33529647766299286,0.0,0.0,0.0,113.78435360632746,0.12408326456524259,2.97,0.03018752934171429,0.08138368408481392,0.03018752934171429,-0.05486897586862727,0.06413412506088711,0.08138368408481392,8.989724435849393,0.04142078080658244,1.691348707405264,0.0003516192578811272,0.0,-4.689344101226709,-122.6066502778023,0.023865937570683084,107.96400554053405,6.070133310396651
4,2019-01-30 18:15:00,0.0,-10.1,88.0,0.4,0.0,0.0,0.0,889.0,SW_directSW_diffuseLW_in,188.807,,,0.848,2.494,0,0.197,-0.19051644602079823,-0.013455085977756371,0.003997113522668893,-130.21230752466954,0.0,-110.23178869660475,-12.97555960991714,-9.182317573776702,-7.449458055939707,0.4444988377920677,0.0,0.0,0.0,116.72416607698574,0.12728916693237266,2.955,0.02955171820251872,0.1115712134265282,0.02955171820251872,-0.09625991925818575,0.06413412506088711,0.1115712134265282,8.98986545053864,0.04249095718936431,1.691348707405264,0.00035661853597486535,0.0,-8.226796243449291,-121.98551128122024,0.02448979363346485,107.96400554053405,6.042724918909444
5,2019-01-30 18:30:00,0.0,-10.4,88.8,0.5,0.0,0.0,0.0,889.0,SW_directSW_diffuseLW_in,189.232,,,0.847,2.457,0,0.202,-0.286776365278984,-0.028147972374092094,0.00409722727260832,-139.74830186684045,0.0,-109.38518434775537,-16.552923192961387,-11.442916186524588,-14.459460885684209,0.6492665595605334,0.0,0.0,0.0,119.64961435878323,0.13047940497141028,3.0300000000000002,0.03682765755797026,0.14112293162904693,0.03682765755797026,-0.17163536716264727,0.06413412506088711,0.14112293162904693,8.990009344506749,0.04355590459382528,1.691348707405264,0.00035487049907364913,0.0,-14.668713673335352,-125.07958819350509,0.02512252914098988,107.96400554053405,5.994909595466975
6,2019-01-30 18:45:00,0.0,-10.7,87.4,0.5,0.0,0.0,0.0,888.9,SW_directSW_diffuseLW_in,189.656,,,0.847,2.362,0,0.202,-0.45841173244163125,-0.049085044737894344,0.004199653615724058,-151.0890297651472,0.0,-108.21055286330125,-16.7611397263441,-11.477187014175593,-27.14492013836489,1.027582962863036,0.0,0.0,0.0,122.64278670122526,0.13374349694790105,3.0300000000000002,0.03693857417089904,0.1779505891870172,0.03693857417089904,-0.30435527729145234,0.06413412506088711,0.1779505891870172,8.990160253547941,0.04464550550628081,1.691348707405264,0.0003630799314447045,0.0,-26.011541160547605,-125.0774886045996,0.025752173045761433,107.96400554053405,5.910505416323713
7,2019-01-30 19:00:00,0.0,-11.0,88.3,0.4,0.0,0.0,0.0,888.7,SW_directSW_diffuseLW_in,190.08,,,0.846,2.329,0,0.197,-0.7627670097330836,-0.0814136074881066,0.004302070942031631,-168.54232759491578,0.0,-106.45896377513847,-13.400193902046743,-8.886738961450524,-50.39365488943723,1.7104849717066506,0.0,0.0,0.0,125.63584812705436,0.1370074679684344,2.955,0.02860187883425783,0.21488916335791625,0.02860187883425783,-0.5448223407056317,0.06413412506088711,0.21488916335791625,8.99031488268818,0.04573506604189569,1.691348707405264,0.0003630603825160129,0.0,-46.56291445500239,-121.97941313991338,0.026396393192491027,107.96400554053405,5.763491537344189
8,2019-01-30 19:15:00,0.0,-10.9,88.0,0.4,0.0,0.0,0.0,888.6,SW_directSW_diffuseLW_in,187.971,,,0.846,2.34,0,0.2,-1.3075893504387155,-0.13394569619317653,0.0044022019968175,-208.47202358389384,0.0,-106.20255228547768,-12.554730264760638,-8.198804632011981,-92.66108257405351,2.9463415403979805,0.0,0.0,0.0,128.5622462482201,0.14019874181921493,3.0,0.026388223522235785,0.24349104219217407,0.026388223522235785,-0.99032097580227,0.06413412506088711,0.24349104219217407,8.990469669725902,0.0468003592152346,1.691348707405264,0.0003549679730268032,0.0,-84.63718800435552,-123.83483557953832,0.027040589466650482,107.96400554053405,5.508622961373372
9,2019-01-30 19:30:00,0.0,-11.0,90.0,0.5,0.0,0.0,0.0,888.6,SW_directSW_diffuseLW_in,185.862,,,0.845,2.374,0,0.209,-2.2979103262409852,-0.22237497768332726,0.004503943177796043,-282.69903566161514,0.0,-104.048227063942,-14.236826459102861,-8.724712399495566,-169.62445296069637,5.210470822126096,0.0,0.0,0.0,131.53585802469786,0.14344150275321468,3.135,0.028081384113781863,0.26987926571440984,0.028081384113781863,-1.7936585159554748,0.06413412506088711,0.26987926571440984,8.99063060184072,0.04788283951848878,1.691348707405264,0.0003606887129511452,0.0,-153.2939488710251,-129.40508679059005,0.02767043780524247,107.96400554053405,5.071498016477212
