,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,DroneV,h_s,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
2249,2019-02-23 03:15:00,0.0,-3.2,92.3,0.4,0.0,0.0,0.0,918.0,0,256.324,,,0.35,4.452,0,3.58,-1.0232743789301983,-1.0093077970129813,0.05756357539188638,1696.9622158813333,1.850558577842239,1.0230073622736313,0.010197164981485226,27.159943895432697,0.010197164981485226,-0.014828044226689433,69269.09119881268,-41.00031676455697,0.0,-39.08216716009258,-2.943199393380436,-3.0761443082665965,2.4813325814825253,0.03577413694077471,792.6164669427823,9.259669896414193,0.6430908102119749,1.6576809922397298,0.0,0.0,0.0,-1.5840873787593455,-41.00031676455697,0.38794606032315093,69606.05765013894,5.640849097539674,0.00011581221841497957
2250,2019-02-23 03:30:00,0.0,-3.3,92.5,0.4,0.0,0.0,0.0,918.0,0,255.792,,,0.35,4.428,0,3.58,-1.0381024231568878,-1.0093915762837915,0.05756357539188638,1697.9750260786254,1.8516630600639317,1.0741666115029145,0.010347617324323256,27.17014106041418,0.010347617324323256,-0.0004970043038329329,69321.7681914504,-43.03356755525783,0.0,-39.54978630673193,-3.0583622996000224,-3.120289345156942,2.5682495639696534,0.07352561398078675,792.6266641077638,9.263353873727317,0.643218724942605,1.6580107152185468,0.0,0.0,0.0,-0.053095218280624135,-43.03356755525783,0.38794606032315093,69658.73464277668,5.633909996512101,0.00011927879007008076
2251,2019-02-23 03:45:00,0.0,-3.3,93.3,0.4,0.0,0.0,0.0,917.9,0,255.259,,,0.35,4.466,0,3.58,-1.0385994274607209,-1.0095637313055177,0.05756357539188638,1699.0388450728042,1.8528231680183251,1.085513201597858,0.010023723030190546,27.180488677738506,0.010023723030190546,0.0007539014235222872,69374.3940248389,-43.46998315692854,0.0,-40.08062858061922,-3.057357207234789,-3.021358272082836,2.695558570851513,0.07434199818238735,792.6370117250881,9.267222600856984,0.6433530271620393,1.6583569030863201,0.0,0.0,0.0,0.0805396660255977,-43.46998315692854,0.38794606032315093,69711.36047616517,5.633675731420339,0.00012523627729299234
2252,2019-02-23 04:00:00,0.0,-3.2,93.6,0.5,0.0,0.0,0.0,917.7,0,254.726,,,0.35,4.514,0,3.58,-1.0378455260371986,-1.0097377614960732,0.05756357539188637,1700.114334551372,1.853996002782303,1.1111538979448672,0.012023409311566324,27.190512400768696,0.012023409311566324,-0.005801808841773163,69427.0085116373,-44.478011475577304,0.0,-40.61690162087075,-3.653177535235924,-3.6225766792817455,2.7228832447837426,0.07195097555632672,792.6470354481182,9.271132948652346,0.6434887457518631,1.6587067419007955,0.0,0.0,0.0,-0.6198101394710478,-44.478011475577304,0.38794606032315093,69763.97496296356,5.634024702185495,0.00012655731004771262
2253,2019-02-23 04:15:00,0.0,-3.4,91.7,0.7,0.0,0.0,0.0,917.6,0,256.993,,,0.35,4.357,0,3.58,-1.0436473348789717,-1.0099061589207583,0.05756357539188637,1701.2134650400053,1.855194618364237,1.115435232078984,0.01915976757113601,27.202535810080263,0.01915976757113601,-0.020271762986347912,69479.59735773935,-44.630153942785185,0.0,-38.324713943972654,-5.57320551897494,-5.770229273916952,2.785999297140947,0.08635292122537147,792.6590588574298,9.275128400408088,0.6436273885322448,1.659064118336752,0.0,0.0,0.0,-2.1656425757130404,-44.630153942785185,0.38794606032315093,69816.56380906561,5.631309873928554,0.00012928469352907273
2254,2019-02-23 04:30:00,0.0,-3.4,90.6,0.4,0.0,0.0,0.0,917.6,0,259.261,,,0.35,4.305,0,3.58,-1.0639190978653195,-1.010108219796936,0.05756357539188637,1702.309740504513,1.8563901205065572,1.0486866938880435,0.011318701639349605,27.2216955776514,0.011318701639349605,0.021916240654400232,69532.18192250727,-41.941433437318494,0.0,-35.9687197949367,-3.157290907199641,-3.4073200622545374,2.7955330514238192,0.13768722287847052,792.678218625001,9.279112616831712,0.6437656117123144,1.6594204131782422,0.0,0.0,0.0,2.3413229472299038,-41.941433437318494,0.38794606032315093,69869.14837383354,5.621839840755959,0.00012889332532235837
2255,2019-02-23 04:45:00,0.0,-3.4,93.0,0.4,0.0,0.0,0.0,917.6,0,261.528,,,0.35,4.419,0,3.58,-1.0420028572109192,-1.0104303308152673,0.05756357539188637,1703.3471084967616,1.8575213833116266,0.9417359456750398,0.010431074005261068,27.23301427929075,0.010431074005261068,0.0021910441406900877,69584.83323581338,-37.648725340574444,0.0,-33.79685303180804,-3.186911434157807,-3.1388384400386973,2.627178906586134,0.08076899991595841,792.6895373266403,9.282881957124037,0.6438963529469641,1.6597574219741063,0.0,0.0,0.0,0.23407034107199243,-37.648725340574444,0.38794606032315093,69921.79968713965,5.632078735199389,0.00012191497741038524
2256,2019-02-23 05:00:00,0.0,-3.6,92.3,0.5,0.0,0.0,0.0,917.7,0,263.796,,,0.35,4.32,0,3.58,-1.0398118130702292,-1.01061924669053,0.057563575391886376,1704.2784133684313,1.8585369829535783,0.9145775255098951,0.014119125421459431,27.24344535329601,0.014119125421459431,-0.010562658462986242,69637.5914998677,-36.54966471790736,0.0,-31.538365102178602,-4.325695542616045,-4.247070547556512,2.3583854211627413,0.07466696835100485,792.6999684006456,9.28626525875996,0.6440136816565839,1.6600598576001364,0.0,0.0,0.0,-1.1284140849300517,-36.54966471790736,0.38794606032315093,69974.55795119397,5.633105103445571,0.0001094056400418155
2257,2019-02-23 05:15:00,0.0,-3.9,91.6,0.6,0.0,0.0,0.0,917.7,0,261.43,,,0.35,4.192,0,3.58,-1.0503744715332155,-1.0107938583095097,0.057563575391886355,1705.1788717685197,1.8595189441314282,1.0381594725793597,0.01853734665261863,27.25756447871747,0.01853734665261863,-0.01259662119907203,69690.3769223422,-41.47381731091268,0.0,-33.85851111312593,-5.7776748644697005,-5.574120042002563,2.2895663090618283,0.10121905861622127,792.714087526067,9.289535913494936,0.6441270835951266,1.6603521712750022,0.0,0.0,0.0,-1.3457033410074644,-41.47381731091268,0.38794606032315093,70027.34337366847,5.6281674697129205,0.00010574339096373287
2258,2019-02-23 05:30:00,0.0,-4.1,91.6,0.5,0.0,0.0,0.0,917.6,0,259.064,,,0.35,4.129,0,3.58,-1.0629710927322875,-1.0110305213545299,0.05756357539188638,1706.1984938944463,1.8606308548467245,1.1048072946208876,0.01606853397261883,27.276101825370088,0.01606853397261883,0.006730346644597995,69743.03876286962,-44.11877020055353,0.0,-36.16983438619542,-5.130806763293546,-4.829830913355812,2.5979075827863407,0.13280057672063286,792.7326248727196,9.293238701047796,0.644255444588977,1.6606830445766758,0.0,0.0,0.0,0.7190062972157261,-44.11877020055353,0.38794606032315093,70080.00521419589,5.622282381371205,0.00011969496922672543
