,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,LW_in,missing_type,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dep,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,input,s_cone,vp_ice
931,2019-03-10 12:00:00,0.681,9.2,70.8,1.4,47.021,168.082,3.6,906.5,328.147,SW_directSW_diffuseLW_in,0.382,8.237,0,0.0,0.0,-0.1880224874007815,0.33357975230192044,78.13796488117138,0.08521043062286957,0.0,4.23459596269209,3.718553262409434,-0.0,17287.23373531735,203.33940277338448,113.56816268338696,28.27246116436106,42.992925196918954,19.00241432902959,0.0,-0.4965606003120869,551.7524998411536,1.6966662807559438,0.15401176666134359,0.726867280389891,0.0,0.040753764158028484,-0.0025460969311412195,0.0,0.0,2.842170943040401e-14,203.33940277338445,18400.158796002383,0.21188430242551543,6.13873292442449
932,2019-03-10 13:00:00,0.634,9.4,68.4,1.1,110.584,176.946,0.0,906.4,306.281,SW_directSW_diffuseLW_in,0.382,8.066,0,0.0,0.0,-0.1695123066001799,0.31633213899379165,74.46016538291998,0.08119974414713194,0.0,4.23459596269209,3.2787658728884392,-0.0,17287.23373531735,185.14699859327072,130.97105487374648,6.406461164361076,34.51069927168167,13.71371169811944,0.0,-0.4549284146379596,555.471053103563,1.6430005015013052,0.15155648917756118,0.7152794588491919,0.0,0.02848099954734424,-0.00236386290057623,0.0,0.0,2.842170943040401e-14,185.1469985932707,18400.19954976654,0.21188430242551543,6.138730944098288
933,2019-03-10 14:00:00,0.536,7.8,82.3,1.4,184.148,174.924,0.0,907.4,307.353,SW_directSW_diffuseLW_in,0.382,8.708,0,0.0,0.0,-0.15227930876980356,0.2781680521801556,71.20988050957888,0.07765526773127468,0.0,4.23459596269209,3.551031551289184,-0.0,17287.23373531735,206.57763166684052,139.75951991223445,7.478461164361079,36.48671269391798,23.267742887398175,0.0,-0.4148049910711852,558.7498189764515,1.5948329617735142,0.14931838696674196,0.7047166083444641,0.0,0.04690638619747818,-0.002157319132050454,0.0,0.0,0.0,206.57763166684052,18400.228030766088,0.21188430242551543,6.138750746814336
934,2019-03-10 15:00:00,0.402,7.6,80.1,1.5,158.556,152.419,0.0,907.2,303.8,SW_directSW_diffuseLW_in,0.382,8.36,0,0.0,0.0,-0.13633069320687147,0.2217410533451467,67.70575534448717,0.07383397529387914,0.0,4.23459596269209,2.9769474492703956,-0.0,17287.23373531735,179.1058251966885,115.92281741269133,3.9254611643610815,38.082128709882696,21.55307844938007,0.0,-0.3776605396267117,562.3008505277406,1.542074740457061,0.1468278366347983,0.6929623145934244,0.0,0.04201237650321714,-0.0023960455602485917,0.0,0.0,0.0,179.1058251966885,18400.274937152284,0.21188430242551543,6.138746786368113
935,2019-03-10 16:00:00,0.243,6.7,87.7,1.5,136.17,80.62,3.6,907.8,273.046,SW_directSW_diffuseLW_in,0.382,8.605,0,0.0,0.0,-0.12156392304049658,0.14971562690708984,64.77082027172,0.07063339179031625,0.0,4.23459596269209,1.4971650024763925,-0.0,17287.23373531735,92.77671750703567,62.42218813404995,-26.828538835638938,33.594606911806586,23.930226678766722,0.0,-0.3417653819486266,565.277797977011,1.4971821123752005,0.14467483745796017,0.6828011126912921,0.0,0.04528808510629215,-0.002075504785594413,0.0,0.0,2.842170943040401e-14,92.77671750703564,18400.316949528788,0.21188430242551543,6.138758667561525
936,2019-03-10 17:00:00,0.071,6.5,85.3,1.1,42.671,40.236,0.0,908.3,280.741,SW_directSW_diffuseLW_in,0.382,8.255,0,0.0,0.0,-0.10800180958940081,0.06760671490088611,63.3189433543499,0.06905010180408931,0.0,4.23459596269209,0.734062497289084,-0.0,17287.23373531735,46.18130473495388,26.648682909289068,-19.133538835638944,23.9138047836009,15.058295909962286,0.0,-0.3059400322594238,566.7749629794874,1.4747241906515456,0.1435856671392641,0.6776607115090056,0.0,0.028070435285912288,-0.0010575132932326642,0.0,0.0,7.105427357601002e-15,46.181304734953876,18400.362237613896,0.21188430242551543,6.138768568223487
937,2019-03-10 18:00:00,0.0,5.8,85.8,0.7,1.307,3.553,0.0,908.8,265.566,SW_directSW_diffuseLW_in,0.381,7.911,0,0.0,0.0,-0.09576924482381244,0.03299002144702731,62.61295129234673,0.06828020860670309,0.0,4.23459596269209,0.0,-1.0056513914065954,17287.23373531735,-10.743510044359006,2.2259970160213527,-34.308538835638956,13.58650257979614,8.024833495889414,0.0,-0.27230430042695797,567.5090254767765,1.4637418219173788,0.14305002204236733,0.6751327040503828,0.0,0.014847831406841433,-0.0005220591092671238,0.0,0.0,-10.743510044359006,0.0,18400.39030804918,0.21188430242551543,6.138778468583663
938,2019-03-10 19:00:00,0.0,4.4,88.1,1.5,0.0,0.0,0.0,909.2,281.844,SW_directSW_diffuseLW_in,0.381,7.368,0,0.0,-1.0056513914065954,-0.08484078708707787,0.03299002144702731,62.62779912375357,0.06829640035305733,0.0,4.23459596269209,0.3481292769288078,1.0056513914065954,17287.23373531735,32.805840357873386,0.0,-13.63869687123912,27.146387524702476,16.680181158395335,0.0,2.617968546014695,567.5090254767765,1.4639732174191364,0.14306132862083537,0.675186066089659,0.0,0.0308671413340324,1.10618868107705e-05,0.0,0.0,10.74351004435901,22.062330313514376,18400.405155880588,0.21188430242551543,5.648945986947244
939,2019-03-10 20:00:00,0.0,4.4,85.0,1.7,0.0,0.0,0.0,909.5,267.077,SW_directSW_diffuseLW_in,0.381,7.109,0,0.0,0.0,-0.18990008068397507,0.0329900214470273,62.310536988158795,0.06795042201544034,0.0,4.23459596269209,0.037450765273437804,-0.0,17287.23373531735,2.381452745038855,0.0,-32.79753883563893,25.050570730554647,10.669243012334542,0.0,-0.540822162211402,567.8571547537053,1.4590248684905311,0.1428193444842655,0.6740440082127905,0.0,0.019676996902624203,-0.00023632832452148125,0.0,0.0,0.0,2.381452745038855,18400.43602302192,0.21188430242551543,6.138792328581858
940,2019-03-10 21:00:00,0.0,5.3,77.0,1.7,0.0,0.0,0.0,910.1,276.457,SW_directSW_diffuseLW_in,0.381,6.858,0,0.0,0.0,-0.16816007012022033,0.03299002144702731,62.29276321978798,0.06793103949813302,0.0,4.23459596269209,0.22337489120854942,-0.0,17287.23373531735,14.206864043302506,0.0,-23.417538835638936,30.19445735317913,7.908899200820156,0.0,-0.47895367505784314,567.8946055189788,1.4587474022778475,0.14280576369216838,0.67397991289312,0.0,0.014583395432115691,-1.3284569527161636e-05,0.0,0.0,1.7763568394002505e-15,14.206864043302504,18400.455700018825,0.21188430242551543,6.1388042081113365
941,2019-03-10 22:00:00,0.0,5.2,74.1,1.9,0.0,0.0,0.0,910.6,277.154,SW_directSW_diffuseLW_in,0.381,6.553,0,0.0,0.0,-0.14890522276919657,0.032990021447027305,62.08397172401155,0.06770334975355675,0.0,4.23459596269209,0.23647395837876103,-0.0,17287.23373531735,15.0736789311208,0.0,-22.720538835638934,33.12820570560328,5.090598965915762,0.0,-0.42458690475930977,568.1179804101873,1.4554859806254912,0.14264603404065931,0.6732260597304243,0.0,0.00936568242287825,-0.0001560857926606932,0.0,0.0,0.0,15.0736789311208,18400.47028341426,0.21188430242551543,6.138814107389203
942,2019-03-10 23:00:00,0.0,4.1,74.8,1.4,0.0,0.0,0.0,911.4,272.894,SW_directSW_diffuseLW_in,0.381,6.125,0,0.0,0.0,-0.13181690938920965,0.03299002144702732,61.85686344805567,0.06745568533048601,0.00022986770854514855,4.23459596269209,0.0,-0.769310613859745,17287.23373531735,-8.218649502064375,0.0,-26.980538835638924,19.26345755297908,-0.12524733372016048,0.0,-0.3763208856843709,568.354454368566,1.4519342880545956,0.14247188454085052,0.6724041512746526,0.0,0.0,-0.00017015926389363548,0.0,0.0,-8.218649502064375,0.0,18400.479649096684,0.21188430242551543,6.1388299456110245
