,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,Discharge,a,vp_a,cld,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dep,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
140,2019-02-05 14:00:00,0.356,-1.3,92.4,0.2,315.599,84.639,0.0,912.4,SW_directSW_diffuseLW_in,207.632,0.0,0.25,5.131,0.0,0.0,-8.922105957521715,0.1536922942460421,234.6393762441108,0.2558771823818002,0.013204826257078528,2.83181824325501,0.0,-1.5003800622155983,7671.006500604508,-16.028635223652348,99.85810077881749,-98.55568702165237,-1.1638599899199111,-1.737298948172112,0.0,-14.429890042725436,24.928963756132237,6.013061127595669,0.16093109841845307,1.2322007907098138,0.0,0.0,-4.955018616196167e-05,0.0,0.0,-16.028635223652348,0.0,0.0,7933.406658848008,0.0,0.1306046057037085,6.138849742313162
141,2019-02-05 15:00:00,0.238,-3.0,90.1,0.5,212.682,70.124,0.0,912.7,SW_directSW_diffuseLW_in,207.002,0.0,0.25,4.411,0.0,-1.5003800622155983,-8.287269564548943,0.1095338946108156,234.62617141785373,0.25586278235316656,0.033092633388495836,2.845023069512089,0.0,-3.8506710696926243,7671.006500604508,-41.13691157107979,70.06491583021311,-92.51350519245904,-3.357541387477994,-4.354010658029531,0.0,-10.976770163326343,24.928963756132237,6.012835527006657,0.16092807944938167,1.232177675375901,0.0,0.0,-2.3947916590328876e-06,0.0,0.0,-41.13691157107979,0.0,0.0,7933.406658848008,0.0,0.1306046057037085,5.4213473611932645
142,2019-02-05 16:00:00,0.092,-3.7,93.0,0.5,89.073,46.465,0.0,912.4,SW_directSW_diffuseLW_in,205.371,0.0,0.25,4.32,0.0,-5.351051131908223,-7.804342537196694,0.052857971727971215,234.59307878446523,0.2558266944214452,0.0,2.8781157029005846,0.0,-3.5260883111456476,7671.006500604508,-37.66937773238451,38.37991358679419,-77.51950752803978,3.6953699110383877,1.742861701370804,0.0,-3.968015403548117,24.928963756132237,6.012270130463108,0.16092051310913225,1.2321197421949948,0.0,0.013245364907039073,-6.0018158752714435e-06,0.0,0.0,-37.66937773238451,0.0,0.0,7933.406658848008,0.0,0.1306046057037085,3.9155692672324065
143,2019-02-05 17:00:00,0.0,-5.2,91.0,0.5,6.866,8.993,0.0,913.2,SW_directSW_diffuseLW_in,205.618,0.0,0.25,3.774,0.0,-8.87713944305387,-7.629760036538577,0.016489057945125785,234.60632414937228,0.255841138657985,0.0,2.8781157029005846,0.0,-3.907014871462666,7671.006500604508,-41.73883522257923,6.829660403888425,-62.665006905281416,8.237361405013363,3.8416449257901917,0.0,2.0175049480102065,24.928963756132237,6.01249643427637,0.16092354163099493,1.2321429306717437,0.0,0.029196753899245077,2.4024596743681264e-06,0.0,0.0,-41.73883522257923,0.0,0.0,7933.419904212915,0.0,0.1306046057037085,2.882547011419077
144,2019-02-05 18:00:00,0.0,-6.2,91.1,0.3,0.0,0.0,0.0,913.4,SW_directSW_diffuseLW_in,204.72,0.0,0.25,3.501,0.0,-12.784154314516536,-7.718523409263398,0.016489057945125788,234.63552090327153,0.25587297808426557,0.0,2.8781157029005846,0.0,-2.5466885311886336,7671.006500604508,-27.206400913114734,0.0,-48.04617551132853,8.85165293050263,3.7953365046787977,0.0,8.192785163032363,24.928963756132237,6.012995260664066,0.16093021699828658,1.232194041941945,0.0,0.0288471999631082,5.29554181504914e-06,0.0,0.0,-27.206400913114734,0.0,0.0,7933.4491009668145,0.0,0.1306046057037085,2.033154786502789
145,2019-02-05 19:00:00,0.0,-6.9,91.4,0.3,0.0,0.0,0.0,913.3,SW_directSW_diffuseLW_in,198.968,0.0,0.25,3.328,0.0,-15.33084284570517,-8.078963208345654,0.016489057945125785,234.66436810323464,0.255904436317595,0.0,2.8781157029005846,0.0,-1.5491763365694122,7671.006500604508,-16.549928262387862,0.0,-44.05290838588459,11.333076502436727,4.44171845208506,0.0,11.728185168974946,24.928963756132237,6.013488094604684,0.1609368119018668,1.2322445371258222,0.0,0.0337629198428083,5.231707654127916e-06,0.0,0.0,-16.549928262387862,0.0,0.0,7933.477948166777,0.0,0.1306046057037085,1.6101667692554
146,2019-02-05 20:00:00,0.0,-7.2,91.4,0.4,0.0,0.0,0.0,913.4,SW_directSW_diffuseLW_in,199.775,0.0,0.25,3.252,0.0,-16.880019182274584,-8.59492101687816,0.016489057945125788,234.69813102307745,0.2559412552051008,0.0,2.8781157029005846,0.0,-0.02823852034928488,7671.006500604508,-0.3016735248174278,0.0,-37.45731573374826,17.351592134505665,6.405522991671433,0.0,13.398527082753734,24.928963756132237,6.014064884482135,0.16094452992647815,1.232303631708052,0.0,0.04869509522732965,6.1227172859657105e-06,0.0,0.0,-0.3016735248174278,0.0,0.0,7933.51171108662,0.0,0.1306046057037085,1.393999480478153
147,2019-02-05 21:00:00,0.0,-8.4,90.1,0.4,0.0,0.0,0.0,913.5,SW_directSW_diffuseLW_in,198.292,3.54,0.25,2.92,0.0,-16.908257702623867,-9.184333876422047,0.016489057945125785,234.74682611830477,0.25599435781712626,0.0,2.8781157029005846,0.0,3.298800452110303,7671.006500604508,35.241250169916974,0.0,-38.83577001409486,15.25286030314774,5.2736294955738385,41.060389147131865,12.490141238158392,24.928963756132237,6.0148967199267656,0.1609556600637582,1.2323888518059198,0.0,0.040095931291478246,8.829737132114433e-06,212.4,0.0,35.241250169916974,0.0,0.0,7933.560406181848,0.0,0.1306046057037085,1.390319073823952
148,2019-02-05 22:00:00,0.0,-8.3,91.4,0.4,0.0,0.0,0.0,913.4,SW_directSW_diffuseLW_in,197.552,3.54,0.25,2.985,0.0,-13.609457250513564,-9.733748057806613,0.01648905794512578,234.78692204959626,0.2560380829330384,0.0,2.8781157029005846,0.0,0.8053859834819457,7883.4065006045075,8.6039787308368,0.0,-52.024526813612425,9.517288647031105,3.788558458984136,41.05571426606433,6.266944172369656,24.928963756132237,6.015581616714018,0.16096482355248193,1.2324590138700704,0.0,0.028808067918174467,7.269470773672002e-06,212.4,0.0,8.6039787308368,0.0,0.0,8146.000502113138,0.0,0.1306046057037085,1.8860821451763075
149,2019-02-05 23:00:00,0.0,-9.0,91.9,0.4,0.0,0.0,0.0,913.2,SW_directSW_diffuseLW_in,204.83,3.54,0.25,2.841,0.0,-12.804071267031619,-10.009401625151115,0.016489057945125785,234.81573011751442,0.25606949849238214,0.0,2.8781157029005846,0.0,0.6858857126991462,8095.806500604507,7.327351363050615,0.0,-47.858841953668986,6.817366667159589,2.797730309889439,41.05235628549101,4.518740054179564,24.928963756132237,6.016073676318725,0.16097140667884305,1.2325094188793397,0.0,0.02127558497709044,5.222364410521902e-06,212.4,0.0,7.327351363050615,0.0,0.0,8358.429310181056,0.0,0.1306046057037085,2.0294840041921076
