time,temp,RH,wind,SW_global,ppt,press,LW_in,LW_out,SW_direct,SW_diffuse
2021-12-03 10:00:00,-6.235,95.38,0.57,81.22,0,89.5,294.71,269.125,81.22,0
2021-12-03 11:00:00,-5.895,95.625,0.625,177.24,0,89.48,313.305,279.645,177.24,0
2021-12-03 12:00:00,-7.72,93.405,0.555,22.61,0,89.455,299.18,261.725,22.61,0
2021-12-03 13:00:00,-9.33,93.73,0.455,16.21,0,89.335,277.25,250.83,16.21,0
2021-12-03 14:00:00,-9.11,94.71,0.41,25.535,0,89.43,275.875,255.72,25.535,0
2021-12-03 15:00:00,-7.505,95.29,0.445,24.565,0,89.41,284.445,266.945,24.565,0
2021-12-03 16:00:00,-5.94,96.065,0.6,8.44,0,89.435,289.875,282.825,8.44,0
2021-12-03 17:00:00,-4.815,96.815,0.41,-0.085,0,89.4,292.22,289.395,-0.085,0
2021-12-03 18:00:00,-4.36,96.49,0.585,-0.405,0,89.39,294.47,292.765,-0.405,0
2021-12-03 19:00:00,-3.925,96.375,0.735,-0.425,0,89.345,296.735,295.675,-0.425,0
2021-12-03 20:00:00,-3.73,96.735,0.515,-0.35,0,89.285,297.935,296.885,-0.35,0
2021-12-03 21:00:00,-3.385,96.525,0.745,-0.39,0,89.19,299.36,297.68,-0.39,0
2021-12-03 22:00:00,-3.315,96.455,0.61,-0.37,0,89.125,299.63,296.17,-0.37,0
2021-12-03 23:00:00,-3.07,95.585,0.725,-0.605,0,88.99,300.375,296.965,-0.605,0
2021-12-04 00:00:00,-2.795,95.86,0.57,-0.49,0,89.005,301.355,300.935,-0.49,0
2021-12-04 01:00:00,-2.18,96.935,0.61,-0.38,0,88.955,304.34,305.12,-0.38,0
2021-12-04 02:00:00,-1.845,96.97,0.475,-0.29,0,88.935,306.715,306.82,-0.29,0
2021-12-04 03:00:00,-1.69,98.185,0.69,-0.145,0,88.9,307.665,308.465,-0.145,0
2021-12-04 04:00:00,-0.45,99.625,0.685,-0.44,0,88.775,311.965,314.865,-0.44,0
2021-12-04 05:00:00,0.085,99.94,0.695,-0.12,0,88.725,315.625,315.88,-0.12,0
2021-12-04 06:00:00,0.2,99.96,0.67,-0.145,0,88.705,315.58,315.98,-0.145,0
2021-12-04 07:00:00,0.39,100.0,3.76,-0.33,0,88.685,315.55,316.065,-0.33,0
