time,temp,RH,wind,SW_global,ppt,press,LW_in,snow_h
2021-12-03 12:00:00,-7.72,93.405,0.555,22.61,0.0,89.455,299.18,45.825
2021-12-03 13:00:00,-9.33,93.73,0.455,16.21,0.0,89.335,277.25,40.805
2021-12-03 14:00:00,-9.11,94.71,0.41,25.535,0.0,89.43,275.875,45.21
2021-12-03 15:00:00,-7.505,95.29,0.445,24.565,0.0,89.41,284.445,44.57
2021-12-03 16:00:00,-5.94,96.065,0.6,8.44,0.0,89.435,289.875,43.92
2021-12-03 17:00:00,-4.815,96.815,0.41,-0.085,0.0,89.4,292.22,43.43
2021-12-03 18:00:00,-4.36,96.49,0.585,-0.405,0.0,89.39,294.47,42.845
2021-12-03 19:00:00,-3.925,96.375,0.735,-0.425,0.0,89.345,296.735,42.23
2021-12-03 20:00:00,-3.73,96.735,0.515,-0.35,0.0,89.285,297.935,42.04
2021-12-03 21:00:00,-3.385,96.525,0.745,-0.39,0.0,89.19,299.36,42.125
2021-12-03 22:00:00,-3.315,96.455,0.61,-0.37,0.0,89.125,299.63,39.975
2021-12-03 23:00:00,-3.07,95.585,0.725,-0.605,0.0,88.99,300.375,41.35
2021-12-04 00:00:00,-2.795,95.86,0.57,-0.49,0.2,89.005,301.355,42.56
2021-12-04 01:00:00,-2.18,96.935,0.61,-0.38,0.0,88.955,304.34,41.265
2021-12-04 02:00:00,-1.845,96.97,0.475,-0.29,0.8,88.935,306.715,40.47
2021-12-04 03:00:00,-1.69,98.185,0.69,-0.145,1.0,88.9,307.665,39.83
2021-12-04 04:00:00,-0.45,99.625,0.685,-0.44,1.2,88.775,311.965,41.065
2021-12-04 05:00:00,0.085,99.94,0.695,-0.12,2.0,88.725,315.625,40.305
2021-12-04 06:00:00,0.2,99.96,0.67,-0.145,1.8,88.705,315.58,39.79
2021-12-04 07:00:00,0.39,100.0,3.76,-0.33,1.4,88.685,315.55,39.57
2021-12-04 08:00:00,0.555,99.92,3.005,0.195,0.8,88.705,315.645,39.075
2021-12-04 09:00:00,0.755,99.67,3.255,6.49,0.2,88.69,315.685,38.51
2021-12-04 10:00:00,0.98,99.38,5.16,18.4,0.4,88.635,315.47,37.75
2021-12-04 11:00:00,1.475,99.065,3.885,46.145,1.4,88.53,315.76,37.09
2021-12-04 12:00:00,1.815,98.595,1.155,91.34,0.8,88.415,324.215,36.185
2021-12-04 13:00:00,1.74,99.025,3.175,42.835,3.0,88.39,323.915,35.03
2021-12-04 14:00:00,1.585,99.33,5.24,24.115,2.2,88.43,322.72,34.17
2021-12-04 15:00:00,1.21,99.23,3.675,15.795,0.8,88.475,319.82,33.435
2021-12-04 16:00:00,1.21,98.13,3.025,10.0,1.0,88.45,317.955,33.085
2021-12-04 17:00:00,1.54,96.965,0.86,0.33,0.2,88.45,319.25,32.74
2021-12-04 18:00:00,1.195,98.935,0.655,0.075,0.0,88.445,318.385,32.475
2021-12-04 19:00:00,1.365,98.105,0.755,-0.17,0.2,88.41,314.305,32.21
2021-12-04 20:00:00,1.285,98.24,0.93,0.0,1.2,88.395,316.045,31.995
2021-12-04 21:00:00,1.05,98.715,0.795,-0.305,1.8,88.44,317.81,31.63
2021-12-04 22:00:00,0.345,97.46,1.255,-0.315,0.6,88.655,315.45,31.47
2021-12-04 23:00:00,0.0,99.09,0.655,0.045,0.8,88.655,315.755,31.645
2021-12-05 00:00:00,-0.295,99.105,1.505,0.245,0.4,88.69,315.84,33.59
2021-12-05 01:00:00,-1.415,98.05,1.09,2.47,0.2,88.71,313.8,35.51
2021-12-05 02:00:00,-1.675,98.445,0.575,0.195,0.4,88.65,309.38,34.99
2021-12-05 03:00:00,-1.94,98.41,1.445,-0.39,0.2,88.6,306.475,34.6
2021-12-05 04:00:00,-2.025,98.51,0.855,-0.485,0.0,88.55,305.16,34.765
2021-12-05 05:00:00,-2.13,98.26,1.33,-0.63,0.0,88.51,304.46,34.99
2021-12-05 06:00:00,-2.57,97.655,0.75,-0.715,0.0,88.495,302.205,33.745
2021-12-05 07:00:00,-2.55,98.04,0.585,-0.675,0.0,88.49,301.965,34.085
2021-12-05 08:00:00,-2.42,98.025,2.51,0.675,0.0,88.505,302.815,35.54
2021-12-05 09:00:00,-1.915,97.74,1.185,12.045,0.0,88.505,308.405,33.73
2021-12-05 10:00:00,-1.96,96.995,2.86,20.55,0.0,88.49,311.185,33.795
2021-12-05 11:00:00,-1.41,95.905,1.055,29.565,0.0,88.49,315.355,34.335
2021-12-05 12:00:00,-1.425,94.04,0.855,58.5,0.0,88.46,315.54,33.71
2021-12-05 13:00:00,-0.655,91.615,1.585,47.395,0.0,88.425,316.2,33.545
2021-12-05 14:00:00,-0.945,91.705,1.04,34.41,0.0,88.4,316.04,32.94
2021-12-05 15:00:00,-1.66,93.94,0.95,15.03,0.0,88.425,315.78,33.64
2021-12-05 16:00:00,-1.765,95.325,0.865,6.515,0.0,88.46,314.91,36.03
2021-12-05 17:00:00,-2.83,96.455,0.385,0.575,0.0,88.495,306.265,35.59
2021-12-05 18:00:00,-2.21,97.375,0.32,-0.12,0.0,88.525,304.265,33.71
2021-12-05 19:00:00,-1.95,98.015,0.385,-0.26,0.0,88.55,305.415,34.875
