Diameter,Pressure
1,5.528571428571429
2,5.2214285714285715
3,4.914285714285715
4,4.607142857142858
5,4.3
6,3.9928571428571433
7,3.6857142857142864
8,3.378571428571429
9,3.0714285714285716
10,2.7642857142857147
11,2.4571428571428573
12,2.15
13,1.8428571428571432
14,1.5357142857142863
15,1.2285714285714284
16,0.9214285714285716
17,0.6142857142857147
18,0.3071428571428569
19,0.0
