,When,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in
16723,2019-03-29 18:30:00,4.418887517696257,74.66338699076994,0.4765513720339977,0.0,11.00947,8.815345,0.0,914.0346508203827,1,242.47926999999999
16724,2019-03-29 18:35:00,4.242915638956009,75.05393762043147,0.4731799732579255,0.0,9.174558333333334,7.346120833333334,0.0,914.061084452825,1,241.54249333333334
16725,2019-03-29 18:40:00,4.066943760215761,75.444488250093,0.4698085744818533,0.0,7.339646666666667,5.876896666666667,0.0,914.0875180852672,1,240.60571666666667
16726,2019-03-29 18:45:00,3.8909718814755117,75.83503887975453,0.46643717570578114,0.0,5.504735,4.4076725,0.0,914.1139517177095,1,239.66894
16727,2019-03-29 18:50:00,3.7150000027352634,76.22558950941607,0.4630657769297089,0.0,3.6698233333333334,2.9384483333333336,0.0,914.1403853501517,1,238.73216333333335
16728,2019-03-29 18:55:00,3.539028123995015,76.61614013907759,0.45969437815363673,0.0,1.8349116666666667,1.4692241666666668,0.0,914.166818982594,1,237.79538666666667
16729,2019-03-29 19:00:00,3.363056245254766,77.00669076873912,0.4563229793775645,0.0,0.0,0.0,0.0,914.1932526150363,1,236.85861
16730,2019-03-29 19:05:00,3.113019333343625,77.57211272216921,0.4558818684912731,0.0,0.0,0.0,0.0,914.1882176374282,1,236.73327
16731,2019-03-29 19:10:00,2.8629824214324837,78.13753467559928,0.4554407576049816,0.0,0.0,0.0,0.0,914.1831826598202,1,236.60793
16732,2019-03-29 19:15:00,2.6129455095213427,78.70295662902937,0.4549996467186902,0.0,0.0,0.0,0.0,914.1781476822122,1,236.48259000000002
16733,2019-03-29 19:20:00,2.3629085976102018,79.26837858245946,0.4545585358323988,0.0,0.0,0.0,0.0,914.1731127046041,1,236.35725
16734,2019-03-29 19:25:00,2.112871685699061,79.83380053588954,0.45411742494610735,0.0,0.0,0.0,0.0,914.1680777269961,1,236.23191
16735,2019-03-29 19:30:00,1.8628347737879194,80.39922248931963,0.45367631405981595,0.0,0.0,0.0,0.0,914.1630427493881,1,236.10657
16736,2019-03-29 19:35:00,1.6127978618767784,80.96464444274972,0.45323520317352445,0.0,0.0,0.0,0.0,914.1580077717798,1,235.98123
16737,2019-03-29 19:40:00,1.3627609499656375,81.53006639617979,0.45279409228723305,0.0,0.0,0.0,0.0,914.1529727941718,1,235.85589000000002
16738,2019-03-29 19:45:00,1.112724038054496,82.0954883496099,0.45235298140094166,0.0,0.0,0.0,0.0,914.1479378165637,1,235.73055
16739,2019-03-29 19:50:00,0.8626871261433552,82.66091030303997,0.45191187051465015,0.0,0.0,0.0,0.0,914.1429028389557,1,235.60521
16740,2019-03-29 19:55:00,0.612650214232214,83.22633225647004,0.45147075962835875,0.0,0.0,0.0,0.0,914.1378678613477,1,235.47987
16741,2019-03-29 20:00:00,0.3626133023210726,83.79175420990015,0.4510296487420673,0.0,0.0,0.0,0.0,914.1328328837396,1,235.35453
16742,2019-03-29 20:05:00,0.3283327164035753,83.83496413950093,0.4483248228462564,0.0,0.0,0.0,0.0,914.1468359956306,1,235.12647916666668
16743,2019-03-29 20:10:00,0.29405213048607803,83.87817406910169,0.44561999695044563,0.0,0.0,0.0,0.0,914.1608391075215,1,234.89842833333336
16744,2019-03-29 20:15:00,0.25977154456858076,83.92138399870245,0.44291517105463474,0.0,0.0,0.0,0.0,914.1748422194124,1,234.6703775
16745,2019-03-29 20:20:00,0.22549095865108348,83.96459392830323,0.4402103451588239,0.0,0.0,0.0,0.0,914.1888453313032,1,234.44232666666667
16746,2019-03-29 20:25:00,0.1912103727335862,84.00780385790401,0.437505519263013,0.0,0.0,0.0,0.0,914.2028484431943,1,234.21427583333335
16747,2019-03-29 20:30:00,0.1569297868160887,84.05101378750479,0.4348006933672021,0.0,0.0,0.0,0.0,914.2168515550851,1,233.986225
16748,2019-03-29 20:35:00,0.12264920089859166,84.09422371710556,0.4320958674713913,0.0,0.0,0.0,0.0,914.230854666976,1,233.75817416666666
16749,2019-03-29 20:40:00,0.08836861498109438,84.13743364670634,0.4293910415755804,0.0,0.0,0.0,0.0,914.244857778867,1,233.53012333333334
16750,2019-03-29 20:45:00,0.054088029063597,84.1806435763071,0.42668621567976955,0.0,0.0,0.0,0.0,914.2588608907579,1,233.3020725
16751,2019-03-29 20:50:00,0.019807443146099724,84.22385350590788,0.42398138978395866,0.0,0.0,0.0,0.0,914.2728640026488,1,233.07402166666668
16752,2019-03-29 20:55:00,-0.014473142771397551,84.26706343550865,0.4212765638881478,0.0,0.0,0.0,0.0,914.2868671145397,1,232.84597083333333
16753,2019-03-29 21:00:00,-0.04875372868889494,84.31027336510942,0.41857173799233693,0.0,0.0,0.0,0.0,914.3008702264307,1,232.61792
16754,2019-03-29 21:05:00,-0.08580361096690137,84.37072103659908,0.4155607911938854,0.0,0.0,0.0,0.0,914.2880209635749,1,232.43946083333333
16755,2019-03-29 21:10:00,-0.12285349324490769,84.43116870808873,0.4125498443954339,0.0,0.0,0.0,0.0,914.2751717007192,1,232.26100166666666
16756,2019-03-29 21:15:00,-0.15990337552291412,84.4916163795784,0.40953889759698237,0.0,0.0,0.0,0.0,914.2623224378634,1,232.0825425
16757,2019-03-29 21:20:00,-0.19695325780092054,84.55206405106804,0.40652795079853077,0.0,0.0,0.0,0.0,914.2494731750077,1,231.90408333333332
16758,2019-03-29 21:25:00,-0.23400314007892697,84.61251172255771,0.4035170040000792,0.0,0.0,0.0,0.0,914.2366239121519,1,231.72562416666665
16759,2019-03-29 21:30:00,-0.2710530223569333,84.67295939404735,0.4005060572016277,0.0,0.0,0.0,0.0,914.2237746492962,1,231.547165
16760,2019-03-29 21:35:00,-0.3081029046349397,84.73340706553701,0.3974951104031762,0.0,0.0,0.0,0.0,914.2109253864404,1,231.36870583333334
16761,2019-03-29 21:40:00,-0.34515278691294615,84.79385473702666,0.39448416360472466,0.0,0.0,0.0,0.0,914.1980761235848,1,231.19024666666667
16762,2019-03-29 21:45:00,-0.38220266919095247,84.85430240851633,0.3914732168062731,0.0,0.0,0.0,0.0,914.1852268607289,1,231.0117875
16763,2019-03-29 21:50:00,-0.4192525514689589,84.91475008000597,0.38846227000782163,0.0,0.0,0.0,0.0,914.1723775978733,1,230.83332833333333
16764,2019-03-29 21:55:00,-0.4563024337469653,84.97519775149564,0.3854513232093701,0.0,0.0,0.0,0.0,914.1595283350174,1,230.65486916666666
16765,2019-03-29 22:00:00,-0.4933523160249716,85.03564542298528,0.3824403764109185,0.0,0.0,0.0,0.0,914.1466790721618,1,230.47641
16766,2019-03-29 22:05:00,-0.5452665223306812,85.21739596452608,0.38204713431315573,0.0,0.0,0.0,0.0,914.1397039498487,1,230.31861333333333
16767,2019-03-29 22:10:00,-0.5971807286363907,85.39914650606687,0.381653892215393,0.0,0.0,0.0,0.0,914.1327288275356,1,230.16081666666665
16768,2019-03-29 22:15:00,-0.6490949349421002,85.58089704760766,0.38126065011763016,0.0,0.0,0.0,0.0,914.1257537052227,1,230.00302
16769,2019-03-29 22:20:00,-0.7010091412478099,85.76264758914846,0.3808674080198674,0.0,0.0,0.0,0.0,914.1187785829097,1,229.84522333333334
16770,2019-03-29 22:25:00,-0.7529233475535194,85.94439813068925,0.3804741659221046,0.0,0.0,0.0,0.0,914.1118034605967,1,229.68742666666665
16771,2019-03-29 22:30:00,-0.804837553859229,86.12614867223004,0.38008092382434183,0.0,0.0,0.0,0.0,914.1048283382836,1,229.52963
16772,2019-03-29 22:35:00,-0.8567517601649385,86.30789921377084,0.37968768172657896,0.0,0.0,0.0,0.0,914.0978532159706,1,229.37183333333334
16773,2019-03-29 22:40:00,-0.908665966470648,86.48964975531163,0.3792944396288162,0.0,0.0,0.0,0.0,914.0908780936576,1,229.21403666666666
16774,2019-03-29 22:45:00,-0.9605801727763575,86.67140029685243,0.37890119753105345,0.0,0.0,0.0,0.0,914.0839029713446,1,229.05624
16775,2019-03-29 22:50:00,-1.0124943790820673,86.85315083839322,0.37850795543329063,0.0,0.0,0.0,0.0,914.0769278490316,1,228.89844333333335
16776,2019-03-29 22:55:00,-1.0644085853877767,87.034901379934,0.3781147133355279,0.0,0.0,0.0,0.0,914.0699527267186,1,228.74064666666666
16777,2019-03-29 23:00:00,-1.1163227916934861,87.21665192147479,0.37772147123776506,0.0,0.0,0.0,0.0,914.0629776044055,1,228.58285
16778,2019-03-29 23:05:00,-1.2283194590421735,87.54113090555558,0.38116850269971253,0.0,0.0,0.0,0.0,914.0588858459361,1,228.60193583333333
16779,2019-03-29 23:10:00,-1.340316126390861,87.86560988963639,0.38461553416166,0.0,0.0,0.0,0.0,914.0547940874667,1,228.62102166666668
16780,2019-03-29 23:15:00,-1.4523127937395481,88.19008887371717,0.38806256562360747,0.0,0.0,0.0,0.0,914.0507023289972,1,228.6401075
16781,2019-03-29 23:20:00,-1.5643094610882353,88.51456785779797,0.39150959708555494,0.0,0.0,0.0,0.0,914.0466105705276,1,228.65919333333335
16782,2019-03-29 23:25:00,-1.6763061284369227,88.83904684187877,0.39495662854750235,0.0,0.0,0.0,0.0,914.0425188120582,1,228.67827916666667
16783,2019-03-29 23:30:00,-1.7883027957856101,89.16352582595957,0.39840366000944977,0.0,0.0,0.0,0.0,914.0384270535887,1,228.697365
16784,2019-03-29 23:35:00,-1.9002994631342975,89.48800481004037,0.40185069147139724,0.0,0.0,0.0,0.0,914.0343352951193,1,228.71645083333334
16785,2019-03-29 23:40:00,-2.0122961304829845,89.81248379412116,0.4052977229333447,0.0,0.0,0.0,0.0,914.0302435366499,1,228.73553666666666
16786,2019-03-29 23:45:00,-2.124292797831672,90.13696277820196,0.4087447543952921,0.0,0.0,0.0,0.0,914.0261517781803,1,228.7546225
16787,2019-03-29 23:50:00,-2.2362894651803593,90.46144176228275,0.4121917858572396,0.0,0.0,0.0,0.0,914.0220600197108,1,228.77370833333333
16788,2019-03-29 23:55:00,-2.3482861325290467,90.78592074636354,0.41563881731918706,0.0,0.0,0.0,0.0,914.0179682612414,1,228.79279416666668
16789,2019-03-30 00:00:00,-2.4602827998777337,91.11039973044433,0.41908584878113453,0.0,0.0,0.0,0.0,914.013876502772,1,228.81188
16790,2019-03-30 00:05:00,-2.4919507350696524,91.16164462660305,0.4231276499405503,0.0,0.0,0.0,0.0,914.0190172149097,1,228.77962666666667
16791,2019-03-30 00:10:00,-2.5236186702615706,91.21288952276174,0.4271694510999661,0.0,0.0,0.0,0.0,914.0241579270477,1,228.74737333333334
16792,2019-03-30 00:15:00,-2.5552866054534893,91.26413441892043,0.431211252259382,0.0,0.0,0.0,0.0,914.0292986391854,1,228.71512
16793,2019-03-30 00:20:00,-2.586954540645408,91.31537931507916,0.4352530534187978,0.0,0.0,0.0,0.0,914.0344393513232,1,228.68286666666665
16794,2019-03-30 00:25:00,-2.618622475837326,91.36662421123786,0.4392948545782136,0.0,0.0,0.0,0.0,914.039580063461,1,228.65061333333333
16795,2019-03-30 00:30:00,-2.6502904110292445,91.41786910739657,0.4433366557376294,0.0,0.0,0.0,0.0,914.0447207755989,1,228.61836
16796,2019-03-30 00:35:00,-2.681958346221163,91.46911400355526,0.44737845689704525,0.0,0.0,0.0,0.0,914.0498614877366,1,228.58610666666667
16797,2019-03-30 00:40:00,-2.713626281413082,91.52035889971397,0.451420258056461,0.0,0.0,0.0,0.0,914.0550021998745,1,228.55385333333334
16798,2019-03-30 00:45:00,-2.745294216605,91.57160379587268,0.45546205921587685,0.0,0.0,0.0,0.0,914.0601429120122,1,228.52159999999998
16799,2019-03-30 00:50:00,-2.7769621517969183,91.62284869203137,0.45950386037529267,0.0,0.0,0.0,0.0,914.0652836241501,1,228.48934666666665
16800,2019-03-30 00:55:00,-2.808630086988837,91.67409358819008,0.4635456615347085,0.0,0.0,0.0,0.0,914.0704243362879,1,228.45709333333332
16801,2019-03-30 01:00:00,-2.8402980221807557,91.72533848434878,0.4675874626941243,0.0,0.0,0.0,0.0,914.0755650484257,1,228.42484
16802,2019-03-30 01:05:00,-2.9094992438272524,91.75581809232487,0.47177574234643777,0.0,0.0,0.0,0.0,914.0561065382965,1,228.40107166666667
16803,2019-03-30 01:10:00,-2.9787004654737492,91.78629770030098,0.47596402199875126,0.0,0.0,0.0,0.0,914.0366480281673,1,228.37730333333332
16804,2019-03-30 01:15:00,-3.047901687120246,91.81677730827707,0.4801523016510647,0.0,0.0,0.0,0.0,914.017189518038,1,228.353535
16805,2019-03-30 01:20:00,-3.1171029087667432,91.84725691625317,0.48434058130337815,0.0,0.0,0.0,0.0,913.9977310079087,1,228.32976666666667
16806,2019-03-30 01:25:00,-3.18630413041324,91.87773652422926,0.48852886095569165,0.0,0.0,0.0,0.0,913.9782724977795,1,228.30599833333332
16807,2019-03-30 01:30:00,-3.255505352059737,91.90821613220535,0.4927171406080051,0.0,0.0,0.0,0.0,913.9588139876503,1,228.28223
