,level_0,index,When,T_a,RH,v_a,SW_direct,SW_diffuse,LW_in,p_a,Prec
3864,12420,12420,2019-02-13 03:00:00,-6.879,83.03031,1.66992,0.0,0.0,213.40964,905.60625,0.0
3865,12421,12421,2019-02-13 03:05:00,-6.878125833333333,82.8829575,1.6731541666666667,0.0,0.0,214.36005333333333,905.6101558333334,0.0
3866,12422,12422,2019-02-13 03:10:00,-6.877251666666666,82.73560499999999,1.6763883333333334,0.0,0.0,215.31046666666666,905.6140616666667,0.0
3867,12423,12423,2019-02-13 03:15:00,-6.876377499999999,82.5882525,1.6796225,0.0,0.0,216.26088,905.6179675000001,0.0
3868,12424,12424,2019-02-13 03:20:00,-6.875503333333333,82.4409,1.6828566666666667,0.0,0.0,217.21129333333334,905.6218733333334,0.0
3869,12425,12425,2019-02-13 03:25:00,-6.874629166666666,82.2935475,1.6860908333333333,0.0,0.0,218.16170666666667,905.6257791666667,0.0
3870,12426,12426,2019-02-13 03:30:00,-6.873754999999999,82.146195,1.6893250000000002,0.0,0.0,219.11212,905.629685,0.0
3871,12427,12427,2019-02-13 03:35:00,-6.872880833333333,81.9988425,1.6925591666666668,0.0,0.0,220.06253333333333,905.6335908333333,0.0
3872,12428,12428,2019-02-13 03:40:00,-6.872006666666667,81.85149,1.6957933333333335,0.0,0.0,221.01294666666666,905.6374966666666,0.0
3873,12429,12429,2019-02-13 03:45:00,-6.8711325,81.7041375,1.6990275000000001,0.0,0.0,221.96336000000002,905.6414024999999,0.0
3874,12430,12430,2019-02-13 03:50:00,-6.870258333333333,81.55678499999999,1.7022616666666668,0.0,0.0,222.91377333333335,905.6453083333333,0.0
3875,12431,12431,2019-02-13 03:55:00,-6.869384166666666,81.4094325,1.7054958333333334,0.0,0.0,223.86418666666668,905.6492141666666,0.0
3876,12432,12432,2019-02-13 04:00:00,-6.86851,81.26208,1.70873,0.0,0.0,224.8146,905.65312,0.0
