,When,sea,Discharge,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,LW_in,h_f,missing_type,a,vp_a,cld,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_runoff,wind_loss,Qt,Qmelt,freezing_discharge_fraction,s_cone,input,vp_ice
0,2021-01-19 16:00:00,0.0,14.128,-7.515,63.852,1.785,21.294,29.422,0.0,789.716,200.194,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14723027368328628,10.424648772519145,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.01412328385311227,,
1,2021-01-19 17:00:00,0.0,14.181,-9.281,66.462,1.746,0.0,0.0,0.0,789.704,190.124,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,2.01,0,0.0,0.0,0.002247566291272006,15364.482471156483,16.755160819145566,568.7126513497084,21.624626907565165,0.0,0.0,-4.690021148309532,0.0,-210.51250804049806,0.0,-109.75053883563893,-50.65823877641098,-50.10373042844815,0.0,0.0,0.0,341.44129536697596,0.14723027368328626,10.424648772519143,0.0,0.0,0,0.0,74.8225267427265,185.700195,-50.10373042844815,-160.4087776120499,0.7619916702583331,0.01412328385311227,15364.482471156483,6.136410482122605
2,2021-01-19 18:00:00,0.0,14.181,-10.338,67.586,1.729,0.0,0.0,0.0,789.703,186.898,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.88,0,-4.690021148309532,0.0,0.0022475662912720055,15933.195122506191,17.375349097607625,595.9798907634855,12.024544739863249,21.624626907565165,0.0,-2.5454907787792878,74.8225267427265,-188.44793185682437,0.0,-92.90539534812459,-30.528015944909857,-27.19360526423807,-40.65180515536758,2.830889855815751,0.0,349.81573268140977,0.1490248747561245,10.551715614161838,0.0,0.0,0,0.0018163833340530478,58.963446996651214,183.8921175,-27.19360526423807,-161.2543265925863,0.855696982204619,0.01412328385311227,15439.30499789921,4.141613569262359
3,2021-01-19 19:00:00,0.0,14.181,-11.474,67.852,1.708,0.0,0.0,0.0,789.706,211.713,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.723,0,-7.235511927088821,-0.10669977544677924,0.0023316186107723976,16529.175013269676,18.025272642605973,532.0754477272757,8.42137317529726,33.64917164742842,0.0,-1.7827173776771739,133.7859737393777,-162.3937943203556,0.0,-57.62818958753164,-22.631378407186148,-19.044858881594134,-67.39230795666235,4.302940512618689,0.0,349.818390947986,0.15459913829180058,10.551715614161838,0.0,0.0,0,0.001857902559203242,128.704569097427,181.65861,-19.044858881594134,-143.34893543876146,0.8827242200891976,0.01412328385311227,15498.26844489586,3.3263801324321487
4,2021-01-19 20:00:00,0.0,14.181,-11.59,67.739,1.793,0.0,0.0,0.0,789.621,202.285,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.704,0,-9.018229304765995,-0.26303645084298427,0.0024066567033652598,17061.25046099695,18.605507591054472,583.9203977896514,6.295582648171339,42.07054482272568,0.0,-1.3327002105970238,262.4905428368047,-170.77150499527082,0.0,-59.90573736623335,-14.413782342102406,-14.237302984818538,-87.49930381066018,5.2846215085436645,0.0,349.8208466306752,0.15957569675033362,10.551715614161838,0.0,0.0,0,0.0016586747965883118,69.94502206217726,190.6989975,-14.237302984818538,-156.53420201045228,0.9166295162344982,0.0146515641574255,15626.973013993287,2.845810528118759
5,2021-01-19 21:00:00,0.0,14.181,-12.105,67.108,1.861,0.0,0.0,0.0,789.452,199.262,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.62,0,-10.350929515363019,-0.44905351524231285,0.002489004590399402,17645.1708587866,19.24228010772803,608.5570117449425,5.201916296517189,48.36612747089702,0.0,-1.101175244642334,332.43556489898197,-174.5407622199097,0.0,-57.67702565329358,-10.2015433679514,-11.763910197276287,-100.87504076769204,5.976757766303606,0.0,349.8236311084327,0.16503716656094508,10.551715614161838,0.0,0.0,0,0.0018202817893978509,39.16976445854027,197.9313075,-11.763910197276287,-162.77685202263342,0.932600785927275,0.015123199163571214,15696.918036055464,2.528974987360895
6,2021-01-19 22:00:00,0.0,14.181,-12.121,70.166,2.439,0.0,0.0,0.0,789.368,193.995,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.691,0,-11.452104760005353,-0.6524732109013753,0.002574824748815248,18253.727870531544,19.905919160885,586.9471768704262,4.506880629573611,53.56804376741421,0.0,-2.1347373057810834,371.60532935752224,-179.66546963987614,0.0,-58.664535099085015,-5.097956897535727,-10.192029447448615,-112.22958988890996,6.518641693103186,0.0,349.82663275170046,0.1707290652516947,10.551715614161838,0.0,0.0,0,0.0018970675338718527,0.0,259.40594250000004,-22.805505374524607,-156.85996426535152,0.8730668423919394,0.015640789857854276,15736.087800514004,2.291890689339397
7,2021-01-19 23:00:00,0.0,14.181,-12.442,70.542,1.981,0.0,0.0,0.0,789.299,204.508,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.657,0,-13.586842065786437,-0.866941199348181,0.002657595309443279,18840.675047401972,20.545992418104657,604.2905438337673,1.414670706803009,58.07492439698782,0.0,-0.2994615033191365,371.60532935752224,-163.8373126362749,0.0,-40.0078244783372,7.086280571399597,-3.1991622130335013,-135.39431994042366,7.67771342411984,0.0,349.8296241921602,0.17621884485013958,10.551715614161838,0.0,0.0,0,0.001829687042935831,34.460577959429656,210.6942075,-3.1991622130335013,-160.6381504232414,0.9804735431657393,0.0161802186009025,15736.087800514004,1.889219342590015
8,2021-01-20 00:00:00,0.0,14.181,-11.866,69.179,2.149,0.0,0.0,0.0,789.254,200.4,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.702,0,-13.886303569105573,-1.1116762046161732,0.0027428093559638362,19444.965591235738,21.20497883449917,602.4760516993838,0.9003136802876152,59.489595103790826,0.0,-0.19057921896029775,406.0659073169519,-162.05503323096613,0.0,-42.98937099040194,13.564899329104518,-2.035967325113809,-138.30534050227575,7.710746257720845,0.0,349.83280290171393,0.18187083881109553,10.551715614161838,0.0,0.0,0,0.0018837353123431673,18.92136712032857,228.56226750000002,-2.035967325113809,-160.01906590585233,0.9874365684019695,0.016700492251101796,15770.548378473433,1.838232583814933
9,2021-01-20 01:00:00,0.0,14.181,-11.519,67.829,2.106,0.0,0.0,0.0,788.938,205.32,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.716,0,-14.076882788065872,-1.3498279851176709,0.002827765183041001,20047.441642935122,21.86198652446578,577.1593584271673,0.5857446944687872,60.38990878407844,0.0,-0.12398981121531483,424.98727443728046,-154.5446575237266,0.0,-37.35451832056734,16.82397514511106,-1.324589352703769,-140.37155652522466,7.682031529658118,0.0,349.83607192883176,0.1875058616334322,10.551715614161838,0.0,0.0,0,0.0018780619899478094,49.126001878364036,223.98889499999999,-1.324589352703769,-153.22006817102283,0.9914290835158736,0.01723613917029759,15789.469745593762,1.8064418626874394
10,2021-01-20 02:00:00,0.0,14.181,-11.095,66.497,2.132,0.0,0.0,0.0,788.722,204.152,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.741,0,-14.200872599281187,-1.579964634421233,0.002909148808004115,20624.60100136229,22.491386042925072,572.4115288621252,0.2952393238916781,60.97565347854723,0.0,-0.062495368547330045,474.1132763156445,-152.5501246500687,0.0,-38.05828529840895,20.674810108161775,-0.6676411469595542,-142.11696976742476,7.617961454562775,0.0,349.839297100405,0.19290409472118494,10.551715614161838,0.0,0.0,0,0.0017991269882178672,51.399041813983104,226.75419000000002,-0.6676411469595542,-151.88248350310914,0.9956234637730316,0.017770177712311902,15838.595747472125,1.7860300572904413
11,2021-01-20 03:00:00,0.0,14.181,-10.655,64.995,2.108,0.0,0.0,0.0,788.497,194.472,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.762,0,-14.263367967828517,-1.8017974938944383,0.002989860700351293,21197.012530224416,23.11560799370165,599.8522755315496,0.08960027937846936,61.27089280243891,0.0,-0.01896613826256787,525.5123181296276,-159.30638527617643,0.0,-47.50454761757871,23.74259626566234,-0.2026162033659257,-142.86360330066884,7.5217855797747095,0.0,349.8425861181027,0.19825792085221286,10.551715614161838,0.0,0.0,0,0.0017843105561620991,26.716514189071972,224.20161000000002,-0.2026162033659257,-159.1037690728105,0.9987281350774819,0.018281775378999165,15889.99478928611,1.7758213406820589
12,2021-01-20 04:00:00,0.0,14.181,-10.564,65.601,2.096,0.0,0.0,0.0,788.243,183.413,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.35,1.792,0,-14.282334106091085,-2.014916919768842,0.0030744393502886297,21796.864805755966,23.769754422852742,627.9346800000002,0.0,61.360493081817374,0.0,-0.24082245679947076,552.2288323186996,-169.098454397387,0.0,-58.49264621460668,24.319046772500467,0.28084417943516665,-142.61029407611332,7.404594941397369,0.0,349.84612938393707,0.203868403215979,10.551715614161838,0.0,0.12419525873856861,0,0.0018698307613420684,0.0,222.92532,-2.572718347111586,-166.52573605027544,0.9847856779278089,0.018789164539852056,15916.711303475182,1.772732704664713
