,time,man,auto,man_field,auto_field
103,2020-11-26 22:00:00,7.5,0.0,0,0
104,2020-11-26 23:00:00,7.5,0.0,0,0
105,2020-11-27 00:00:00,7.5,0.0,0,0
106,2020-11-27 01:00:00,7.5,0.0,0,0
107,2020-11-27 02:00:00,7.5,0.0,0,0
108,2020-11-27 03:00:00,7.5,0.0,0,0
109,2020-11-27 04:00:00,7.5,0.0,0,0
110,2020-11-27 05:00:00,7.5,0.0,0,0
111,2020-11-27 06:00:00,7.5,0.0,0,0
112,2020-11-27 07:00:00,7.5,0.0,0,0
113,2020-11-27 08:00:00,7.5,0.0,0,0
114,2020-11-27 09:00:00,7.5,0.0,0,0
115,2020-11-27 10:00:00,7.5,0.0,0,0
116,2020-11-27 11:00:00,7.5,0.0,0,0
117,2020-11-27 12:00:00,7.5,0.0,0,0
118,2020-11-27 13:00:00,7.5,0.0,0,0
119,2020-11-27 14:00:00,7.5,0.0,0,0
120,2020-11-27 15:00:00,7.5,0.0,0,0
121,2020-11-27 16:00:00,7.5,0.0,0,0
122,2020-11-27 17:00:00,7.5,0.0,0,0
123,2020-11-27 18:00:00,7.5,0.0,0,0
124,2020-11-27 19:00:00,7.5,0.0,0,0
125,2020-11-27 20:00:00,7.5,0.0,0,0
126,2020-11-27 21:00:00,7.5,0.0,0,0
127,2020-11-27 22:00:00,7.5,0.0,0,0
128,2020-11-27 23:00:00,7.5,0.0,0,0
129,2020-11-28 00:00:00,7.5,0.0,0,0
130,2020-11-28 01:00:00,7.5,0.0,0,0
131,2020-11-28 02:00:00,7.5,0.0,0,0
132,2020-11-28 03:00:00,7.5,0.0,0,0
133,2020-11-28 04:00:00,7.5,0.0,0,0
134,2020-11-28 05:00:00,7.5,0.0,0,0
135,2020-11-28 06:00:00,7.5,0.0,0,0
136,2020-11-28 07:00:00,7.5,0.0,0,0
137,2020-11-28 08:00:00,7.5,0.0,0,0
138,2020-11-28 09:00:00,7.5,0.0,0,0
139,2020-11-28 10:00:00,7.5,0.0,0,0
140,2020-11-28 11:00:00,7.5,0.0,0,0
141,2020-11-28 12:00:00,7.5,0.0,0,0
142,2020-11-28 13:00:00,7.5,0.0,0,0
143,2020-11-28 14:00:00,7.5,0.0,0,0
144,2020-11-28 15:00:00,7.5,0.0,0,0
145,2020-11-28 16:00:00,7.5,0.0,0,0
146,2020-11-28 17:00:00,7.5,0.0,0,0
147,2020-11-28 18:00:00,7.5,0.0,0,0
148,2020-11-28 19:00:00,7.5,0.0,0,0
149,2020-11-28 20:00:00,7.5,0.0,0,0
150,2020-11-28 21:00:00,7.5,0.0,0,0
151,2020-11-28 22:00:00,7.5,0.0,0,0
152,2020-11-28 23:00:00,7.5,0.0,0,0
153,2020-11-29 00:00:00,7.5,0.0,0,0
154,2020-11-29 01:00:00,7.5,0.0,0,0
155,2020-11-29 02:00:00,7.5,0.0,0,0
156,2020-11-29 03:00:00,7.5,0.0,0,0
157,2020-11-29 04:00:00,7.5,0.0,0,0
158,2020-11-29 05:00:00,7.5,0.0,0,0
159,2020-11-29 06:00:00,7.5,0.0,0,0
160,2020-11-29 07:00:00,7.5,0.0,0,0
161,2020-11-29 08:00:00,7.5,0.0,0,0
162,2020-11-29 09:00:00,7.5,0.0,0,0
163,2020-11-29 10:00:00,7.5,0.0,0,0
164,2020-11-29 11:00:00,7.5,0.0,0,0
165,2020-11-29 12:00:00,7.5,0.0,0,0
166,2020-11-29 13:00:00,7.5,0.0,0,0
167,2020-11-29 14:00:00,7.5,0.0,0,0
168,2020-11-29 15:00:00,7.5,0.0,0,0
169,2020-11-29 16:00:00,7.5,0.0,0,0
170,2020-11-29 17:00:00,7.5,0.0,0,0
171,2020-11-29 18:00:00,7.5,0.0,0,0
172,2020-11-29 19:00:00,7.5,0.0,0,0
173,2020-11-29 20:00:00,7.5,0.0,0,0
174,2020-11-29 21:00:00,7.5,0.0,0,0
175,2020-11-29 22:00:00,7.5,0.0,0,0
176,2020-11-29 23:00:00,7.5,0.0,0,0
177,2020-11-30 00:00:00,7.5,0.0,0,0
178,2020-11-30 01:00:00,7.5,0.0,0,0
179,2020-11-30 02:00:00,7.5,0.0,0,0
180,2020-11-30 03:00:00,7.5,0.0,0,0
181,2020-11-30 04:00:00,7.5,0.0,0,0
182,2020-11-30 05:00:00,7.5,0.0,0,0
183,2020-11-30 06:00:00,7.5,0.0,0,0
184,2020-11-30 07:00:00,7.5,0.0,0,0
185,2020-11-30 08:00:00,7.5,0.0,0,0
186,2020-11-30 09:00:00,7.5,0.0,0,0
187,2020-11-30 10:00:00,7.5,0.0,0,0
188,2020-11-30 11:00:00,7.5,0.0,0,0
189,2020-11-30 12:00:00,7.5,0.0,0,0
190,2020-11-30 13:00:00,7.5,0.0,0,0
191,2020-11-30 14:00:00,7.5,0.0,0,0
192,2020-11-30 15:00:00,7.5,0.0,0,0
193,2020-11-30 16:00:00,7.5,0.0,0,0
194,2020-11-30 17:00:00,7.5,0.0,0,0
195,2020-11-30 18:00:00,7.5,0.0,0,0
196,2020-11-30 19:00:00,7.5,0.0,0,0
