time,cam_temp,cam_temp_full,mean,std
2020-11-13 15:00:00,-0.082,4.956,1.725,2.897
2020-11-13 16:00:00,-1.797,3.65,0.196,3.134
2020-11-13 17:00:00,-3.724,1.693,-1.604,2.973
2020-11-13 18:00:00,-3.719,1.592,-1.754,2.975
2020-11-13 19:00:00,-4.043,1.487,-2.047,3.192
2020-11-13 20:00:00,-3.071,2.638,-0.933,3.191
2020-11-13 21:00:00,-2.65,2.766,-0.788,3.117
2020-11-13 22:00:00,-3.674,2.3,-1.506,3.397
2020-11-13 23:00:00,-3.295,2.463,-1.402,3.439
2020-11-14 00:00:00,-3.364,1.98,-1.661,3.253
2020-11-14 01:00:00,-2.659,2.077,-1.176,2.912
2020-11-14 02:00:00,-4.146,1.721,-2.112,3.481
2020-11-14 03:00:00,-4.167,1.458,-2.317,3.398
2020-11-14 04:00:00,-3.309,2.654,-1.381,3.645
2020-11-14 05:00:00,-3.735,2.596,-1.442,3.607
2020-11-14 06:00:00,-3.034,1.804,-1.603,3.109
2020-11-14 07:00:00,-2.982,2.387,-1.275,3.281
2020-11-14 08:00:00,-2.622,2.561,-0.901,3.114
2020-11-14 09:00:00,-2.035,3.417,-0.028,3.089
2020-11-14 10:00:00,5.256,6.81,5.411,2.257
2020-11-14 11:00:00,12.451,9.306,10.671,2.812
2020-11-14 12:00:00,6.914,9.384,8.121,1.605
2020-11-14 13:00:00,1.176,5.735,2.662,2.767
2020-11-14 14:00:00,0.318,4.931,2.001,2.584
2020-11-14 15:00:00,-1.419,3.543,0.306,2.893
2020-11-14 16:00:00,-2.227,3.54,0.029,3.138
2020-11-14 17:00:00,-4.037,1.84,-1.861,3.372
2020-11-14 18:00:00,-3.949,2.016,-1.678,3.398
2020-11-14 19:00:00,-3.973,2.097,-1.851,3.617
2020-11-14 20:00:00,-4.198,1.784,-2.239,3.613
2020-11-14 21:00:00,-5.06,1.174,-3.047,3.79
2020-11-14 22:00:00,-4.982,1.718,-2.611,3.889
2020-11-14 23:00:00,-5.124,1.531,-2.935,3.902
2020-11-15 00:00:00,-6.383,-0.275,-4.284,3.537
2020-11-15 01:00:00,-4.851,0.541,-3.2,3.408
2020-11-15 02:00:00,-6.154,-0.247,-4.33,3.718
2020-11-15 03:00:00,-6.521,-0.288,-4.443,3.784
2020-11-15 04:00:00,-4.466,1.075,-2.762,3.452
2020-11-15 05:00:00,-4.78,1.011,-2.844,3.428
2020-11-15 06:00:00,-4.536,0.938,-2.684,3.218
2020-11-15 07:00:00,-4.316,1.564,-2.297,3.505
2020-11-15 08:00:00,-3.465,1.94,-1.633,3.176
