When,DroneV,dia
2020-11-22 16:00:00,9.13,9.04
2020-12-02 16:00:00,17.21,9.79
2020-12-30 16:00:00,23.01,13.12
2021-01-09 16:00:00,62.68,13.28
2021-03-06 16:00:00,76.87,12.59
