,TIMESTAMP,WS,T_A,RH,PRESS
0,2020-12-20 10:00:00,0.45,5.05,56.35,900.2
1,2020-12-20 11:00:00,0.625,4.142,62.0,899.983
2,2020-12-20 12:00:00,0.575,4.85,58.617,900.15
3,2020-12-20 13:00:00,0.383,4.058,64.458,900.367
4,2020-12-20 14:00:00,0.425,3.158,69.908,900.542
5,2020-12-20 15:00:00,0.425,2.05,74.033,900.633
6,2020-12-20 16:00:00,0.308,1.017,77.508,900.95
7,2020-12-20 17:00:00,0.333,0.05,80.433,901.567
8,2020-12-20 18:00:00,0.442,0.017,78.917,901.642
9,2020-12-20 19:00:00,0.483,-0.042,81.342,902.567
10,2020-12-20 20:00:00,0.5,1.225,77.567,903.35
11,2020-12-20 21:00:00,0.4,1.475,77.292,903.5
12,2020-12-20 22:00:00,0.267,0.908,80.108,903.458
13,2020-12-20 23:00:00,0.475,-0.283,83.167,903.567
14,2020-12-21 00:00:00,0.458,-0.675,82.85,902.9
15,2020-12-21 01:00:00,0.4,-1.092,83.467,903.742
16,2020-12-21 02:00:00,0.375,-1.417,85.208,904.042
17,2020-12-21 03:00:00,0.333,-1.8,84.392,903.867
18,2020-12-21 04:00:00,0.5,-1.775,84.592,902.925
19,2020-12-21 05:00:00,0.458,-1.833,84.442,902.45
20,2020-12-21 06:00:00,0.5,-1.808,84.442,902.133
21,2020-12-21 07:00:00,0.475,-1.783,85.758,902.367
22,2020-12-21 08:00:00,0.525,-0.483,82.367,901.858
23,2020-12-21 09:00:00,0.442,0.692,78.942,902.533
24,2020-12-21 10:00:00,0.358,1.592,76.533,903.492
25,2020-12-21 11:00:00,0.467,2.267,74.25,903.033
26,2020-12-21 12:00:00,0.942,3.383,68.542,902.608
27,2020-12-21 13:00:00,0.683,4.158,66.192,901.658
28,2020-12-21 14:00:00,0.567,3.3,69.167,901.392
29,2020-12-21 15:00:00,0.467,3.183,70.908,901.383
30,2020-12-21 16:00:00,3.783,7.025,53.275,900.85
31,2020-12-21 17:00:00,4.308,6.983,54.617,900.992
32,2020-12-21 18:00:00,4.425,6.733,57.4,900.9
33,2020-12-21 19:00:00,3.058,6.308,63.65,901.233
34,2020-12-21 20:00:00,1.275,4.625,77.425,901.542
35,2020-12-21 21:00:00,0.4,2.883,89.758,902.008
36,2020-12-21 22:00:00,0.408,2.633,91.542,902.508
37,2020-12-21 23:00:00,0.533,2.9,91.875,902.825
38,2020-12-22 00:00:00,0.625,2.975,91.733,902.575
39,2020-12-22 01:00:00,0.55,3.35,90.583,902.417
40,2020-12-22 02:00:00,0.608,3.158,91.192,902.742
41,2020-12-22 03:00:00,0.658,3.175,90.825,902.35
42,2020-12-22 04:00:00,0.717,3.408,90.35,902.417
43,2020-12-22 05:00:00,0.683,3.492,89.975,902.4
44,2020-12-22 06:00:00,0.633,3.458,89.35,902.792
45,2020-12-22 07:00:00,0.717,3.6,88.867,902.925
46,2020-12-22 08:00:00,0.658,3.767,88.017,903.375
47,2020-12-22 09:00:00,0.55,3.575,88.092,903.675
48,2020-12-22 10:00:00,0.675,4.342,85.742,903.933
49,2020-12-22 11:00:00,0.533,4.867,84.208,904.092
50,2020-12-22 12:00:00,0.508,4.625,84.392,904.192
51,2020-12-22 13:00:00,0.483,4.95,82.383,904.017
52,2020-12-22 14:00:00,0.417,4.95,82.825,903.675
53,2020-12-22 15:00:00,0.575,4.917,81.408,903.25
54,2020-12-22 16:00:00,0.6,4.267,82.292,903.45
