When,DroneV,dia
2020-11-22 16:00:00,9.4,9.04
2020-12-02 16:00:00,17.77,9.79
2020-12-30 16:00:00,31.94,13.12
2021-01-09 16:00:00,63.15,13.28
2021-03-06 16:00:00,77.94,12.59
