time,rad,DroneV,DroneVError,Area
2021-12-23,4.26,34.57,6.914000000000001,72.47
2022-01-03,4.43,31.94,6.388000000000001,81.08
2022-02-20,5.26,59.96,11.992,105.21
2022-03-19,3.74,28.36,5.672000000000001,56.86
2022-03-26,3.74,18.74,3.7479999999999998,53.01
2022-04-12,2.53,6.92,1.3840000000000001,24.1
